id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters
24,El Kucho Mexican Restaurant,141 Wilson Ave,Brooklyn,NY,11237,(917) 966-5124,,$,Mexican,4.5,Bushwick,Yes,Yes,Yes,Yes,Lunch,Street,Casual,,No,Yes,Free,Yes,Yes
25,Cocoron,61 Delancey St,New York,NY,10002,(212) 925-5220,cocoron-soba.com,$$,Japanese,4.0,Lower East Side,No,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
26,Vic’s,31 Great Jones St,New York,NY,10012,(212) 253-5700,vicsnewyork.com,$$,Bars;Mediterranean;American (New),4.0,NoHo,Yes,No,Yes,Yes,Brunch,Garage; Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
27,Employees Only,510 Hudson St,New York,NY,10014,(212) 242-3021,employeesonlynyc.com,$$$,American (New);Lounges,4.0,West Village,Yes,No,No,Yes,Late Night,Street,Casual,Trendy,Full Bar,No,No,Yes,No
28,Sergimmo Salumeria,456 9th Ave,New York,NY,10018,(212) 967-4212,sergimmo.com,$$,Italian;Sandwiches,4.0,Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
29,Yakiniku West,218 E 9th St,New York,NY,10003,(212) 979-9238,yakinikuwest.com,$$,Japanese;Barbeque,4.0,East Village,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
30,Puff Cha Ramen,457 W 50th St,New York,NY,10019,(646) 682-7768,,$,Thai;Ramen,4.5,Hell's Kitchen; Midtown West,Yes,Yes,Yes,Yes,Dessert,Valet; Garage; Street,Casual,Divey,No,No,No,Yes,Yes
31,Upstate,95 1st Ave,New York,NY,10003,(917) 408-3395,upstatenyc.com,$$,American (New);Seafood,4.5,East Village,No,No,No,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
32,Joya,215 Court St,Brooklyn,NY,11201,(718) 222-3484,,$$,Thai,4.0,Cobble Hill,No,Yes,Yes,No,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
33,Cafecito,185 Avenue C,New York,NY,10009,(212) 253-9966,cafecitonyc.com,$$,Cuban,4.0,East Village; Alphabet City,Yes,Yes,Yes,No,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
34,The Spotted Pig,314 W 11th St,New York,NY,10014,(212) 620-0393,thespottedpig.com,$$$,Burgers;Gastropubs,3.5,West Village,No,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
35,Govinda’s Vegetarian,305 Schermerhorn St,Brooklyn,NY,11217,(718) 855-6714,radhagovinda.net/govinda.html,$,Vegetarian;Vegan;Gluten-Free,4.5,Downtown Brooklyn; Boerum Hill,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,Yes
36,Carroll Place,157 Bleecker St,New York,NY,10012,(212) 260-1700,carrollplacenyc.com,$$,Gastropubs;Italian;Wine Bars,4.0,Greenwich Village,Yes,Yes,Yes,Yes,Brunch; Late Night,Street,Casual,Casual,Full Bar,No,No,Yes,No
37,Streets,53 Broadway,Brooklyn,NY,11249,(718) 384-2899,streetsbk.com,$$,American (New);Latin American;Asian Fusion,4.0,South Williamsburg,Yes,No,Yes,Yes,Dessert,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
38,The Smith,956 2nd Ave,New York,NY,10022,(212) 644-2700,thesmithrestaurant.com,$$,American (Traditional);Breakfast & Brunch;Brasseries,4.0,Midtown East,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
39,The Chinese Couple Vendor aka The Dollar Cart!,Canal St & Elizabeth St,New York,NY,10013,,,$,Food Stands;Chinese,4.5,Chinatown,No,No,Yes,No,Lunch,,Casual,,No,No,No,No,No
40,Pure Thai Cookhouse,766 9th Ave,New York,NY,10019,(212) 581-0999,purethaishophouse.com,$$,Thai,4.0,Theater District; Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
41,Ovest Pizzoteca,513 W 27th St,New York,NY,10001,(212) 967-4392,ovestnyc.com,$$,Pizza,4.0,Chelsea,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
42,Sharkey’s Cafe,48 Mulberry St,New York,NY,10013,(212) 804-8183,sharkeyscafe.com,$,Coffee & Tea;Sandwiches;Breakfast & Brunch,4.5,Chinatown; Civic Center,No,Yes,Yes,Yes,Breakfast,Garage,Casual,Casual,No,No,No,No,Yes
43,La Goulette,159 Grand St,Brooklyn,NY,11249,(347) 689-4126,lagoulettewilliamsburg.com,$,Mediterranean;Middle Eastern;Halal,4.5,Williamsburg - North Side,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
44,La Lanterna di Vittorio,129 MacDougal St,New York,NY,10012,(212) 529-5945,lalanternacaffe.com,$$,Italian,4.0,Greenwich Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Romantic,Full Bar,Yes,No,Yes,No
45,Barn Joo,893 Broadway,New York,NY,10003,(646) 398-9663,barnjoo.com,$$,Korean;Gastropubs,4.0,Flatiron,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
46,El Rinconcito,408 E 10th St,New York,NY,10009,(212) 254-1381,,$,Latin American;Puerto Rican,4.5,East Village; Alphabet City,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,,No,No,Yes,Yes
47,Fort Defiance,365 Van Brunt St,Brooklyn,NY,11231,(917) 310-0629,fortdefiancebrooklyn.com,$$,American (New);Breakfast & Brunch,4.0,Red Hook,No,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
48,Umami Burger,432 6th Ave,New York,NY,10011,(212) 677-8626,umamiburger.com,$$,Burgers;American (New);Gastropubs,4.0,Greenwich Village,No,No,No,Yes,Lunch; Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,No
49,The Bounty,131 Greenpoint Ave,Brooklyn,NY,11222,(347) 689-3325,thebountybrooklyn.com,$$,Bars;American (New),4.0,Greenpoint,Yes,No,Yes,Yes,Dinner,Street,Casual,Hipster,Full Bar,Yes,No,Yes,No
50,Pio Pio,210 E 34th St,New York,NY,10016,(212) 481-0034,piopio.com,$$,Latin American;Peruvian,4.0,Midtown East; Murray Hill; Kips Bay,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
51,Flat Top,1241 Amsterdam Ave,New York,NY,10027,(646) 820-7735,flattopnyc.com,$$,American (New);Cafes,4.0,Morningside Heights,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,No
52,Tibetan Dumpling Cafe,49-08 Queens Blvd,Woodside,NY,11377,(347) 507-1555,,$,Himalayan/Nepalese,4.5,Woodside,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,Yes,Yes
53,Don Chingon,216 Flatbush Ave,Brooklyn,NY,11217,(718) 576-3521,donchingon.nyc,$$,Mexican;Cocktail Bars;Tex-Mex,4.5,Prospect Heights,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
54,Pippali,129 E 27th St,New York,NY,10016,(212) 689-1999,pippalinyc.com,$$,Indian,4.0,Flatiron,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
55,Olea,171 Lafayette Ave,Brooklyn,NY,11238,(718) 643-7003,oleabrooklyn.com,$$,Mediterranean,4.0,Fort Greene,No,No,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
56,Momofuku Ko,8 Extra Pl,New York,NY,10003,(212) 203-8095,momofuku.com,$$$$,American (New),4.5,East Village,Yes,No,No,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
57,Tuk Tuk,4906 Vernon Blvd,Long Island City,NY,11101,(718) 472-5597,tuktukny.com,$$,Thai,4.0,Hunters Point; Long Island City,Yes,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
58,Hanco’s,134 Smith St,Brooklyn,NY,11201,(718) 858-6818,hancosny.com,$,Vietnamese;Sandwiches;Bubble Tea,4.0,Boerum Hill; Cobble Hill,No,Yes,Yes,No,Lunch,Street,Casual,Casual,No,Yes,,No,No
59,Manhattan Proper,6 Murray Street (between Church and Broadway),New York,NY,10007,(646) 559-4445,manhattanproper.com,$$,Sports Bars;American (New);Lounges,4.0,Civic Center,Yes,Yes,Yes,Yes,Dinner; Late Night,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
60,AWOL Eatery,336 Graham Ave,Brooklyn,NY,11211,(347) 457-6752,awoleatery.com,$$,American (New);Gluten-Free;Vegetarian,4.5,East Williamsburg,No,Yes,Yes,Yes,Dinner,Street,Casual,Hipster,Beer & Wine Only,Yes,Free,Yes,Yes
61,Animals Food and Drink,140 Ave C,New York,NY,10009,(212) 777-7437,animalsnyc.com,$$,Sandwiches;Bars,5.0,East Village; Alphabet City,No,,Yes,Yes,,,Casual,,,No,,,
62,Alice’s Arbor,549 Classon Ave,Brooklyn,NY,11238,(718) 399-3003,alicesarbor.com,$$,American (Traditional);Breakfast & Brunch,4.0,Bedford Stuyvesant; Clinton Hill,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
63,Giuseppina’s,691 6th ave,Brooklyn,NY,11215,(646) 741-4606,,$$,Pizza;Caterers,4.5,South Slope,Yes,No,Yes,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
64,Harry & Ida’s Meat and Supply Co,189 Ave A,New York,NY,10009,(646) 864-0967,meatandsupplyco.com,$$,Sandwiches;Meat Shops,5.0,East Village; Alphabet City,No,Yes,Yes,Yes,,,Casual,Hipster,No,No,,No,
65,The Greek,458 Greenwich St,New York,NY,10013,(646) 476-3941,thegreektribeca.com,$$,Greek,4.5,TriBeCa,Yes,No,Yes,Yes,Dinner,Garage; Street,Casual,Intimate,Full Bar,No,No,Yes,Yes
66,Sau Voi,101 Lafayette St,New York,NY,10013,(212) 226-8184,,$,Delis;Vietnamese;Sandwiches,4.0,Chinatown,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,No
67,Lulu & Po,154 Carlton Ave,Brooklyn,NY,11205,(917) 435-3745,luluandpo.com,$$$,American (New),4.5,Fort Greene,No,No,No,Yes,Dinner,Street,Casual,Intimate,Full Bar,Yes,Free,Yes,No
68,Westville,333 Hudson St,New York,NY,10013,(212) 776-1404,westvillenyc.com,$$,American (Traditional),4.0,South Village,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
69,American Retro,714 11th Ave,New York,NY,10019,(212) 245-2203,americanretrony.com,$$,American (New),4.0,Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Lunch; Dinner; Late Night,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
70,Piacere,351 Broome St,New York,NY,10013,(212) 219-4080,piacerenyc.com,$$,Pizza;Italian,4.5,Little Italy; Nolita,Yes,Yes,Yes,Yes,Late Night,Street,Casual,Casual,Beer & Wine Only,Yes,Free,Yes,No
71,UrbanSpace Vanderbilt,230 Park Ave,New York,NY,10169,(646) 747-0822,urbanspacenyc.com/our-markets…,$$,Food Court,4.0,Midtown East,No,No,Yes,Yes,Lunch,Garage,Casual,Casual,Full Bar,No,Free,No,Yes
72,Cafe Mogador,101 St Marks Pl,New York,NY,10009,(212) 677-2226,cafemogador.com,$$,Moroccan,4.0,East Village; Alphabet City,Yes,No,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
73,Kabob Shack,182 Havemeyer St,Brooklyn,NY,11211,(718) 387-7111,kabob-shack.com,$,Afghan;Middle Eastern,4.5,Williamsburg - South Side,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
74,Monsignor’s Restaurant,679 5th Ave,Brooklyn,NY,11215,(718) 369-2575,mymonsignors.com,$$,Italian;Mexican,4.5,South Slope,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
75,Le Village,127 E 7th St,New York,NY,10009,(212) 539-0231,levillagenyc.com,$$,French;Gluten-Free;Vegetarian,4.5,East Village; Alphabet City,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,Free,Yes,No
76,Boulton & Watt,5 Ave A,New York,NY,10009,(646) 490-6004,boultonandwattnyc.com,$$,American (New);Gastropubs,4.0,Lower East Side; Alphabet City,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
77,Saraghina,435 Halsey St,Brooklyn,NY,11233,(718) 574-0010,saraghinabrooklyn.com,$$,Pizza;Breakfast & Brunch;Bakeries,4.0,Bedford Stuyvesant,No,No,Yes,No,Dinner,Street,Casual,Casual,Beer & Wine Only,Yes,Free,Yes,No
78,New York Bakery,51 W 29th St,New York,NY,10001,(212) 213-2838,,$,Bakeries;Korean;Mexican,4.5,Flatiron; Midtown West,No,No,Yes,No,,Street,Casual,Divey,No,No,No,No,No
79,Ducks Eatery,351 E 12th St,New York,NY,10003,(212) 432-3825,duckseatery.com,$$,French;Cajun/Creole;American (Traditional),4.0,East Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
80,Papa’s  Kitchen,65-40 Woodside Ave,Woodside,NY,11377,(347) 724-9586,,$$,Filipino,4.5,Woodside,Yes,Yes,Yes,No,Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
81,Briciola,370 W 51 St,New York,NY,10019,(646) 678-5763,,$$,Italian;Wine Bars,4.0,Theater District; Hell's Kitchen; Midtown West,No,No,No,Yes,Dinner,Street,Casual,Intimate,Beer & Wine Only,No,No,Yes,No
82,Rocket Pig,463 W 24th St,New York,NY,10001,(212) 645-5660,rocketpignyc.com,$$,American (New),4.0,Chelsea,No,Yes,Yes,Yes,Lunch,,Casual,Casual,Beer & Wine Only,No,No,No,No
83,Roosters Caribbean Tapas,651 5th Ave,Brooklyn,NY,11215,(718) 788-6088,,$$,Caribbean,4.5,South Slope,Yes,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
84,Nowadays,56-06 Cooper Ave,Ridgewood,NY,11385,,nowadays.nyc,$$,Beer Gardens;Burgers;Bars,4.0,Bushwick; Glendale,No,No,No,Yes,,,Casual,Casual,Beer & Wine Only,Yes,No,No,No
85,Mazzat,208 Columbia St,Brooklyn,NY,11231,(718) 852-1652,,$$,Tapas Bars;Mediterranean;Middle Eastern,4.5,Columbia Street Waterfront District,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
86,Café Gitane,242 Mott St,New York,NY,10012,(212) 334-9552,cafegitanenyc.com,$$,French;Moroccan,4.0,Nolita,No,No,Yes,No,Lunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,Yes
87,Le Bon Choix,652 10th Ave,New York,NY,10036,(212) 262-0100,lebonchoixcafe.com,$$,Chicken Shop;Cafes;Sandwiches,5.0,Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Lunch,,Casual,Hipster,No,No,Free,No,Yes
88,Brickyard Gastropub,785 9th Ave,New York,NY,10019,(212) 767-0077,brickyardnyc.com,$$,Gastropubs;American (Traditional);Sports Bars,4.0,Theater District; Hell's Kitchen; Midtown West,Yes,Yes,Yes,Yes,Dinner; Late Night,Street,Casual,Casual,Full Bar,No,No,Yes,No
89,Luke’s Lobster,26 S William St,New York,NY,10004,(212) 747-1700,lukeslobster.com,$$,Seafood,4.5,Financial District,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
90,Pig And Khao,68 Clinton St,New York,NY,10002,(347) 704-2398,pigandkhao.com,$$,Filipino;Asian Fusion,4.0,Lower East Side,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
91,Post Office,188 Havemeyer St,Brooklyn,NY,11211,(718) 963-2574,postofficebk.com,$$,Bars;American (Traditional),4.5,Williamsburg - South Side,No,No,No,Yes,Late Night,Street,Casual,Hipster,Full Bar,No,No,Yes,No
92,Grimaldi’s,1 Front St,Brooklyn,NY,11201,(718) 858-4300,grimaldis.com,$$,Pizza,3.5,DUMBO,No,No,Yes,No,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
93,Tia Pol,205 10th Ave,New York,NY,10011,(212) 675-8805,tiapol.com,$$$,Tapas Bars;Spanish,4.0,Chelsea,Yes,No,No,Yes,Dinner,Garage; Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
94,Bricolage,162 5th Ave,Brooklyn,NY,11217,(718) 230-1835,bricolage.nyc,$$$,Vietnamese;Gastropubs,4.5,Park Slope,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
95,The Meatball Shop,170 Bedford Ave,Brooklyn,NY,11249,(718) 551-0520,themeatballshop.com,$$,American (Traditional);Italian,4.0,Williamsburg - North Side,No,No,Yes,Yes,Dinner; Late Night,Street,Casual,Hipster,Full Bar,No,No,Yes,Yes
96,Lot 2,687 6th Ave,Brooklyn,NY,11215,(718) 499-5623,lot2restaurant.com,$$,American (New);Burgers,4.5,South Slope,No,No,No,Yes,Dinner,Street,Casual,Intimate,Full Bar,No,No,Yes,No
97,The Grey Dog,244 Mulberry St,New York,NY,10012,(212) 966-1060,thegreydog.com,$$,Coffee & Tea;Breakfast & Brunch,4.0,Nolita,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
98,Taboonette,30 E 13th St,New York,NY,10003,(212) 510-7881,taboonette.com,$$,Middle Eastern,4.0,Union Square; Greenwich Village,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
99,Risotteria,270 Bleecker St,New York,NY,10014,(212) 924-6664,risotteria.com,$$,Italian;Gluten-Free;Vegetarian,4.0,West Village,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
100,CC’s Cafe,41 Monroe St,New York,NY,10002,(212) 571-1060,ccscafenyc.com,$$,Cafes;Breakfast & Brunch;American (New),4.0,Two Bridges,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,No
101,The Farm On Adderley,1108 Cortelyou Rd,Brooklyn,NY,11218,(718) 287-3101,thefarmonadderley.com,$$,American (New);Breakfast & Brunch,4.0,Flatbush,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
102,House of Small Wonder,77 N 6th St,Brooklyn,NY,11211,(718) 388-6160,houseofsmallwonder.com,$$,Breakfast & Brunch;American (New);Asian Fusion,4.5,Williamsburg - North Side,No,No,Yes,No,Brunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
103,Brooklyn Ice House,318 Van Brunt St,Brooklyn,NY,11231,(718) 222-1865,,$,Barbeque;Pubs,4.5,Red Hook,No,No,Yes,No,Lunch; Dinner; Late Night,Street,Casual,Divey,Full Bar,Yes,No,Yes,No
104,Smithfield,138 W 25th St,New York,NY,10001,(212) 929-9677,smithfieldnyc.com,$$,Pubs;American (Traditional);Sports Bars,4.0,Chelsea,Yes,No,Yes,Yes,Brunch; Late Night,Garage; Street,Casual,Casual,Full Bar,No,Free,Yes,No
105,Egg Shop,151 Elizabeth St,New York,NY,10012,(646) 666-0810,eggshopnyc.com,$$,Breakfast & Brunch;Sandwiches,4.0,Little Italy; Nolita,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
106,Homemade Taqueria,71-03 Grand Ave,Maspeth,NY,11378,(718) 779-0771,homemadetaqueria.com,$,Mexican,4.5,Maspeth,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,Yes,Yes
107,Becco,355 W 46th St,New York,NY,10036,(212) 397-7597,becco-nyc.com,$$$,Italian,4.0,Theater District; Hell's Kitchen; Midtown West,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
108,Black Swan,1048 Bedford Ave,Brooklyn,NY,11205,(718) 783-4744,blackswannyc.com,$$,Pubs;Gastropubs,3.5,Bedford Stuyvesant,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
109,Bo Ky Restaurant,80 Bayard St,New York,NY,10013,(212) 406-2292,,$,Chinese;Vietnamese,3.5,Chinatown,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,Yes,No
110,Parker & Quinn,64 W 39th St,New York,NY,10018,(212) 729-0277,parkerandquinnnyc.com,$$,American (New);Bars;Venues & Event Spaces,4.0,Midtown West,Yes,No,No,Yes,Brunch,Street,Casual,Trendy,Full Bar,No,No,Yes,No
111,Go! Go! Curry!,273 W 38th St,New York,NY,10018,(212) 730-5555,gogocurryusa-ny.com,$,Japanese,4.0,Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
112,Gramercy Tavern,42 E 20th St,New York,NY,10003,(212) 477-0777,gramercytavern.com,$$$$,American (New),4.5,Flatiron,Yes,No,No,Yes,Dinner,Street,Dressy,Classy,Full Bar,No,No,Yes,No
