ID,title,year,director,writer,actor
71,Pacific Rim,2013,Guillermo del Toro,Travis Beacham;Guillermo del Toro,Idris Elba;Charlie Hunnam;Charlie Day;Ron Perlman
72,Night at the Museum: Secret of the Tomb,2014,Shawn Levy,Thomas Lennon;David Guion;Michael Handelman;Ben Garant,Ben Stiller;Rami Malek;Rebel Wilson;Robin Williams
73,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,Ted Elliott;Terry Rossio;Stuart Beattie;Jay Wolpert,Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley
74,Thor: The Dark World,2013,Alan Taylor,Don Payne;Christopher Markus;Stephen McFeely;Christopher Yost,Chris Hemsworth;Natalie Portman;Tom Hiddleston;Anthony Hopkins
75,Wild Card,2015,Simon West,William Goldman,Jason Statham;Michael Angarano;Milo Ventimiglia;Dominik García-Lorido
76,Maggie,2015,Henry Hobson,John Scott 3,Arnold Schwarzenegger;Abigail Breslin;Joely Richardson;Laura Cayouette
77,Run All Night,2015,Jaume Collet-Serra,Brad Ingelsby,Liam Neeson;Ed Harris;Joel Kinnaman;Boyd Holbrook
78,Ex Machina,2015,Alex Garland,Alex Garland,Domhnall Gleeson;Oscar Isaac;Alicia Vikander;Sonoya Mizuno
79,Fantastic Four,2015,Josh Trank,Jeremy Slater;Josh Trank;Simon Kinberg;T.S. Nowlin,Miles Teller;Kate Mara;Jamie Bell;Toby Kebbell
80,Poltergeist,2015,Gil Kenan,David Lindsay-Abaire;Steven Spielberg,Sam Rockwell;Rosemarie DeWitt;Saxon Sharbino;Kyle Catlett
81,Frozen,2013,Chris Buck;Jennifer Lee,Hans Christian Andersen;Jennifer Lee;Chris Buck;Shane Morris,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad
82,Paul Blart: Mall Cop 2,2015,Andy Fickman,Kevin James;Nick Bakay,Kevin James;Raini Rodriguez;Eduardo Verástegui;Daniella Alonso
83,The Matrix,1999,Andy Wachowski;Lana Wachowski,Andy Wachowski;Lana Wachowski,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving
84,The Visit,2015,M. Night Shyamalan,M. Night Shyamalan,Olivia DeJonge;Ed Oxenbould;Kathryn Hahn;Benjamin Kanes
85,Captain America: The First Avenger,2011,Joe Johnston,Stephen McFeely;Christopher Markus,Chris Evans;Hugo Weaving;Tommy Lee Jones;Hayley Atwell
86,The SpongeBob Movie: Sponge Out of Water,2015,Paul Tibbitt,Stephen Hillenburg;Paul Tibbitt,Tom Kenny;Bill Fagerbakke;Rodger Bumpass;Clancy Brown
87,Sex Tape,2014,Jake Kasdan,Kate Angelo;Jason Segel;Nicholas Stoller,Cameron Diaz;Jason Segel;Rob Corddry;Ellie Kemper
88,Terminator Salvation,2009,McG,John D. Brancato;Michael Ferris,Christian Bale;Sam Worthington;Anton Yelchin;Moon Bloodgood
89,The Hobbit: The Desolation of Smaug,2013,Peter Jackson,J.R.R. Tolkien;Fran Walsh;Philippa Boyens;Peter Jackson;Guillermo del Toro,Martin Freeman;Ian McKellen;Richard Armitage;Ken Stott
90,The Wolf of Wall Street,2013,Martin Scorsese,Terence Winter;Jordan Belfort,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Kyle Chandler
91,How to Train Your Dragon 2,2014,Dean DeBlois,Cressida Cowell;Dean DeBlois,Jay Baruchel;Gerard Butler;Kristen Wiig;Jonah Hill
92,Batman Begins,2005,Christopher Nolan,Christopher Nolan;David S. Goyer,Christian Bale;Michael Caine;Liam Neeson;Katie Holmes
93,Avatar,2009,James Cameron,James Cameron,Zoe Saldana;Sigourney Weaver;Stephen Lang;Michelle Rodriguez
94,It Follows,2014,David Robert Mitchell,David Robert Mitchell,Maika Monroe;Keir Gilchrist;Olivia Luccardi;Lili Sepe
95,The Amazing Spider-Man 2,2014,Marc Webb,Alex Kurtzman;Roberto Orci;Jeff Pinkner;James Vanderbilt,Andrew Garfield;Emma Stone;Jamie Foxx;Dane DeHaan
96,The Interview,2014,Evan Goldberg;Seth Rogen,Dan Sterling;Seth Rogen;Evan Goldberg,James Franco;Seth Rogen;Lizzy Caplan;Randall Park
97,Spooks: The Greater Good,2015,Bharat Nalluri,Jonathan Brackley;Sam Vincent,Kit Harington;Jennifer Ehle;Lara Pulver;Elyes Gabel
98,Sin City: A Dame to Kill For,2014,Frank Miller;Robert Rodriguez,Frank Miller,Mickey Rourke;Jessica Alba;Josh Brolin;Joseph Gordon-Levitt
99,Mad Max Beyond Thunderdome,1985,George Miller;George Ogilvie,Terry Hayes;George Miller,Mel Gibson;Tina Turner;Bruce Spence;Helen Buday
100,The Hunger Games: Catching Fire,2013,Francis Lawrence,Simon Beaufoy;Suzanne Collins;Michael Arndt,Jennifer Lawrence;Josh Hutcherson;Sam Claflin;Elizabeth Banks
101,The Hobbit: An Unexpected Journey,2012,Peter Jackson,Fran Walsh;Philippa Boyens;Peter Jackson;Guillermo del Toro;J.R.R. Tolkien,Ian McKellen;Martin Freeman;Richard Armitage;Andy Serkis
102,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,J.R.R. Tolkien;Peter Jackson;Fran Walsh;Philippa Boyens,Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler
103,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,George Lucas,Hayden Christensen;Ewan McGregor;Natalie Portman;Ian McDiarmid
104,Mad Max,1979,George Miller,James McCausland;George Miller;Byron Kennedy,Mel Gibson;Joanne Samuel;Hugh Keays-Byrne;Steve Bisley
105,Quantum of Solace,2008,Marc Forster,Paul Haggis;Neal Purvis;Robert Wade,Daniel Craig;Olga Kurylenko;Mathieu Amalric;Judi Dench
106,Despicable Me,2010,Pierre Coffin;Chris Renaud,Ken Daurio;Sergio Pablos;Cinco Paul,Steve Carell;Jason Segel;Russell Brand;Julie Andrews
107,Air,2015,Christian Cantamessa,Chris Pasetto;Christian Cantamessa,Norman Reedus;Djimon Hounsou;Sandrine Holt;Peter Benson
108,Survivor,2015,James McTeigue,Philip Shelby,Pierce Brosnan;Milla Jovovich;Dylan McDermott;Angela Bassett
109,Focus,2015,Glenn Ficarra;John Requa,John Requa;Glenn Ficarra,Will Smith;Margot Robbie;Rodrigo Santoro;Robert Taylor
110,Transformers: Age of Extinction,2014,Michael Bay,Ehren Kruger,Mark Wahlberg;Stanley Tucci;Nicola Peltz;Jack Reynor
111,Django Unchained,2012,Quentin Tarantino,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington
112,A Walk Among the Tombstones,2014,Scott Frank,Scott Frank;Lawrence Block,Liam Neeson;Dan Stevens;David Harbour;Boyd Holbrook
113,The Grand Budapest Hotel,2014,Wes Anderson,Wes Anderson;Hugo Guinness,Ralph Fiennes;Tony Revolori;F. Murray Abraham;Mathieu Amalric
114,The Lord of the Rings: The Two Towers,2002,Peter Jackson,J.R.R. Tolkien;Peter Jackson;Fran Walsh;Philippa Boyens,Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler
115,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,George Lucas,Liam Neeson;Ewan McGregor;Natalie Portman;Jake Lloyd
116,The Transporter Refueled,2015,Camille Delamarre,Adam Cooper;Bill Collage;Luc Besson,Ed Skrein;Loan Chabanol;Lenn Kudrjawizki;Radivoje Bukvić
117,Harry Potter and the Philosopher's Stone,2001,Chris Columbus,J. K. Rowling;Steve Kloves,Daniel Radcliffe;Rupert Grint;Emma Watson;Richard Harris
118,Seventh Son,2015,Sergey Bodrov,Joseph Delaney;Max Borenstein;Matt Greenberg;Charles Leavitt,Jeff Bridges;Julianne Moore;Ben Barnes;Alicia Vikander
119,Fifty Shades of Grey,2015,Sam Taylor-Johnson,E.L. James;Kelly Marcel,Dakota Johnson;Jamie Dornan;Jennifer Ehle;Eloise Mumford
120,Navy Seals vs. Zombies,2015,Stanton Barrett,A.K. Waters;Matthew Carpenter,Ed Quinn;Michael Dudikoff;Rick Fox;Chad "Gunner" Lail
121,Her,2013,Spike Jonze,Spike Jonze,Joaquin Phoenix;Scarlett Johansson;Rooney Mara;Amy Adams
122,Divergent,2014,Neil Burger,Evan Daugherty;Vanessa Taylor;Veronica Roth,Shailene Woodley;Theo James;Kate Winslet;Miles Teller
123,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Leigh Brackett;Lawrence Kasdan;George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher;David Prowse
124,Up,2009,Pete Docter;Bob Peterson,Bob Peterson,Ed Asner;Christopher Plummer;Jordan Nagai;Bob Peterson
125,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,Jonathan Hales;George Lucas,Ewan McGregor;Natalie Portman;Hayden Christensen;Ian McDiarmid
126,Back to the Future,1985,Robert Zemeckis,Bob Gale;Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover
127,Dumb and Dumber To,2014,Bobby Farrelly;Peter Farrelly,John Morris;Sean Anders;Bennett Yellin;Peter Farrelly;Bobby Farrelly;Mike Cerrone,Jim Carrey;Jeff Daniels;Rachel Melvin;Kathleen Turner
128,Godzilla,2014,Gareth Edwards,Max Borenstein;Dave Callaham,Aaron Taylor-Johnson;Ken Watanabe;Elizabeth Olsen;Bryan Cranston
129,The November Man,2014,Roger Donaldson,Michael Finch;Karl Gajdusek;Bill Granger,Pierce Brosnan;Luke Bracey;Olga Kurylenko;Bill Smitrovich
130,Straight Outta Compton,2015,F. Gary Gray,Andrea Berloff;Jonathan Herman;S. Leigh Savidge;Alan Wenkus,O'Shea Jackson Jr.;Corey Hawkins;Jason Mitchell;Neil Brown Jr.
132,The Man from U.N.C.L.E.,2015,Guy Ritchie,Guy Ritchie;Lionel Wigram,Alicia Vikander;Henry Cavill;Armie Hammer;Hugh Grant
133,Spectre,2015,Sam Mendes,John Logan;Neal Purvis;Robert Wade,Daniel Craig;Christoph Waltz;Léa Seydoux;Monica Bellucci
134,Maleficent,2014,Robert Stromberg,Linda Woolverton,Angelina Jolie;Elle Fanning;Juno Temple;Sharlto Copley
135,Silver Linings Playbook,2012,David O. Russell,Matthew Quick;David O. Russell,Bradley Cooper;Jennifer Lawrence;Robert De Niro;Jacki Weaver
136,American Ultra,2015,Nima Nourizadeh,Max Landis,Kristen Stewart;Jesse Eisenberg;Topher Grace;Tony Hale
137,Let's Be Cops,2014,Luke Greenfield,Luke Greenfield;Nicholas Thomas,Nina Dobrev;Jake Johnson;Damon Wayans Jr.;James D'Arcy
138,Steve Jobs,2015,Danny Boyle,Aaron Sorkin;Walter Isaacson,Michael Fassbender;Kate Winslet;Seth Rogen;Katherine Waterston
139,Terminator 3: Rise of the Machines,2003,Jonathan Mostow,John D. Brancato;Michael Ferris;Tedi Sarafian,Arnold Schwarzenegger;Nick Stahl;Claire Danes;Kristanna Loken
140,Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,George Lucas;J.J. Abrams;Lawrence Kasdan,Mark Hamill;Carrie Fisher;Harrison Ford;Anthony Daniels
141,Magic Mike XXL,2015,Gregory Jacobs,Reid Carolin,Channing Tatum;Brandon Cyrus;Elizabeth Banks;Amber Heard
142,The Terminator,1984,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Michael Biehn;Linda Hamilton;Paul Winfield
143,Oblivion,2013,Joseph Kosinski,Karl Gajdusek;Michael Arndt,Tom Cruise;Morgan Freeman;Olga Kurylenko;Andrea Riseborough
144,The Lord of the Rings: The Return of the King,2003,Peter Jackson,J.R.R. Tolkien;Peter Jackson;Fran Walsh;Philippa Boyens,Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler
145,Stonehearst Asylum,2014,Brad Anderson,Edgar Allan Poe;Joe Gangemi,Kate Beckinsale;Jim Sturgess;Ben Kingsley;Michael Caine
146,Raiders of the Lost Ark,1981,Steven Spielberg,Lawrence Kasdan;George Lucas;Philip Kaufman,Harrison Ford;Karen Allen;Paul Freeman;Ronald Lacey
147,Mad Max 2: The Road Warrior,1981,George Miller,Terry Hayes;George Miller;Brian Hannant,Mel Gibson;Bruce Spence;Michael Preston;Max Phipps
148,Despicable Me 2,2013,Pierre Coffin;Chris Renaud,Ken Daurio;Cinco Paul,Steve Carell;Kristen Wiig;Benjamin Bratt;Miranda Cosgrove
149,Iron Man,2008,Jon Favreau,Art Marcum;Matt Holloway,Robert Downey Jr.;Terrence Howard;Jeff Bridges;Gwyneth Paltrow
150,The Shawshank Redemption,1994,Frank Darabont,Stephen King;Frank Darabont,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler
151,The Expendables 3,2014,Patrick Hughes,Sylvester Stallone;Creighton Rothenberger;Katrin Benedikt,Sylvester Stallone;Jason Statham;Harrison Ford;Arnold Schwarzenegger
152,Home,2015,Tim Johnson,Tom J. Astle;Matt Ember;Adam Rex;Todd Wilderman,Jim Parsons;Rihanna;Steve Martin;Jennifer Lopez
153,Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,Steve Kloves;J. K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint;Ralph Fiennes
154,The Drop,2014,Michaël R. Roskam,Dennis Lehane,Tom Hardy;Noomi Rapace;James Gandolfini;Matthias Schoenaerts
155,The Final Girls,2015,Todd Strauss-Schulson,M.A. Fortin;Joshua John Miller,Taissa Farmiga;Malin Åkerman;Nina Dobrev;Alexander Ludwig
156,Dope,2015,Rick Famuyiwa,Rick Famuyiwa,Zoë Kravitz;Blake Anderson;Keith Stanfield;Rick Fox
157,The Walk,2015,Robert Zemeckis,Robert Zemeckis;Christopher Browne;Philippe Petit,Joseph Gordon-Levitt;Ben Kingsley;Charlotte Le Bon;Ben Schwartz
158,Skyfall,2012,Sam Mendes,John Logan;Neal Purvis;Robert Wade,Daniel Craig;Judi Dench;Javier Bardem;Ralph Fiennes
159,Toy Story,1995,John Lasseter,Joss Whedon;Andrew Stanton;Joel Cohen;Alec Sokolow,Tom Hanks;Tim Allen;Don Rickles;Jim Varney
160,Thor,2011,Kenneth Branagh,Ashley Edward Miller;Zack Stentz;Don Payne;J. Michael Straczynski,Chris Hemsworth;Natalie Portman;Tom Hiddleston;Anthony Hopkins
161,I Spit on Your Grave III: Vengeance is Mine,2015,R.D. Braunstein,Daniel Gilboy,Sarah Butler;Jennifer Landon;Doug McKeon;Gabriel Hogan
162,Hotel Transylvania,2012,Genndy Tartakovsky,Dan Hageman,Adam Sandler;Steve Buscemi;David Spade;Kevin James
163,Leon: The Professional,1994,Luc Besson,Luc Besson,Jean Reno;Natalie Portman;Gary Oldman;Danny Aiello
164,Mission: Impossible III,2006,J.J. Abrams,Alex Kurtzman;Roberto Orci;J.J. Abrams,Tom Cruise;Philip Seymour Hoffman;Ving Rhames;Billy Crudup
165,Asterix: The Land of the Gods,2014,Alexandre Astier;Louis Clichy,,Roger Carel;Alexandre Astier;Lionnel Astier;Serge Papagalli
166,Trainwreck,2015,Judd Apatow,Amy Schumer,Amy Schumer;Bill Hader;Brie Larson;Colin Quinn
167,Autómata,2014,Gabe Ibáñez,Gabe Ibáñez;Igor Legarreta;Javier Sánchez Donate,Antonio Banderas;Birgitte Hjort Sørensen;Melanie Griffith;Dylan McDermott
168,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Lawrence Kasdan;George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams
169,The Wedding Ringer,2015,Jeremy Garelick,Jeremy Garelick;Jay Lavender,Kevin Hart;Josh Gad;Kaley Cuoco;Affion Crockett
170,Mortdecai,2015,David Koepp,Kyril Bonfiglioli;Eric Aronson,Johnny Depp;Gwyneth Paltrow;Ewan McGregor;Paul Bettany
171,The Amazing Spider-Man,2012,Marc Webb,Alvin Sargent;Steve Kloves;James Vanderbilt,Andrew Garfield;Emma Stone;Rhys Ifans;Denis Leary
172,Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,Ted Elliott;Terry Rossio,Johnny Depp;Ian McShane;Penélope Cruz;Geoffrey Rush
173,Casino Royale,2006,Martin Campbell,Neal Purvis;Robert Wade;Paul Haggis,Daniel Craig;Eva Green;Mads Mikkelsen;Judi Dench
174,Who Am I - No System is Safe,2014,Baran bo Odar,Jantje Friese;Baran bo Odar,Tom Schilling;Elyas M’Barek;Trine Dyrholm;Antoine Monot Jr.
175,The Loft,2014,Erik Van Looy,Bart De Pauw;Wesley Strick,Karl Urban;James Marsden;Wentworth Miller;Matthias Schoenaerts
176,Iron Man 3,2013,Shane Black,Shane Black;Drew Pearce,Robert Downey Jr.;Gwyneth Paltrow;Guy Pearce;Don Cheadle
177,Serial (Bad) Weddings,2014,Philippe de Chauveron,Guy Laurent;Philippe de Chauveron,Christian Clavier;Chantal Lauby;Ary Abittan;Medi Sadoun
