_id,idDBLP,idACM
1987,journals/vldb/BonifatiCP01,767136
1992,journals/vldb/ShegalovGW01,767139
1994,journals/vldb/LeeSC01,765507
1999,journals/vldb/FuCCM00,765232
2006,journals/vldb/BraumandlCKK00,764214
2017,journals/vldb/LawLG99,765513
2020,journals/vldb/LiR99,765515
2027,journals/vldb/NgS98,765539
2030,journals/vldb/RoySSSA98,765534
2048,journals/vldb/LometS97,765558
2049,journals/vldb/Cobb97,765555
2062,journals/vldb/MylopoulosCPST96,765853
2081,journals/vldb/SwamiS95,615239
2085,journals/vldb/AbiteboulB95,615234
2094,journals/vldb/TempletonHMB95,615222
2102,journals/vldb/PapadiasS94,615209
2106,journals/vldb/DerrMP94,615194
2118,journals/vldb/Atkinson00,765234
2122,journals/vldb/ManegoldBK00,765238
2124,journals/vldb/TanGO00,765240
2180,conf/sigmod/BohrerBBCFHKKMNRRSUUW97,253294
2195,conf/sigmod/Seshadri99,304226
2214,journals/sigmod/Grefen02,507356
