#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,year_year_exm,year_year_anm,year_year_lev,venue_venue_lev,gold,predicted
22,conf/vldb/KornMZ03,872790,1.0,1.0,0.666666666667,0.0,0,0
23,conf/vldb/DeutschPT99,756643,1.0,1.0,0.666666666667,0.190476190476,1,1
24,conf/sigmod/RaoR00,671362,0.0,0.9995,0.0,0.047619047619,0,0
25,journals/tods/YanG94,381882,0.0,0.998997995992,0.5,0.24,0,0
26,conf/vldb/HageJPST03,672182,0.0,0.999001497753,0.5,0.190476190476,0,0
27,journals/sigmod/Weikum02,601867,1.0,1.0,0.666666666667,0.764705882353,1,1
28,conf/sigmod/RinfretOO01,672027,1.0,1.0,0.666666666667,0.047619047619,0,0
29,conf/vldb/LakshmananSS99,671511,1.0,1.0,0.666666666667,0.190476190476,1,1
30,conf/vldb/WeikumMHZ02,271096,0.0,0.997502497502,0.0,0.0588235294118,0,0
31,conf/sigmod/HellersteinA00,335420,1.0,1.0,0.666666666667,0.239130434783,1,1
32,conf/sigmod/LeeWMS01,375709,1.0,1.0,0.666666666667,0.239130434783,1,1
33,conf/sigmod/RamaswamyRS00,276312,0.0,0.999,0.0,0.239130434783,0,0
34,conf/sigmod/SengarH03,872867,1.0,1.0,0.666666666667,0.239130434783,1,1
35,journals/sigmod/Vassilakis00,335473,1.0,1.0,0.666666666667,0.0869565217391,0,0
36,conf/vldb/ViverosNR96,212017,0.0,0.999498997996,0.5,0.0,0,0
37,journals/sigmod/PhatakSSS96,381897,1.0,1.0,0.666666666667,0.764705882353,1,1
38,conf/vldb/Ladin00,671856,1.0,1.0,0.666666666667,0.190476190476,1,1
39,conf/sigmod/SwamiS94,191877,1.0,1.0,0.666666666667,0.239130434783,1,1
40,conf/sigmod/AdaliBSS98,673639,0.0,0.999499499499,0.5,0.047619047619,0,0
41,conf/vldb/ShaferAM96,673491,1.0,1.0,0.666666666667,0.0,1,0
42,conf/sigmod/NgLHM99,304575,1.0,1.0,0.666666666667,0.239130434783,1,1
43,conf/vldb/AnciauxBP03,223791,0.0,0.996005991013,0.0,0.0217391304348,0,0
44,conf/vldb/Shenker03,958946,1.0,1.0,0.666666666667,0.0232558139535,0,0
45,conf/sigmod/ChristophidesCS00,335395,1.0,1.0,0.666666666667,0.239130434783,1,1
46,conf/vldb/WangZ00,672020,1.0,1.0,0.666666666667,0.190476190476,0,0
47,journals/tods/ChomickiTB01,383892,1.0,1.0,0.666666666667,0.53488372093,1,1
48,conf/sigmod/WhiteCF98,276355,1.0,1.0,0.666666666667,0.239130434783,1,1
49,conf/vldb/StaudtJ96,765752,1.0,1.0,0.666666666667,0.056338028169,0,0
50,conf/vldb/TamuraK99,671495,1.0,1.0,0.666666666667,0.190476190476,1,1
51,conf/sigmod/HanFWCZK96,280356,1.0,1.0,0.666666666667,0.239130434783,1,1
52,conf/sigmod/StoltePAG03,671020,0.0,0.99700449326,0.0,0.047619047619,0,0
53,conf/sigmod/WilschutFA95,276329,0.0,0.998498498498,0.5,0.239130434783,0,0
54,conf/vldb/GoldmanSVG98,671346,1.0,1.0,0.666666666667,0.190476190476,1,1
55,conf/vldb/RiedelGF98,671345,1.0,1.0,0.666666666667,0.190476190476,1,1
56,conf/vldb/Shmueli01,375685,1.0,1.0,0.666666666667,0.0217391304348,0,0
57,journals/vldb/SivasankaranSTPR96,253294,0.0,0.999499248873,0.5,0.0217391304348,0,0
58,conf/sigmod/SionAP03,872845,1.0,1.0,0.666666666667,0.239130434783,0,0
59,journals/vldb/MaratheS02,767098,0.0,0.0,0.0,0.0845070422535,1,1
60,journals/sigmod/AshishK97,271078,1.0,1.0,0.666666666667,0.764705882353,1,1
61,conf/sigmod/CherniackZ96,233356,1.0,1.0,0.666666666667,0.239130434783,1,1
62,conf/sigmod/ZhuS03,872780,1.0,1.0,0.666666666667,0.239130434783,1,1
63,conf/vldb/HasanM95,671338,0.0,0.998498498498,0.5,0.190476190476,0,0
64,journals/tods/StolboushkinT98,288089,1.0,1.0,0.666666666667,0.53488372093,1,1
65,conf/sigmod/DeutschFS99,304220,1.0,1.0,0.666666666667,0.239130434783,1,1
66,conf/sigmod/CohenM03,872787,1.0,1.0,0.666666666667,0.239130434783,1,1
67,conf/sigmod/HaasH99,304208,1.0,1.0,0.666666666667,0.239130434783,1,1
68,conf/vldb/LometT95,673170,1.0,1.0,0.666666666667,0.190476190476,1,1
69,conf/sigmod/BrinkhoffKSS94,191880,1.0,1.0,0.666666666667,0.239130434783,1,1
70,journals/sigmod/ShahMFH01,604282,1.0,1.0,0.666666666667,0.764705882353,1,1
71,conf/sigmod/AggarwalPWYP99,304188,1.0,1.0,0.666666666667,0.239130434783,1,1
72,conf/vldb/Suciu96,673629,1.0,1.0,0.666666666667,0.190476190476,1,1
73,conf/sigmod/AndersonBKW98,276347,1.0,1.0,0.666666666667,0.239130434783,1,1
74,conf/sigmod/Adelberg98,276330,1.0,1.0,0.666666666667,0.239130434783,1,1
75,conf/sigmod/Golding95,223865,1.0,1.0,0.666666666667,0.239130434783,1,1
76,conf/sigmod/OzdenRSS96,233322,1.0,1.0,0.666666666667,0.239130434783,1,1
77,journals/sigmod/VetterliVS00,362138,1.0,1.0,0.666666666667,0.764705882353,1,1
78,journals/vldb/DeWittNSV96,765751,1.0,1.0,0.666666666667,0.0845070422535,1,1
79,conf/sigmod/LangS01,276353,0.0,0.998500749625,0.0,0.239130434783,0,0
80,journals/vldb/SwamiS95,191877,0.0,0.999498746867,0.5,0.0217391304348,0,0
81,conf/vldb/LockemannKKKN97,673665,1.0,1.0,0.666666666667,0.190476190476,1,1
82,conf/sigmod/ChaudhuriGN02,564747,1.0,1.0,0.666666666667,0.239130434783,1,1
83,conf/sigmod/AgichteinG03,872851,1.0,1.0,0.666666666667,0.239130434783,1,1
84,journals/vldb/BernsteinPS00,765235,1.0,1.0,0.666666666667,0.0845070422535,1,1
85,journals/sigmod/Suciu97,271077,1.0,1.0,0.666666666667,0.764705882353,1,1
86,journals/vldb/EvangelidisS97,765544,1.0,1.0,0.666666666667,0.0845070422535,1,1
87,conf/sigmod/ChaudhuriN98,276337,1.0,1.0,0.666666666667,0.239130434783,1,1
88,journals/sigmod/KuanL99,304195,1.0,1.0,0.666666666667,0.0869565217391,0,0
89,conf/vldb/SeegerBBKSDS01,304203,0.0,0.99900049975,0.0,0.0217391304348,0,0
90,conf/vldb/ManegoldBK00,233368,0.0,0.998,0.0,0.0217391304348,0,0
91,conf/sigmod/Team95,223843,1.0,1.0,0.666666666667,0.239130434783,0,0
92,journals/sigmod/Chen94,187460,0.0,0.0,0.0,0.764705882353,1,1
93,journals/sigmod/Hoffner03,776995,1.0,1.0,0.666666666667,0.764705882353,1,1
94,conf/sigmod/HacigumusILM02,564717,1.0,1.0,0.666666666667,0.239130434783,1,1
95,conf/sigmod/PadmanabhanBMCH03,872835,1.0,1.0,0.666666666667,0.239130434783,1,1
96,conf/vldb/PedersenJD99,671491,1.0,1.0,0.666666666667,0.190476190476,1,1
97,conf/vldb/KornSFSP96,673493,1.0,1.0,0.666666666667,0.190476190476,1,1
98,journals/sigmod/KambhampatiK03,672186,0.0,0.999001497753,0.5,0.047619047619,0,0
99,journals/sigmod/GerlhofKM96,615230,0.0,0.999498997996,0.5,0.0704225352113,0,0
100,journals/sigmod/LudascherMM01,603876,1.0,1.0,0.666666666667,0.0,1,0
101,journals/sigmod/Mackay99,309852,1.0,1.0,0.666666666667,0.764705882353,1,1
102,conf/vldb/LakshmiZ98,671200,1.0,1.0,0.666666666667,0.190476190476,1,1
103,journals/sigmod/StolfoLCFE01,604267,1.0,1.0,0.666666666667,0.764705882353,1,1
104,journals/sigmod/Rosneblatt94,190649,1.0,1.0,0.666666666667,0.764705882353,1,0
105,journals/sigmod/ShethMKA01,604286,1.0,1.0,0.666666666667,0.764705882353,1,1
106,journals/tods/ShashaLSV95,219774,1.0,1.0,0.666666666667,0.24,0,0
107,journals/tods/CasatiCPP99,328996,1.0,1.0,0.666666666667,0.53488372093,1,1
108,journals/sigmod/KeetonPH98,290602,1.0,1.0,0.666666666667,0.764705882353,1,1
109,conf/sigmod/BunemanDHS96,373697,0.0,0.997501249375,0.0,0.235294117647,0,0
110,conf/vldb/BrownCC94,672985,1.0,1.0,0.666666666667,0.190476190476,1,1
111,journals/sigmod/ChangGKRS98,601881,0.0,0.998001998002,0.0,0.764705882353,0,0
112,journals/sigmod/FowlerPNB99,304209,1.0,1.0,0.666666666667,0.0869565217391,0,0
113,conf/vldb/CherniackFZ01,672180,1.0,1.0,0.666666666667,0.0,1,0
114,conf/sigmod/HaasH01,375800,1.0,1.0,0.666666666667,0.239130434783,1,0
115,conf/sigmod/AcharyaAFZ95,223816,1.0,1.0,0.666666666667,0.239130434783,1,1
116,conf/vldb/FukudaMMT96,383893,0.0,0.997501249375,0.0,0.0232558139535,0,0
117,conf/vldb/OuzzaniAB94,191847,1.0,1.0,0.666666666667,0.0217391304348,0,0
118,conf/vldb/HoelS95,673135,1.0,1.0,0.666666666667,0.190476190476,1,1
119,conf/vldb/LevyMS94,335492,0.0,0.997,0.166666666667,0.0217391304348,0,0
120,conf/vldb/WaasCB01,672026,1.0,1.0,0.666666666667,0.190476190476,1,1
121,journals/sigmod/RosenthalSMBTL95,212020,1.0,1.0,0.666666666667,0.764705882353,1,1
122,journals/sigmod/ChrysanthisSZ03,369277,0.0,0.99850224663,0.666666666667,0.764705882353,0,0
123,conf/vldb/GhoshPSH02,764215,0.0,0.999000999001,0.666666666667,0.056338028169,0,0
124,conf/sigmod/HsiaoCY94,765551,0.0,0.99849774662,0.5,0.112676056338,0,0
