ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
12.html,Steve Jobs,Walter Isaacson,$21.34 ,$12.27 ,$12.99 ,$19.19 ,9.78145E+12,978-1451648546,,Simon & Schuster,,925,656,6.38(w) x 9.02(h) x 1.56(d)
13.html,Turn Your Story into an eBook: Easy Self-Publishing with Draft2Digital.com (Unstressed Syllables Presents),Aaron Pogue,,,,,2.94002E+12,294-0015963328,Unstressed Syllables Presents,Masked Fox Productions,,"14,345",,
14.html,Windows 10 For Seniors For Dummies,Peter Weverka,,$14.59 ,$12.99 ,,9.78112E+12,978-1119038597,,Wiley,,392,336,7.30(w) x 9.20(h) x 0.80(d)
15.html,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull# Amy Wallace,$16.66 ,,$13.99 ,$24.55 ,9.78081E+12,978-0812993011,,Random House Publishing Group,,768,368,6.20(w) x 9.40(h) x 2.20(d)
16.html,"CompTIA A+ Certification All-in-One Exam Guide, 8th Edition (Exams 220-801 & 220-802)",Mike Meyers,,,$45.00 ,,9.78007E+12,978-0071795111,All-in-One,McGraw-Hill Education,,"120,658",1200,
17.html,Teach Yourself VISUALLY Windows 10,Paul McFedries,,$17.34 ,$15.99 ,,9.78112E+12,978-1119057024,Teach Yourself VISUALLY (Tech) Series,Wiley,,"1,351",352,9.00(w) x 7.40(h) x 0.80(d)
18.html,"App Storm: Best Kindle Fire Apps, a Torrent of Games, Tools, and Learning Applications, Free and Paid, for Young and Old",Steve Weber,,,,,9.7815E+12,978-1498965040,,Steve Weber,,"18,406",,
19.html,So You've Been Publicly Shamed,Jon Ronson,$19.06 ,$16.00 ,$13.99 ,$24.43 ,9.78159E+12,978-1594487132,,Penguin Publishing Group,,"45,652",304,
20.html,"CISSP All-in-One Exam Guide, 6th Edition",Shon Harris,,,$60.00 ,,9.78007E+12,978-0071781732,All-in-One,McGraw-Hill Education,,"449,536",1008,
21.html,The Church of Facebook: How the Wireless Generation Is Redefining Community,Jesse Rice,,$13.46 ,$10.99 ,,9.78143E+12,978-1434765345,,"Cook, David C",,,240,5.50(w) x 8.20(h) x 0.60(d)
22.html,MyStatLab Student Access Kit (Standalone),Pearson Education# Pearson Education Staff,,,,,9.78032E+12,978-0321694645,,Pearson,,"21,835",,7.80(w) x 9.80(h) x 0.20(d)
23.html,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender# Rick Tetzeli,$30.00 , ,$14.99 ,$31.33 ,9.78039E+12,978-0385347402,,The Crown Publishing Group,,"49,449",464,6.40(w) x 9.20(h) x 1.60(d)
24.html,The Witcher 3: Wild Hunt Collector's Edition: Prima Official Game Guide,David Hodgson# Alex Musa,,,,,9.7808E+12,978-0804162982,,DK Games,,"23,845",528,8.30(w) x 11.10(h) x 1.70(d)
25.html,Samsung Galaxy Tab 4 NOOK For Dummies,Corey Sandler,,$18.53 ,$10.49 ,,9.78112E+12,978-1119008347,,Wiley,,"101,609",288,7.30(w) x 9.00(h) x 0.60(d)
28.html,"Introducing Windows 10 for IT Professionals, Preview Edition",Ed Bott,,,,,9.78074E+12,978-0735696990,Introducing,Pearson Education,,"26,176",150,
29.html,Quicken WillMaker Plus 2015 Edition: Book & Software Kit,Nolo Editors,,,,,9.78141E+12,978-1413320732,,NOLO,,"27,928",472,6.90(w) x 8.90(h) x 1.20(d)
30.html,"Future Crimes: Everything Is Connected, Everyone Is Vulnerable and What We Can Do About It",Marc Goodman,$17.04 ,,$12.99 ,$32.15 ,9.78039E+12,978-0385539005,,Knopf Doubleday Publishing Group,,"41,330",464,6.20(w) x 9.40(h) x 1.40(d)
31.html,Pokemon Omega Ruby & Pokemon Alpha Sapphire: The Official National Pokedex,Pokemon Company International,,,,,9.7811E+12,978-1101898284,,"Random House, Inc.",,"29,091",592,
32.html,700 Best Kindle Fire Apps: Including the Top 500+ Free Apps!,Steve Weber,,,,,2.94015E+12,294-0151711913,,Steve Weber,,"30,627",,
33.html,"Library of Death (The Scourge of the Glitch , #1)",Cantonfield Kids,,,,,2.94005E+12,294-0046262872,Scourge of the Glitch,Cantonfield Publishing,,"28,490",,
34.html,"CompTIA Network+ All-In-One Exam Guide, Sixth Edition (Exam N10-006)",Mike Meyers,$34.39 ,,$34.99 ,,9.78007E+12,978-0071848220,All-in-One Series,McGraw-Hill Professional Publishing,,"31,213",872,7.70(w) x 9.10(h) x 2.00(d)
35.html,A Newbies Guide to Samsung Galaxy Tab 4 Nook: The Unofficial Beginners Guide to Doing Everything with the Nook Tablet,Minute Help Guides,,$7.99 ,$2.99 ,,9.7815E+12,978-1502337368,,CreateSpace Publishing,,"345,691",100,8.50(w) x 11.00(h) x 0.21(d)
36.html,Earn Money with Swagbucks,Jeff Boyer,,,,,2.94015E+12,294-0152253818,,Gamma Mouse,,"29,943",,
37.html,Make Money Online,Warren R. Sullivan,,,,,2.94015E+12,294-0152244359,,Gamma Mouse,,"34,124",,
38.html,Tony Northrup's DSLR Book: How to Create Stunning Digital Photography,Tony Northrup,,$21.50 ,$9.98 ,,2.94001E+12,294-0013832770,,Mason Press,,"34,610",240,
39.html,Evernote Essentials Guide (Boxed Set): Evernote Guide For Beginners for Organizing Your Life,Speedy Publishing,,,,,9.78163E+12,978-1633835481,,Speedy Publishing LLC,,"37,136",58,
41.html,"Golem Attack (The Mastercreeper Plan, #1)",Cantonfield Kids,,,,,2.94015E+12,294-0151699884,Mastercreeper Plan,Cantonfield Publishing,,"33,835",,
42.html,That Tree: An iPhone Photo Journal Documenting a Year in the Life of a Lonely Bur Oak,Mark Hirsch,,,,,9.78062E+12,978-0615804422,,Press Syndication Group,,"35,686",,10.20(w) x 10.20(h) x 0.90(d)
43.html,Record Store in a Box: A Guide to Free Music on the Internet,Chris Mason,,,,,2.94005E+12,294-0045580809,In a Box,Chris Mason,,"38,584",,
44.html,World Wide Rave: Creating Triggers that Get Millions of People to Spread Your Ideas and Share Your Stories / Edition 1,David Meerman Scott,$17.36 ,,$0.00 ,,9.78047E+12,978-0470395004,,Wiley,,"1,331,506",208,4.90(w) x 7.10(h) x 0.60(d)
45.html,Alan Turing: The Enigma Man,Nigel Cawthorne,,,,,9.78178E+12,978-1784280420,,Arcturus Publishing,,"36,836",,
46.html,Tribes: We Need You to Lead Us,Seth Godin,$11.76 ,,$16.99 ,$7.11 ,9.78159E+12,978-1591842330,,Penguin Publishing Group,,"36,949",160,
47.html,Creating Mobile Apps with Xamarin.Forms Preview Edition 2,Charles Petzold,,,,,9.78074E+12,978-0735697379,Developer Reference,Pearson Education,,"37,079",400,
48.html,JavaScript and HTML5 Now,Kyle Simpson,,,,,9.78145E+12,978-1449339067,,"O'Reilly Media, Incorporated",,"38,987",18,
49.html,The Adobe Photoshop Lightroom CC Book for Digital Photographers,Scott Kelby,,$31.09 ,$23.49 ,,9.78013E+12,978-0133979794,Voices That Matter Series,New Riders,,"36,647",576,7.90(w) x 9.90(h) x 1.30(d)
50.html,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,$18.03 ,$10.11 ,$9.99 ,$9.38 ,9.78045E+12,978-0446576222,,Grand Central Publishing,,"37,889",253,5.90(w) x 8.90(h) x 0.90(d)
51.html,Find free Kindle books,Edward Jones,,,,,2.94015E+12,294-0152199239,,Edward Jones,,"37,486",,
52.html,HTML & CSS: Design and Build Web Sites,Jon Duckett,,$17.19 ,,,9.78112E+12,978-1118008188,,Wiley,,"39,087",512,7.30(w) x 9.10(h) x 1.10(d)
53.html,How Google Works,Eric Schmidt# Jonathan Rosenberg,$17.88 ,$17.99 ,$14.99 ,$24.47 ,9.78146E+12,978-1455582341,,Grand Central Publishing,,"39,115",304,5.90(w) x 9.10(h) x 0.90(d)
54.html,Discovering Statistics using IBM SPSS Statistics / Edition 4,Andy Field,$178.66 ,$74.10 ,,,9.78145E+12,978-1446249185,,SAGE Publications,,"40,464",915,10.20(w) x 7.70(h) x 1.40(d)
55.html,Rise of the Robots: Technology and the Threat of a Jobless Future,Martin Ford,$17.67 ,$13.52 ,$15.99 ,$18.79 ,9.78047E+12,978-0465059997,,Basic Books,,"40,279",352,5.40(w) x 8.30(h) x 0.90(d)
56.html,How to Make Money from Home,Adam Jessop,,,,,2.94015E+12,294-0152162998,,Gamma Mouse,,"39,310",,
57.html,Guinness World Records 2016 Gamer's Edition,Guinness World Records,,$8.57 ,$9.99 ,,9.78191E+12,978-1910561096,,Guinness World Records,,"42,215",216,
58.html,Windows 10 All-in-One For Dummies,Woody Leonhard,,$20.05 ,$18.49 ,,9.78112E+12,978-1119038733,,Wiley,,"41,699",984,
59.html,Samsung Galaxy Tab 4 User Manual: Tips & Tricks Guide for Your Tablet!,Shelby Johnson,,$6.99 ,$2.99 ,,9.78069E+12,978-0692272497,,RAM Internet Media,,"171,746",76,5.90(w) x 8.80(h) x 0.30(d)
60.html,Microsoft Azure Essentials Azure Automation,Michael McKeown,,,,,9.78074E+12,978-0735698161,,Pearson Education,,"46,765",112,
61.html,Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,$15.16 ,,$14.99 ,$21.93 ,9.78039E+12,978-0385346450,,The Doubleday Religious Publishing Group,,"47,556",256,6.20(w) x 9.40(h) x 1.00(d)
62.html,"Thinking with Type, 2nd revised and expanded edition: A Critical Guide for Designers, Writers, Editors, & Students / Edition 2",Ellen Lupton,,$13.95 ,,,9.78157E+12,978-1568989693,,Princeton Architectural Press,,"45,231",224,
63.html,"Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World",Gary Vaynerchuk,$17.85 ,,$14.99 ,,9.78006E+12,978-0062273062,,HarperCollins Publishers,,"44,545",224,7.70(w) x 9.20(h) x 0.90(d)
64.html,PMP Exam Prep Book,Rita Mulcahy,,$86.62 ,,,9.78193E+12,978-1932735659,,"RMC Publications, Incorporated",,"43,032",640,8.50(w) x 10.90(h) x 1.60(d)
65.html,Cisco CCENT/CCNA ICND1 100-101 Official Cert Guide,Wendell Odom,$24.24 ,,$18.49 ,,9.78159E+12,978-1587143854,Official Cert Guide Series,Cisco Press,,"45,668",899,7.30(w) x 9.30(h) x 2.20(d)
66.html,Computer Training: Windows 10,Kevin Wilson,,$13.27 ,$2.99 ,,9.78099E+12,978-0993298165,,Elluminet Press,,"156,046",148,7.00(w) x 10.00(h) x 0.32(d)
67.html,Minecraft: Pocket Edition Mods,TNT Guides,,,,,9.7813E+12,978-1304685148,,Lulu.com,,"45,066",,
68.html,Subway Surfer,Pixel Game Guides,,,,,2.94015E+12,294-0149227563,,Pixel Game Guides,,"43,743",,
69.html,The Dark Net: Inside the Digital Underworld,Jamie Bartlett,$17.91 ,$16.95 ,$15.49 ,,9.78161E+12,978-1612194899,,Melville House Publishing,,"65,920",320,6.10(w) x 9.10(h) x 1.30(d)
70.html,QuickBooks 2015: The Missing Manual: The Official Intuit Guide to QuickBooks 2015,Bonnie Biafore,,$27.12 ,$18.49 ,,9.78149E+12,978-1491947135,,"O'Reilly Media, Incorporated",,"47,292",802,7.00(w) x 9.10(h) x 1.70(d)
71.html,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,$15.94 ,$9.72 ,$10.49 , ,9.78039E+12,978-0393339758,,"Norton, W. W. & Company, Inc.",,"48,887",280,5.50(w) x 8.20(h) x 0.80(d)
72.html,OS X Yosemite: The Missing Manual,David Pogue,,$26.37 ,$17.49 ,,9.78149E+12,978-1491947166,,"O'Reilly Media, Incorporated",,"46,376",878,7.00(w) x 9.10(h) x 1.70(d)
73.html,CISSP (ISC)2 Certified Information Systems Security Professional Official Study Guide,James M. Stewart# Mike Chapple# Darril Gibson,,$40.12 ,$36.49 ,,9.78112E+12,978-1119042716,,Wiley,,"49,213",1080,7.40(w) x 9.20(h) x 2.20(d)
74.html,"WordPress in 12 Easy Steps How to Build Website with WordPress On Your Own Domain, a Step-By-Step Guide for Beginners",Meg Hussey,,,,,9.7815E+12,978-1498986649,,Meg Hussey,,"46,426",,
75.html,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,,$27.00 ,$20.99 ,,9.78032E+12,978-0321965516,Voices That Matter Series,New Riders,,"50,563",216,6.90(w) x 8.90(h) x 0.80(d)
76.html,Candy Crush Soda Saga Game: Guide With Extra Level Tips!,RAM Internet Media,,,,,2.94005E+12,294-0046300970,,RAM Internet Media,,"49,420",,
77.html,How Data Science Is Transforming Health Care,Tim O'Reilly# Mike Loukides# Julie Steele# Colin Hill,,,,,9.78145E+12,978-1449344979,,"O'Reilly Media, Incorporated",,"49,416",30,
78.html,Elder Scrolls V: Skyrim Legendary Standard Edition: Prima Official Game Guide,David Hodgson,,,,,9.78031E+12,978-0307895509,,DK Games,,"48,608",1120,8.02(w) x 10.68(h) x 1.63(d)
79.html,Getting to Know ArcGIS for Desktop / Edition 3,Michael Law# Amy Collins,,$50.31 ,,,9.78159E+12,978-1589483088,Getting to Know Series,ESRI Press,,"50,295",768,7.40(w) x 9.00(h) x 1.60(d)
80.html,Guinness World Records 2015 Gamer's Edition,Guinness World Records,,$14.99 ,$9.99 ,,9.78191E+12,978-1908843661,,Guinness World Records,,"50,811",216,what's this?
81.html,YouTube Unleashed! 25 Hot Strategies to Skyrocket your Views and Subscribers on YouTube to Make Money!,Sean K. Michael,,,,,2.94015E+12,294-0151830553,,Sean K. Michael,,"51,084",,
82.html,"Understanding Exposure, 3rd Edition: How to Shoot Great Photographs with Any Camera",Bryan Peterson,,$18.11 ,$14.99 ,,9.78082E+12,978-0817439392,,Potter/TenSpeed/Harmony,,"54,240",176,8.50(w) x 10.90(h) x 0.60(d)
84.html,Adobe Illustrator CC Classroom in a Book (2014 release),Kordes Adobe Creative Team,,$38.02 ,$27.99 ,,9.78013E+12,978-0133905656,Classroom in a Book Series,Adobe Press,,"52,068",480,7.30(w) x 9.00(h) x 0.90(d)
85.html,"My iPhone for Seniors (Covers iOS 8 for iPhone 6/6 Plus, 5S/5C/5, and 4S)",Brad Miser,,$17.91 ,$11.99 ,,9.78079E+12,978-0789753618,My... Series,Que,,"52,291",704,6.90(w) x 9.00(h) x 1.20(d)
86.html,Pogue's Basics: Essential Tips and Shortcuts (That No One Bothers to Tell You) for Simplifying the Technology in Your Life,David Pogue,,$17.16 ,$9.99 ,,9.78125E+12,978-1250053480,,Flatiron Books,,"49,976",368,5.50(w) x 8.20(h) x 1.10(d)
87.html,QuickBooks 2015 All-in-One For Dummies,Stephen L. Nelson,,$23.85 ,$18.49 ,,9.78112E+12,978-1118920176,For Dummies Series,Wiley,,"50,831",600,7.30(w) x 9.20(h) x 1.20(d)
88.html,CCNA Routing and Switching 200-120 Official Cert Guide Library,Wendell Odom,,,$27.99 ,,9.78013E+12,978-0133479898,Official Cert Guide,Pearson Education,,"271,522",1600,
89.html,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",Blake J. Harris,$20.13 ,$11.75 ,$10.99 ,$50.15 ,9.78006E+12,978-0062276704,,HarperCollins Publishers,,"111,935",576,5.90(w) x 9.10(h) x 1.60(d)
90.html,Microsoft System Center Operations Manager Field Experience,Danny Hermans# Uwe Stürtz# Mihai Sarbulescu# Mitch Tulloch,,,,,9.78074E+12,978-0735695870,,Pearson Education,,"53,233",112,
91.html,Excel 2013 All-in-One For Dummies,Greg Harvey,,$20.79 ,$18.49 ,,9.78112E+12,978-1118510100,For Dummies Series,Wiley,,"51,737",792,6.90(w) x 9.30(h) x 1.90(d)
92.html,Salesforce.com For Dummies,Tom Wong# Liz Kao# Matt Kaufman,,$15.11 ,$14.99 ,,9.78112E+12,978-1118822142,For Dummies Series,Wiley,,"103,080",432,9.10(w) x 7.40(h) x 1.00(d)
93.html,The World of the Witcher,CD Projekt Red,$25.30 ,,$18.99 ,,9.78162E+12,978-1616554828,,Dark Horse Comics,,"51,439",184,9.00(w) x 12.10(h) x 0.90(d)
94.html,Managing Agile Open-Source Software Projects with Visual Studio Online,Brian Blackman# Gordon Beeming# Michael Fourie# Willy-Peter Schaub,,,,,9.78151E+12,978-1509300693,Developer Reference,Pearson Education,,"54,895",150,
95.html,Hadoop: The Definitive Guide,Tom White,,$31.06 ,$24.99 ,,9.78149E+12,978-1491901632,,"O'Reilly Media, Incorporated",,"48,637",756,7.00(w) x 9.10(h) x 1.60(d)
96.html,"MINECRAFT: GAME GUIDE, WIKI, MODS, DOWNLOAD",HSE,,,,,9.78151E+12,978-1508023074,,HSE,,"52,112",,
97.html,CCNA Security 640-554 Official Cert Guide,Keith Barker# Scott Morris# Kevin Wallace# Michael Watkins,$33.83 ,,$23.49 ,,9.78159E+12,978-1587204463,,Cisco Press,,"57,393",700,7.40(w) x 9.30(h) x 1.60(d)
98.html,Simple Word Find: Sports Edition,K Lenart,,,,,2.94001E+12,294-0011504266,,K Lenart,,"57,656",,
99.html,"MCSA Windows Server 2012 R2 Complete Study Guide: Exams 70-410, 70-411, 70-412, and 70-417",William Panek,,$69.16 ,$51.99 ,,9.78112E+12,978-1118859919,,Wiley,,"56,302",1272,7.40(w) x 9.40(h) x 2.60(d)
100.html,GO! with Office 2013 Volume 1 / Edition 1,Shelley Gaskin# Alicia Vargas# Carolyn McLellan,,,,,9.78013E+12,978-0133142662,GO! Series,Prentice Hall,,"58,152",976,8.30(w) x 10.80(h) x 1.40(d)
101.html,Evernote Unleashed: Remember Anything. Accomplish Any Goal. Get More Done.,Jason Bracht,,,,,2.94005E+12,294-0046199031,,Jason Bracht,,"56,891",,
102.html,Python Programming for the Absolute Beginner / Edition 3,Michael Dawson,,$19.67 ,,,9.78144E+12,978-1435455009,for the Absolute Beginner Series,Cengage Learning,,"58,481",464,7.30(w) x 9.12(h) x 1.15(d)
103.html,The Adobe Photoshop CC Book for Digital Photographers (2014 release),Scott Kelby,,$38.32 ,$25.49 ,,9.78013E+12,978-0133900859,Voices That Matter Series,New Riders,,"58,866",408,7.90(w) x 9.90(h) x 0.90(d)
104.html,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner, ,$11.07 ,$11.99 ,,9.78081E+12,978-0812972153,,Random House Publishing Group,,"276,056",368,5.20(w) x 7.99(h) x 0.76(d)
105.html,Microsoft System Center Software Update Management Field Experience,Andre Della Monica# Chris Shilt,,,,,9.78074E+12,978-0735695894,,Pearson Education,,"60,819",150,
106.html,Losing the Signal: The Untold Story Behind the Extraordinary Rise and Spectacular Fall of BlackBerry,Jacquie McNish# Sean Silcoff,$15.72 ,$13.45 ,$14.99 ,$34.95 ,9.78125E+12,978-1250060174,,Flatiron Books,,"65,432",288,6.20(w) x 9.30(h) x 1.20(d)
107.html,"Dragon Age: The World of Thedas, Volume 1",Ben Gelinas# Mike Laidlaw# David Gaider# Various,$29.70 ,,$18.99 ,,9.78162E+12,978-1616551155,,Dark Horse Comics,,"57,021",184,
109.html,CompTIA A+ Certification All-in-One For Dummies,Glen E. Clarke# Edward Tetz,,$26.97 ,$20.99 ,,9.78112E+12,978-1118098790,For Dummies Series,Wiley,,"61,302",1320,9.10(w) x 7.30(h) x 1.80(d)
110.html,Discrete Mathematics and Its Applications / Edition 7,Kenneth Rosen,$213.16 , ,,,9.78007E+12,978-0073383095,,McGraw-Hill Higher Education,,"60,134",1072,8.80(w) x 10.60(h) x 1.60(d)
111.html,"Getting Started with Evernote: Your Beginner's Guide to Master Evernote- Walkthroughs, Tips, Shortcuts, Screenshots and Much More...(The Unofficial Guide to Evernote)",Lisa Thompson,,,,,2.94005E+12,294-0046611427,,Mark Mulle,,"60,242",,
112.html,The InfoSec Handbook: An Introduction to Information Security,Umesha Nayak# Umesh Hodeghatta Rao,,,,,9.78143E+12,978-1430263838,,Apress,,"60,809",392,
113.html,Smashwords Style Guide,Mark Coker,,,,,2.94E+12,294-0000690123,Smashwords Guides,Mark Coker,,"65,798",,
114.html,Introducing Microsoft SQL Server 2012,Ross Mistry# Stacia Misner,, ,$0.00 ,,9.78074E+12,978-0735671416,,Microsoft Press,,"61,008",290,
115.html,"Physics of the Impossible: A Scientific Exploration into the World of Phasers, Force Fields, Teleportation, and Time Travel",Michio Kaku,$19.66 ,$11.44 ,$11.99 , ,9.78031E+12,978-0307278821,,Knopf Doubleday Publishing Group,,"77,268",352,5.10(w) x 7.90(h) x 0.90(d)
116.html,Personal Internet Address & Password Logbook Red,Peter Pauper Press# Inc.,,,,,9.78144E+12,978-1441308146,,"Peter Pauper Press, Incorporated",,"63,492",144,4.00(w) x 5.80(h) x 0.60(d)
117.html,Everybody Writes: Your Go-To Guide to Creating Ridiculously Good Content,Ann Handley,$14.04 ,,$13.99 ,$14.99 ,9.78112E+12,978-1118905555,,Wiley,,"64,031",320,9.10(w) x 5.90(h) x 1.10(d)
118.html,How to Win Friends and Influence People in the Digital Age,Dale Carnegie & Associates,,$12.08 ,$13.99 ,,9.78145E+12,978-1451612592,,Simon & Schuster,,"60,871",272,5.50(w) x 8.38(h) x 0.60(d)
119.html,"SPSS Survival Manual, 5e",Julie Pallant,,$61.53 ,,,9.78034E+12,978-0335262588,,Open University Press,,"70,909",368,
120.html,What Is Data Science?,Mike Loukides,,$17.52 ,$0.00 ,,9.78145E+12,978-1449336097,,"O'Reilly Media, Incorporated",,"64,881",22,
121.html,"GIS Tutorial 1: Basic Workbook, 10.1 Edition / Edition 5",Wilpen L. Gorr# Kristen S. Kurland,,$47.84 ,,,9.78159E+12,978-1589483354,,ESRI Press,,"65,008",440,8.10(w) x 9.88(h) x 1.24(d)
122.html,Facebook For Dummies,Carolyn Abram,,$17.60 ,$11.49 ,,9.78112E+12,978-1118633120,For Dummies Series,Wiley,,"64,918",336,9.22(w) x 7.34(h) x 0.70(d)
123.html,"Programming Windows Store Apps with HTML, CSS, and JavaScript",Kraig Brockschmidt,,,,,9.78074E+12,978-0735695702,Developer Reference,Pearson Education,,"69,969",1311,
124.html,Windows 8.1 For Dummies Book + DVD Bundle,Andy Rathbone,,$19.34 ,,,9.78112E+12,978-1118821077,For Dummies Series,Wiley,,"68,558",432,7.30(w) x 9.10(h) x 1.40(d)
125.html,JavaScript and JQuery: Interactive Front-End Web Development,Jon Duckett,,$27.27 ,,,9.78112E+12,978-1118531648,,Wiley,,"52,292",640,7.30(w) x 9.10(h) x 1.30(d)
126.html,"New Perspectives on Microsoft Excel 2013, Comprehensive",June Jamrich Parsons,,$180.33 ,,,9.78129E+12,978-1285169330,New Perspectives Series,Cengage Learning,,"68,120",968,8.50(w) x 10.80(h) x 1.40(d)
127.html,How To Start A Profitable Blog: Turn Your Blogging Passion Into Profit (Blog Mastermind Booklets),David Lim,,,,,2.94015E+12,294-0152360998,,David Lim,,"68,162",,
128.html,Blogging for Authors: Writing Blogs on Wordpress or Blogger,Jason Matthews,,,,,2.94005E+12,294-0046406269,,Jason Matthews,,"66,848",,
129.html,Windows 8.1 For Dummies,Andy Rathbone,,$18.17 ,$12.99 ,,9.78112E+12,978-1118821213,For Dummies Series,Wiley,,"66,951",432,7.30(w) x 9.20(h) x 0.80(d)
130.html,My Samsung Galaxy Tab 4,Eric Butow# Lonzell Watson,,$19.37 ,$11.99 ,,9.78079E+12,978-0789753847,My... Series,Que,,"195,982",496,6.00(w) x 8.90(h) x 1.10(d)
131.html,"Top Free Kindle Fire Apps: An Introduction, Plus Tips & Tricks",Andrew Middleton,,,,,2.94004E+12,294-0044602694,,Andrew Middleton,,"63,244",,
132.html,PHR / SPHR Professional in Human Resources Certification Study Guide / Edition 4,Sandra M. Reed SPHR# Anne M. Bogardus,,$32.19 ,$34.49 ,,9.78112E+12,978-1118289174,,Wiley,,"68,090",648,7.40(w) x 9.20(h) x 1.50(d)
133.html,Introduction to Networks Companion Guide / Edition 1,Cisco Networking Academy,$52.63 ,,$42.66 ,,9.78159E+12,978-1587133169,Companion Guide Series,Cisco Press,,"68,110",720,7.90(w) x 9.20(h) x 1.30(d)
134.html,Windows 10 Bible,Rob Tidrow# Jim Boyce# Jeffrey R. Shapiro,,$40.39 ,$25.99 ,,9.78112E+12,978-1119050131,Bible,Wiley,,"192,684",,
135.html,How to Start a Successful Blog in One Hour,S.J. Scott,,,,,2.94004E+12,294-0044407510,,S.J. Scott,,"60,967",,
136.html,"Ready, Set, Write! 60 Seconds to Getting Paid to Write Online (A Checklist for Freelance Writers)",Charm Baker,,,,,2.94004E+12,294-0044403697,,Charm Baker,,"68,376",,
137.html,Windows 10: A Beginner's Guide,Jacob Gleam,,$9.99 ,$3.99 ,,9.78151E+12,978-1508568117,,CreateSpace Publishing,,"159,504",32,5.00(w) x 8.00(h) x 0.07(d)
138.html,"The Art of Rocksteady's Batman: Arkham Asylum, Arkham City & Arkham Knight",Daniel Wallace# Rocksteady Rocksteady Studios,,,,,9.78142E+12,978-1419713859,,"Abrams, Harry N., Inc.",,"64,004",304,9.70(w) x 12.00(h) x 1.50(d)
