#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
34,conf/sigmod/DoRD99,304250,"Lyman Do, Prabhu Ram, Pamela Drew",The Need for Distributed Asynchronous Transactions,SIGMOD Conference,1999,"Lyman Do, Prabhu Ram, Pamela Drew",The need for distributed asynchronous transactions,International Conference on Management of Data,1999,1
35,conf/sigmod/DreyerDS95,223902,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",Using the CALANDA Time Series Management System,SIGMOD Conference,1995,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",Using the CALANDA time series management system,International Conference on Management of Data,1995,1
36,conf/sigmod/Dullmann99,304229,Dirk Dllmann,Petabyte Databases,SIGMOD Conference,1999,Dirk Dllmann,Petabyte databases,International Conference on Management of Data,1999,1
37,conf/sigmod/Eaton98,276357,Chris Eaton,Managing Large Systems with DB2 UDB,SIGMOD Conference,1998,Chris Eaton,Managing large systems with DB2 UDB,International Conference on Management of Data,1998,1
38,conf/sigmod/EmbleyJN99,304223,"Yiu-Kai Ng, Y. S. Jiang, David W. Embley",Record-Boundary Discovery in Web Documents,SIGMOD Conference,1999,"D. W. Embley, Y. Jiang, Y.-K. Ng",Record-boundary discovery in Web documents,International Conference on Management of Data,1999,1
39,conf/sigmod/FaloutsosL95,223812,"King-Ip Lin, Christos Faloutsos","FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets",SIGMOD Conference,1995,"Christos Faloutsos, King-Ip Lin","FastMap: a fast algorithm for indexing, data-mining and visualization of traditional and multimedia datasets",International Conference on Management of Data,1995,1
40,conf/sigmod/FaloutsosL95,671345,"King-Ip Lin, Christos Faloutsos","FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets",SIGMOD Conference,1995,"Erik Riedel, Garth A. Gibson, Christos Faloutsos",Active Storage for Large-Scale Data Mining and Multimedia,Very Large Data Bases,1998,0
41,conf/sigmod/FreedmanD95,223851,"Craig S. Freedman, David J. DeWitt",The SPIFFI Scalable Video-on-Demand System,SIGMOD Conference,1995,"Craig S. Freedman, David J. DeWitt",The SPIFFI scalable video-on-demand system,International Conference on Management of Data,1995,1
42,conf/sigmod/Freeston95,673501,Michael Freeston,A General Solution of the n-dimensional B-tree Problem,SIGMOD Conference,1995,"Michael Rys, Moira C. Norrie, Hans-Jrg Schek",Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,Very Large Data Bases,1996,0
43,conf/sigmod/Gal00,335479,Avigdor Gal,"Data Management in eCommerce: The Good, the Bad, and the Ugly",SIGMOD Conference,2000,Avigdor Gal,"Data management in eCommerce (tutorial session): the good, the bad, and the ugly",International Conference on Management of Data,2000,1
44,conf/sigmod/GarofalakisGRSS00,375693,"Rajeev Rastogi, S. Seshadri, Minos N. Garofalakis, Aristides Gionis, Kyuseok Shim",XTRACT: A System for Extracting Document Type Descriptors from XML Documents,SIGMOD Conference,2000,"Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",SPARTAN: a model-based semantic compression system for massive data tables,International Conference on Management of Data,2001,0
45,conf/sigmod/GingrasLSPS97,253397,"Laks V. S. Lakshmanan, Frdric Gingras, Nematollaah Shiri, Despina Papoulis, Iyer N. Subramanian",Languages for Multi-database Interoperability,SIGMOD Conference,1997,"Frdric Gingras, Laks V. S. Lakshmanan, Iyer N. Subramanian, Despina Papoulis, Nematollaah Shiri",Languages for multi-database interoperability,International Conference on Management of Data,1997,1
46,conf/sigmod/GraySEBW94,191886,"Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan",Quickly Generating Billion-Record Synthetic Databases,SIGMOD Conference,1994,"Jim Gray, Prakash Sundaresan, Susanne Englert, Ken Baclawski, Peter J. Weinberger",Quickly generating billion-record synthetic databases,International Conference on Management of Data,1994,1
47,conf/sigmod/GrossmanHQ95,223901,"David Hanley, Robert L. Grossman, Xiao Qin",PTool: A Light Weight Persistent Object Manager,SIGMOD Conference,1995,"R. L. Grossman, D. Hanley, X. Qin",PTool: a light weight persistent object manager,International Conference on Management of Data,1995,0
48,conf/sigmod/HanFHCC94,672832,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han",DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,SIGMOD Conference,1994,"Hongjun Lu, Beng Chin Ooi, Kian-Lee Tan",On Spatially Partitioned Temporal Join,Very Large Data Bases,1994,0
49,conf/sigmod/HanFHCC94,672964,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han",DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,SIGMOD Conference,1994,"Tak W. Yan, Jurgen Annevelink",Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,Very Large Data Bases,1994,0
50,conf/sigmod/HanKK97,253330,"Eui-Hong Han, Vipin Kumar, George Karypis",Scalable Parallel Data Mining for Association Rules,SIGMOD Conference,1997,"Eui-Hong Han, George Karypis, Vipin Kumar",Scalable parallel data mining for association rules,International Conference on Management of Data,1997,1
51,conf/sigmod/HillyerS96,233332,"Bruce Hillyer, Abraham Silberschatz",Random I/O Scheduling in Online Tertiary Storage Systems,SIGMOD Conference,1996,"Bruce K. Hillyer, Avi Silberschatz",Random I/O scheduling in online tertiary storage systems,International Conference on Management of Data,1996,1
52,conf/sigmod/HsiaoCY94,191879,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen",On Parallel Execution of Multiple Pipelined Hash Joins,SIGMOD Conference,1994,"Hui-I Hsiao, Ming-Syan Chen, Philip S. Yu",On parallel execution of multiple pipelined hash joins,International Conference on Management of Data,1994,1
53,conf/sigmod/HullZ96,233365,"Gang Zhou, Richard Hull",A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,SIGMOD Conference,1996,"Richard Hull, Gang Zhou",A framework for supporting data integration using the materialized and virtual approaches,International Conference on Management of Data,1996,0
54,conf/sigmod/HwangLYMMGCSS94,191986,"K. Mediratta, Ee-Peng Lim, J. Stenoien, S. Musukula, Jaideep Srivastava, H.-R. Yang, D. Clements, M. Ganesh, San-Yih Hwang",The MYRIAD Federated Database Prototype,SIGMOD Conference,1994,"S.-Y. Hwang, E.-P. Lim, H.-R. Yang, S. Musukula, K. Mediratta, M. Ganesh, D. Clements, J. Stenoien, J. Srivastava",The MYRIAD federated database prototype,International Conference on Management of Data,1994,1
55,conf/sigmod/JaedickeM98,765526,"Michael Jaedicke, Bernhard Mitschang",On Parallel Processing of Aggregate and Scalar Functions in Object-Relational DBMS,SIGMOD Conference,1998,"Stefan Deloch, Theo Hrder, Nelson Mattos, Bernhard Mitschang, Joachim Thomas","Advanced data processing in KRISYS: modeling concepts, implementation techniques, and client/server issues",The VLDB Journal  The International Journal on Very Large Data Bases,1998,0
56,conf/sigmod/Jagadish94,191991,H. V. Jagadish,Databases for Networks,SIGMOD Conference,1994,H. V. Jagadish,Databases for networks,International Conference on Management of Data,1994,0
57,conf/sigmod/JagadishLMSV99,304194,"Dimitra Vista, H. V. Jagadish, Divesh Srivastava, Tova Milo, Laks V. S. Lakshmanan",Querying Network Directories,SIGMOD Conference,1999,"H. V. Jagadish, Laks V. S. Lakshmanan, Tova Milo, Divesh Srivastava, Dimitra Vista",Querying network directories,International Conference on Management of Data,1999,1
58,conf/sigmod/Jamil99,304192,Hasan M. Jamil,Belief Reasoning in MLS Deductive Databases,SIGMOD Conference,1999,Hasan M. Jamil,Belief reasoning in MLS deductive databases,International Conference on Management of Data,1999,1
59,conf/sigmod/JonssonFS98,765236,"Bjrn r Jnsson, Divesh Srivastava, Michael J. Franklin",Interaction of Query Evaluation and Buffer Management for Information Retrieval,SIGMOD Conference,1998,"J. Claussen, A. Kemper, D. Kossmann, C. Wiesner",Exploiting early sorting and early partitioning for decision support query processing,The VLDB Journal  The International Journal on Very Large Data Bases,2000,0
60,conf/sigmod/KalnisNOPT02,872814,"Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan, Wee Siong Ng, Panos Kalnis",An adaptive peer-to-peer network for distributed caching of OLAP results,SIGMOD Conference,2002,"Dimitris Papadias, Yufei Tao, Greg Fu, Bernhard Seeger",An optimal and progressive algorithm for skyline queries,International Conference on Management of Data,2003,0
61,conf/sigmod/KatayamaS97,673646,"Norio Katayama, Shin'ichi Satoh",The SR-tree: An Index Structure for High-Dimensional Nearest Neighbor Queries,SIGMOD Conference,1997,"Surajit Chaudhuri, Vivek R. Narasayya",An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,Very Large Data Bases,1997,0
62,conf/sigmod/Kennamer98,276373,Sherri Kennamer,Microsoft.com: A High-Scale Data Management and Transaction Processing Solution,SIGMOD Conference,1998,Sherri Kennamer,Microsoft.com: a high-scale data management and transaction processing solution,International Conference on Management of Data,1998,1
63,conf/sigmod/KiepuszewskiMO98,276330,"Maria E. Orlowska, Ralf Mhlberger, Bartek Kiepuszewski",FlowBack: Providing Backward Recovery for Workflow Systems,SIGMOD Conference,1998,Brad Adelberg,NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,International Conference on Management of Data,1998,0
64,conf/sigmod/KotidisR99,672990,"Nick Roussopoulos, Yannis Kotidis",DynaMat: A Dynamic View Management System for Data Warehouses,SIGMOD Conference,1999,"Odysseas G. Tsatalos, Marvin H. Solomon, Yannis E. Ioannidis",The GMAP: A Versatile Tool for Physical Data Independence,Very Large Data Bases,1994,0
65,conf/sigmod/KotidisR99,673466,"Nick Roussopoulos, Yannis Kotidis",DynaMat: A Dynamic View Management System for Data Warehouses,SIGMOD Conference,1999,"Kenneth C. Sevcik, Nick Koudas",Filter Trees for Managing Spatial Data over a Range of Size Granularities,Very Large Data Bases,1996,0
66,conf/sigmod/KrollW94,191891,"Brigitte Krll, Peter Widmayer",Distributing a Search Tree Among a Growing Number of Processors,SIGMOD Conference,1994,"Brigitte Krll, Peter Widmayer",Distributing a search tree among a growing number of processors,International Conference on Management of Data,1994,1
67,conf/sigmod/KuhnTS94,191963,"Konrad Schwarz, eva Khn, Thomas Tschernko",A Language Based Multidatabase System,SIGMOD Conference,1994,"Eva Khn, Thomas Tschernko, Konrad Schwarz",A language based multidatabase system,International Conference on Management of Data,1994,1
68,conf/sigmod/LabioYG99,304216,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio",Shrinking the Warehouse Update Window,SIGMOD Conference,1999,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",Shrinking the warehouse update Window,International Conference on Management of Data,1999,1
69,conf/sigmod/LabioZWGGW97,671857,"Hector Garcia-Molina, Himanshu Gupta, Wilburt Labio, Yue Zhuge, Janet L. Wiener, Jennifer Widom",The WHIPS Prototype for Data Warehouse Creation and Maintenance,SIGMOD Conference,1997,"Meridith A. Lane, James L. Edwards, Ebbe Nielsen","Biodiversity Informatics: The Challenge of Rapid Development, Large Databases, and Complex Data (Keynote)",Very Large Data Bases,2000,0
70,conf/sigmod/Levine95,223878,Charles Levine,Order-of-Magnitude Advantage of TPC-C Though Massive Parallelism,SIGMOD Conference,1995,Charles Levine,Order-of-magnitude advantage on TPC-C through massive parallelism,International Conference on Management of Data,1995,1
71,conf/sigmod/LiS98,276374,"Bin Li, Dennis Shasha",Free Parallel Data Mining,SIGMOD Conference,1998,"Bin Li, Dennis Shasha",Free parallel data mining,International Conference on Management of Data,1998,1
72,conf/sigmod/LiuPBHPT00,671876,"Henrique Paques, Wei Tang, Calton Pu, Wei Han, Ling Liu, David Buttler",AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,SIGMOD Conference,2000,"Stefano Ceri, Roberta Cochrane, Jennifer Widom",Practical Applications of Triggers and Constraints: Success and Lingering Issues (10-Year Award),Very Large Data Bases,2000,0
73,conf/sigmod/LivnyRBCDLMW97a,176569,"Jussi Myllymaki, Shilpa Lawande, Donko Donjerkovic, Raghu Ramakrishnan, Guangshun Chen, Kevin S. Beyer, Miron Livny, R. Kent Wenger",DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),SIGMOD Conference,1997,"M. W. Bright, A. R. Hurson, S. Pakzad",Automated resolution of semantic heterogeneity in multidatabases,ACM Transactions on Database Systems (TODS),1994,0
74,conf/sigmod/LometT03,671662,"Mark R. Tuttle, David B. Lomet",A Theory of Redo Recovery,SIGMOD Conference,2003,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill, David A. Wood",DBMSs on a Modern Processor: Where Does Time Go?,Very Large Data Bases,1999,0
75,conf/sigmod/LometW98,276345,"David B. Lomet, Gerhard Weikum",Efficient and Transparent Application Recovery in Client-Server Information Systems,SIGMOD Conference,1998,"David Lomet, Gerhard Weikum",Efficient transparent application recovery in client-server information systems,International Conference on Management of Data,1998,1
76,conf/sigmod/MaddenFHH03,564788,"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin",The Design of an Acquisitional Query Processor For Sensor Networks,SIGMOD Conference,2003,"Joseph M. Hellerstein, Jennifer Widom",Data streams: fresh current or stagnant backwater? (panel),International Conference on Management of Data,2002,0
77,conf/sigmod/MaddenH02,564776,"Samuel Madden, Joseph M. Hellerstein",Distributing queries over low-power wireless sensor networks,SIGMOD Conference,2002,"Samuel Madden, Joseph M. Hellerstein",Distributing queries over low-power wireless sensor networks,International Conference on Management of Data,2002,1
78,conf/sigmod/Miller98,276322,Rene J. Miller,Using Schematically Heterogeneous Structures,SIGMOD Conference,1998,Ree J. Miller,Using schematically heterogeneous structures,International Conference on Management of Data,1998,1
79,conf/sigmod/Mohan99,564765,C. Mohan,A Database Perspective on Lotus Domino/Notes,SIGMOD Conference,1999,"Mehmet Altinel, Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Bruce G. Lindsay, Honguk Woo, Larry Brown",DBCache: database caching for web application servers,International Conference on Management of Data,2002,0
80,conf/sigmod/MohanN94,191849,"C. Mohan, Inderpal Narang",ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,SIGMOD Conference,1994,"C. Mohan, Inderpal Narang",ARIES/CSA: a method for database recovery in client-server architectures,International Conference on Management of Data,1994,1
81,conf/sigmod/MoonWH02,564693,"Kyu-Young Whang, Yang-Sae Moon, Wook-Shin Han",General match: a subsequence matching method in time-series databases based on generalized windows,SIGMOD Conference,2002,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",Archiving scientific data,International Conference on Management of Data,2002,0
82,conf/sigmod/NgLHP98,673134,"Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan",Exploratory Mining and Pruning Optimizations of Constrained Association Rules,SIGMOD Conference,1998,"Jiawei Han, Yongjian Fu",Discovery of Multiple-Level Association Rules from Large Databases,Very Large Data Bases,1995,0
83,conf/sigmod/Ojjeh99,304245,Bassel Ojjeh,Microsoft Site Server (Commerce Edition),SIGMOD Conference,1999,Bassel Ojjeh,Microsoft site server (commerce ed.): Talk-slides available at the conference,International Conference on Management of Data,1999,1
84,conf/sigmod/Ojjeh99,304576,Bassel Ojjeh,Microsoft Site Server (Commerce Edition),SIGMOD Conference,1999,"Brad Adelberg, Matthew Denny",Nodose version 2.0,International Conference on Management of Data,1999,0
85,conf/sigmod/OlstonWL01,375710,"Boon Thau Loo, Jennifer Widom, Chris Olston",Adaptive Precision Setting for Cached Approximate Values,SIGMOD Conference,2001,"Chris Olston, Boon Thau Loo, Jennifer Widom",Adaptive precision setting for cached approximate values,International Conference on Management of Data,2001,0
86,conf/sigmod/PapakonstantinouPV02,564697,"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",QURSED: querying and reporting semistructured data,SIGMOD Conference,2002,"Stratis D. Viglas, Jeffrey F. Naughton",Rate-based query optimization for streaming information sources,International Conference on Management of Data,2002,0
