#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
10,conf/sigmod/BilirisP94,615188,"Euthimios Panagos, Alexandros Biliris",EOS: An Extensible Object Store,SIGMOD Conference,1994,"Nabil Kamel, Ping Wu, Stanley Y. W. Su",A pattern-based object calculus,The VLDB Journal — The International Journal on Very Large Data Bases,1994,0
11,conf/sigmod/BohmBKK01,375714,"Florian Krebs, Christian Bhm, Bernhard Braunmller, Hans-Peter Kriegel",Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,SIGMOD Conference,2001,"Christian Böhm, Bernhard Braunmüller, Florian Krebs, Hans-Peter Kriegel",Epsilon grid order: an algorithm for the similarity join on massive high-dimensional data,International Conference on Management of Data,2001,1
12,conf/sigmod/BohrerBBCFHKKMNRRSUUW97a,253274,"Marek Rusinkiewicz, Tomasz Ksiezyk, Richard S. Brice, Ray Shea, Vipul Kashyap, Andrzej Cichocki, Mosfeq Rashid, C. Unnikrishnan, Abdelsalam Helal, Amy Unruh, Marian H. Nodine, Jerry Fowler, Darrell Woelk, Gale Martin, Roberto J. Bayardo Jr., William Bohrer",The InfoSleuth Project,SIGMOD Conference,1997,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",Range queries in OLAP data cubes,International Conference on Management of Data,1997,0
13,conf/sigmod/BorkarDS01,375682,"Vinayak R. Borkar, Sunita Sarawagi, Kaustubh Deshmukh",Automatic Segmentation of Text into Structured Records,SIGMOD Conference,2001,"Vinayak Borkar, Kaustubh Deshmukh, Sunita Sarawagi",Automatic segmentation of text into structured records,International Conference on Management of Data,2001,1
14,conf/sigmod/BressanGFJHKLMPQSS97,253389,"Kofi Fynn, Henry B. Kon, Cheng Hian Goh, Thomas Lee, Stphane Bressan, Stuart E. Madnick, Michael Siegel, Annie W. Shum, Marta Jessica Jakobisiak, Tito Pena, Jessica Qu, Karim Hussein",The COntext INterchange Mediator Prototype,SIGMOD Conference,1997,"S. Bressan, C. H. Goh, K. Fynn, M. Jakobisiak, K. Hussein, H. Kon, T. Lee, S. Madnick, T. Pena, J. Qu, A. Shum, M. Siegel",The Context Interchange mediator prototype,International Conference on Management of Data,1997,1
15,conf/sigmod/BreunigKNS00,335388,"Hans-Peter Kriegel, Raymond T. Ng, Markus M. Breunig, Jrg Sander",LOF: Identifying Density-Based Local Outliers,SIGMOD Conference,2000,"Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, Jörg Sander",LOF: identifying density-based local outliers,International Conference on Management of Data,2000,1
16,conf/sigmod/BrinMUT97,253325,"Shalom Tsur, Rajeev Motwani, Sergey Brin, Jeffrey D. Ullman",Dynamic Itemset Counting and Implication Rules for Market Basket Data,SIGMOD Conference,1997,"Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman, Shalom Tsur",Dynamic itemset counting and implication rules for market basket data,International Conference on Management of Data,1997,1
17,conf/sigmod/BrodskyK95,615215,"Alexander Brodsky, Yoram Kornatzky",The LyriC Language: Querying Constraint Objects,SIGMOD Conference,1995,"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",Ordered shared locks for real-time databases,The VLDB Journal — The International Journal on Very Large Data Bases,1995,0
18,conf/sigmod/BrunoCG01,604265,"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",STHoles: A Multidimensional Workload-Aware Histogram,SIGMOD Conference,2001,Daniel Barbará,Special section on data mining for intrusion detection and threat analysis,ACM SIGMOD Record,2001,0
19,conf/sigmod/BunemanM95,673150,"David Maier, Peter Buneman",The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,SIGMOD Conference,1995,"Ashish Gupta, Venky Harinarayan, Dallan Quass",Aggregate-Query Processing in Data Warehousing Environments,Very Large Data Bases,1995,0
20,conf/sigmod/ButtlerLPP01,375754,"Henrique Paques, Ling Liu, David Buttler, Calton Pu",OminiSearch: A Method for Searching Dynamic Content on the Web,SIGMOD Conference,2001,"Werner Kieβling, Stefan Holland, Stefan Fischer, Thorsten Ehm","COSIMA- your smart, speaking E-salesperson",International Conference on Management of Data,2001,0
21,conf/sigmod/CareyCNVDRSM99,304572,"Richard Swagerman, Nelson Mendona Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin","O-O, What's Happening to DB2?",SIGMOD Conference,1999,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",DOMINO: databases fOr MovINg Objects tracking,International Conference on Management of Data,1999,0
22,conf/sigmod/CareyDNAGS97,253283,"Jeffrey F. Naughton, Michael J. Carey, Dhaval Shah, Johannes Gehrke, Mohammad Asgarian, David J. DeWitt, Paul Brown",The BUCKY Object-Relational Benchmark (Experience Paper),SIGMOD Conference,1997,"Michael J. Carey, David J. DeWitt, Jeffrey F. Naughton, Mohammad Asgarian, Paul Brown, Johannes E. Gehrke, Dhaval N. Shah",The BUCKY object-relational benchmark,International Conference on Management of Data,1997,1
23,conf/sigmod/CareyDNAGS97,765556,"Jeffrey F. Naughton, Michael J. Carey, Dhaval Shah, Johannes Gehrke, Mohammad Asgarian, David J. DeWitt, Paul Brown",The BUCKY Object-Relational Benchmark (Experience Paper),SIGMOD Conference,1997,"Michael Steinbrunn, Guido Moerkotte, Alfons Kemper",Heuristic and randomized optimization for the join ordering problem,The VLDB Journal — The International Journal on Very Large Data Bases,1997,0
24,conf/sigmod/CarinoKKB01,503102,"Felipe Cario, Pekka Kostamaa, Art Kaufmann, John Burgess","StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing",SIGMOD Conference,2001,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",SchemaSQL: An extension to SQL for multidatabase interoperability,ACM Transactions on Database Systems (TODS),2001,0
25,conf/sigmod/CatarciS01,603872,"Tiziana Catarci, Giuseppe Santucci",The Prototype of the DARE System,SIGMOD Conference,2001,"Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse",Why and how to benchmark XML databases,ACM SIGMOD Record,2001,0
26,conf/sigmod/CatarciS01,672030,"Tiziana Catarci, Giuseppe Santucci",The Prototype of the DARE System,SIGMOD Conference,2001,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",A Database Index to Large Biological Sequences,Very Large Data Bases,2001,0
27,conf/sigmod/Cattell94,615205,R. G. G. Cattell,ODMG-93: A Standard for Object-Oriented DBMSs,SIGMOD Conference,1994,H. J. Schek,Special issue on spatial database systems,The VLDB Journal — The International Journal on Very Large Data Bases,1994,0
28,conf/sigmod/Chakrabarti99,304231,Soumen Chakrabarti,Hypertext Databases and Data Mining,SIGMOD Conference,1999,Soumen Chakrabarti,Hypertext databases and data mining,International Conference on Management of Data,1999,1
29,conf/sigmod/ChakrabartiM99,309895,"Sharad Mehrotra, Kaushik Chakrabarti",Efficient Concurrency Control in Multidimensional Access Methods,SIGMOD Conference,1999,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",Dynamic service matchmaking among agents in open information environments,ACM SIGMOD Record,1999,0
30,conf/sigmod/ChanI99,304579,"Chee Yong Chan, Yannis E. Ioannidis",An Efficient Bitmap Encoding Scheme for Selection Queries,SIGMOD Conference,1999,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",SERF: ODMG-based generic re-structuring facility,International Conference on Management of Data,1999,0
31,conf/sigmod/ChaudhuriMN98,276380,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",Random Sampling for Histogram Construction: How much is enough?,SIGMOD Conference,1998,William W. Cohen,Providing database-like access to the Web using queries based on textual similarity,International Conference on Management of Data,1998,0
32,conf/sigmod/ChenGM01,375688,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",Improving Index Performance through Prefetching,SIGMOD Conference,2001,"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry",Improving index performance through prefetching,International Conference on Management of Data,2001,1
33,conf/sigmod/ChenGMV02,767097,"Phillip B. Gibbons, Gary Valentin, Todd C. Mowry, Shimin Chen",Fractal prefetching BTrees: optimizing both cache and disk performance,SIGMOD Conference,2002,"E. Ferrari, N.R. Adam, V. Atluri, E. Bertino, U. Capuozzo",An authorization system for digital libraries,The VLDB Journal — The International Journal on Very Large Data Bases,2002,0
34,conf/sigmod/ClossmanSHKPB98,276352,"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",Java and Relational Databases: SQLJ (Tutorial),SIGMOD Conference,1998,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",Java and relational databases (tutorial): SQLJ,International Conference on Management of Data,1998,1
35,conf/sigmod/ColbyKLMR97,673668,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",Supporting Multiple View Maintenance Policies,SIGMOD Conference,1997,"Wen-Syan Li, K. Selçuk Candan, Kyoji Hirata, Yoshinori Hara",Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations,Very Large Data Bases,1997,0
36,conf/sigmod/CruzJ99,304587,"Kimberly M. James, Isabel F. Cruz",A User-Centered Interface for Querying Distributed Multimedia Databases,SIGMOD Conference,1999,"Isabel F. Cruz, Kimberly M. James",A user-centered interface for querying distributed multimedia databases,International Conference on Management of Data,1999,1
37,conf/sigmod/DanielsDDEHJJLSSS94,187454,"Benny Souder, Bob Jenkins, Lip Boon Doo, Peter Lim, Gordon Smith, Dean Daniels, Curtis Elsbernd, Gary Hallmark, Alan Downing, Jim Stamos, Sandeep Jain",Oracle's Symmetric Replication Technology and Implications for Application Design,SIGMOD Conference,1994,"Richard Thomas Snodgrass, Ilsoo Ahn, Gad Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang Käfer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",Announcement-the temporal query language TSQL2 final language definition,ACM SIGMOD Record,1994,0
38,conf/sigmod/DoanDH01,375731,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,SIGMOD Conference,2001,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",Reconciling schemas of disparate data sources: a machine-learning approach,International Conference on Management of Data,2001,1
39,conf/sigmod/DoanDH01,672212,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,SIGMOD Conference,2001,"Angela Bonifati, Fabio Casati, Umeshwar Dayal, Ming-Chien Shan",Warehousing Workflow Data: Challenges and Opportunities,Very Large Data Bases,2001,0
40,conf/sigmod/DobraGGR02,564699,"Alin Dobra, Johannes Gehrke, Rajeev Rastogi, Minos N. Garofalakis",Processing complex aggregate queries over data streams,SIGMOD Conference,2002,"Alin Dobra, Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",Processing complex aggregate queries over data streams,International Conference on Management of Data,2002,1
41,conf/sigmod/DobraGGR02,764204,"Alin Dobra, Johannes Gehrke, Rajeev Rastogi, Minos N. Garofalakis",Processing complex aggregate queries over data streams,SIGMOD Conference,2002,"S.-Y. Chien, V. J. Tsotras, C. Zaniolo",Efficient schemes for managing multiversionXML documents,The VLDB Journal — The International Journal on Very Large Data Bases,2002,0
42,conf/sigmod/DohertyHR96,233352,"Richard Hull, Mohammed Rupawalla, Michael Doherty",Structures for Manipulating Proposed Updates in Object-Oriented Databases,SIGMOD Conference,1996,"Minos N. Garofalakis, Yannis E. Ioannidis",Multi-dimensional resource scheduling for parallel queries,International Conference on Management of Data,1996,0
43,conf/sigmod/FaginKS03,945738,"Ravi Kumar, D. Sivakumar, Ronald Fagin",Efficient similarity search and classification via rank aggregation,SIGMOD Conference,2003,,Standards,ACM SIGMOD Record,2003,0
44,conf/sigmod/Faloutsos95,615215,Christos Faloutsos,Indexing Multimedia Databases (Tutorial),SIGMOD Conference,1995,"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",Ordered shared locks for real-time databases,The VLDB Journal — The International Journal on Very Large Data Bases,1995,0
45,conf/sigmod/FegarasSRM00,335494,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",lambda-DB: An ODMG-Based Object-Oriented DBMS,SIGMOD Conference,2000,"Leonidas Fegaras, Chandrasekhar Srinivasan, Arvind Rajendran, David Maier",lambda-DB: an ODMG-based object-oriented DBMS,International Conference on Management of Data,2000,1
46,conf/sigmod/FlorescuLMS99,671350,"Dan Suciu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",Query Optimization in the Presence of Limited Access Patterns,SIGMOD Conference,1999,"Arnaud Sahuguet, Fabien Azavant",Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,Very Large Data Bases,1999,0
47,conf/sigmod/FreireHRRS02,564713,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, Jrme Simon",StatiX: making XML count,SIGMOD Conference,2002,"Juliana Freire, Jayant R. Haritsa, Maya Ramanath, Prasan Roy, Jérôme Siméon",StatiX: making XML count,International Conference on Management of Data,2002,1
48,conf/sigmod/Galhardas00,336568,"Daniela Florescu, Helena Galhardas, Dennis Shasha, Eric Simon",AJAX: An Extensible Data Cleaning Tool,SIGMOD Conference,2000,"Helena Galhardas, Daniela Florescu, Dennis Shasha, Eric Simon",AJAX: an extensible data cleaning tool,International Conference on Management of Data,2000,1
49,conf/sigmod/GarofalakisGRSS00,602302,"Rajeev Rastogi, S. Seshadri, Minos N. Garofalakis, Aristides Gionis, Kyuseok Shim",XTRACT: A System for Extracting Document Type Descriptors from XML Documents,SIGMOD Conference,2000,Kenneth A. Ross,Reminiscences on Influential Papers,ACM SIGMOD Record,2000,0
50,conf/sigmod/GarofalakisRRS99,671502,"Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy","Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)",SIGMOD Conference,1999,Umeshwar Dayal,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",Very Large Data Bases,1999,0
51,conf/sigmod/GionisGK01,375689,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",Efficient and Tunable Similar Set Retrieval,SIGMOD Conference,2001,"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",Efficient and tumble similar set retrieval,International Conference on Management of Data,2001,1
52,conf/sigmod/GravanoCGP97,253299,"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),SIGMOD Conference,1997,"Luis Gravano, Chen-Chuan K. Chang, Héctor García-Molina, Andreas Paepcke",STARTS: Stanford proposal for Internet meta-searching,International Conference on Management of Data,1997,1
53,conf/sigmod/GuhaJKSY02,564725,"H. V. Jagadish, Ting Yu, Divesh Srivastava, Sudipto Guha, Nick Koudas",Approximate XML joins,SIGMOD Conference,2002,"Sudipto Guha, H. V. Jagadish, Nick Koudas, Divesh Srivastava, Ting Yu",Approximate XML joins,International Conference on Management of Data,2002,1
54,conf/sigmod/HaasH01,767152,"Peter J. Haas, Joseph M. Hellerstein",Online Query Processing,SIGMOD Conference,2001,"D. Laurent, J. Lechtenbörger, N. Spyratos, G. Vossen",Monotonic complements for independent data warehouses,The VLDB Journal — The International Journal on Very Large Data Bases,2001,0
55,conf/sigmod/Han96,280351,Jiawei Han,Data Mining Techniques,SIGMOD Conference,1996,Jiawei Han,Data mining techniques,International Conference on Management of Data,1996,1
56,conf/sigmod/HanFHCC94,191979,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han",DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,SIGMOD Conference,1994,"Jiawei Han, Yongjian Fu, Yue Huang, Yandong Cai, Nick Cercone",DBLearn: a system prototype for knowledge discovery in relational databases,International Conference on Management of Data,1994,1
57,conf/sigmod/HanKS97,253404,"Jiawei Han, Nebojsa Stefanovic, Krzysztof Koperski",GeoMiner: A System Prototype for Spatial Data Mining,SIGMOD Conference,1997,"Jaiwei Han, Krzysztof Koperski, Nebojsa Stefanovic",GeoMiner: a system prototype for spatial data mining,International Conference on Management of Data,1997,1
58,conf/sigmod/HellersteinW02,637430,"Joseph M. Hellerstein, Jennifer Widom",Data streams: fresh current or stagnant backwater? (panel),SIGMOD Conference,2002,"Amit Sheth, Robert Meersman",Amicalola report: database and information systems research challenges and opportunities in semantic web and enterprises,ACM SIGMOD Record,2002,0
59,conf/sigmod/HernandezS95,615220,"Salvatore J. Stolfo, Mauricio A. Hernndez",The Merge/Purge Problem for Large Databases,SIGMOD Conference,1995,"Ernest Teniente, Antoni Olivé",Updating knowledge bases while maintaining their consistency,The VLDB Journal — The International Journal on Very Large Data Bases,1995,0
60,conf/sigmod/Hidber99,758373,Christian Hidber,Online Association Rule Mining,SIGMOD Conference,1999,"H. V. Jagadish, Nick Koudas, S. Muthukrishnan",Mining Deviants in a Time Series Database,Very Large Data Bases,1999,0
61,conf/sigmod/HoAMS97,253274,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",Range Queries in OLAP Data Cubes,SIGMOD Conference,1997,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",Range queries in OLAP data cubes,International Conference on Management of Data,1997,1
62,conf/sigmod/HristidisKP01,375690,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,SIGMOD Conference,2001,"Vagelis Hristidis, Nick Koudas, Yannis Papakonstantinou",PREFER: a system for the efficient execution of multi-parametric ranked queries,International Conference on Management of Data,2001,1
63,conf/sigmod/ImielinskiVB94,191846,"S. Viswanathan, B. R. Badrinath, Tomasz Imielinski",Energy Efficient Indexing on Air,SIGMOD Conference,1994,"Tomasz Imielinski, S. Viswanathan, B. R. Badrinath",Energy efficient indexing on air,International Conference on Management of Data,1994,1
64,conf/sigmod/IpeirotisGS01,375671,"Mehran Sahami, Panagiotis G. Ipeirotis, Luis Gravano","Probe, Count, and Classify: Categorizing Hidden Web Databases",SIGMOD Conference,2001,"Panagiotis G. Ipeirotis, Luis Gravano, Mehran Sahami","Probe, count, and classify: categorizing hidden web databases",International Conference on Management of Data,2001,1
65,conf/sigmod/IpeirotisGS01,375689,"Mehran Sahami, Panagiotis G. Ipeirotis, Luis Gravano","Probe, Count, and Classify: Categorizing Hidden Web Databases",SIGMOD Conference,2001,"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",Efficient and tumble similar set retrieval,International Conference on Management of Data,2001,0
66,conf/sigmod/IvesLPST00,335492,"Igor Tatarinov, Wai Tak Theodora Yeung, Shiori Betzler, Jing Su, Jayant Madhavan, Rachel Pottinger, Alon Y. Levy, Ewa Jaslikowska, Stefan Saroiu, Qiong Chen, Zachary G. Ives",Self-Organizing Data Sharing Communities with SAGRES,SIGMOD Conference,2000,"Zachary Ives, Alon Levy, Jayant Madhavan, Rachel Pottinger, Stefan Saroiu, Igor Tatarinov, Shiori Betzler, Qiong Chen, Ewa Jaslikowska, Jing Su, Wai Tak Theodora Yeung",Self-organizing data sharing communities with SAGRES,International Conference on Management of Data,2000,1
67,conf/sigmod/JagadishKS00,765240,"Nick Koudas, H. V. Jagadish, Divesh Srivastava",On Effective Multi-Dimensional Indexing for Strings,SIGMOD Conference,2000,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",Progressive evaluation of nested aggregate queries,The VLDB Journal — The International Journal on Very Large Data Bases,2000,0
68,conf/sigmod/JajodiaSSB97,253364,"V. S. Subrahmanian, Elisa Bertino, Pierangela Samarati, Sushil Jajodia",A Unified Framework for Enforcing Multiple Access Control Policies,SIGMOD Conference,1997,"Sushil Jajodia, Pierangela Samarati, V. S. Subrahmanian, Eliza Bertino",A unified framework for enforcing multiple access control policies,International Conference on Management of Data,1997,1
69,conf/sigmod/JonkerS95,223903,"Heribert Schtz, Willem Jonker",The ECRC Multi Database System,SIGMOD Conference,1995,"Willem Jonker, Heribert Schütz",The ECRC multi database system,International Conference on Management of Data,1995,1
70,conf/sigmod/Keim96,280349,Daniel A. Keim,Databases and Visualization,SIGMOD Conference,1996,Daniel A. Keim,databases and visualization,International Conference on Management of Data,1996,1
71,conf/sigmod/KeoghCMP01,375680,"Kaushik Chakrabarti, Sharad Mehrotra, Eamonn J. Keogh, Michael J. Pazzani",Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases,SIGMOD Conference,2001,"Eamonn Keogh, Kaushik Chakrabarti, Michael Pazzani, Sharad Mehrotra",Locally adaptive dimensionality reduction for indexing large time series databases,International Conference on Management of Data,2001,1
72,conf/sigmod/Kim94,615207,Won Kim,UniSQL/X Unified Relational and Object-Oriented Database System,SIGMOD Conference,1994,Peter Baumann,Management of multidimensional discrete data,The VLDB Journal — The International Journal on Very Large Data Bases,1994,0
73,conf/sigmod/KimCK01,375679,"Sang Kyun Cha, Keunjoo Kwon, Kihong Kim",Optimizing Multidimensional Index Trees for Main Memory Access,SIGMOD Conference,2001,"Kihong Kim, Sang K. Cha, Keunjoo Kwon",Optimizing multidimensional index trees for main memory access,International Conference on Management of Data,2001,1
74,conf/sigmod/Kohler99,304241,Walt Kohler,EMC Information Sharing: Direct Access to MVS Data from Unix and NT,SIGMOD Conference,1999,Walt Kohler,EMC information sharing: direct access to MVS data from UNIX and NT,International Conference on Management of Data,1999,1
75,conf/sigmod/KornackerMH97,253294,"C. Mohan, Joseph M. Hellerstein, Marcel Kornacker",Concurrency and Recovery in Generalized Search Trees,SIGMOD Conference,1997,"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Helal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",InfoSleuth: agent-based semantic integration of information in open and dynamic environments,International Conference on Management of Data,1997,0
76,conf/sigmod/KornackerSH98,671338,"Joseph M. Hellerstein, Mehul A. Shah, Marcel Kornacker",amdb: An Access Method Debugging Tool,SIGMOD Conference,1998,"Min Fang, Narayanan Shivakumar, Hector Garcia-Molina, Rajeev Motwani, Jeffrey D. Ullman",Computing Iceberg Queries Efficiently,Very Large Data Bases,1998,0
77,conf/sigmod/LacroixSC98,276385,"Arnaud Sahuguet, Raman Chandrasekar, Zo Lacroix",User-oriented smart-cache for the Web: What You Seek is What You Get!,SIGMOD Conference,1998,"Zoé Lacroix, Arnaud Sahuguet, Raman Chandrasekar",User-oriented smart-cache for the Web: what you seek is what you get!,International Conference on Management of Data,1998,1
78,conf/sigmod/LakhamrajuRSS00,336562,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",On-line Reorganization in Object Databases,SIGMOD Conference,2000,"Jochen van den Bercken, Jens-Peter Dittrich, Bernhard Seeger",javax.XXL: a prototype for a library of query processing algorithms,International Conference on Management of Data,2000,0
79,conf/sigmod/LakshmananPZ03a,958947,"Yan Zhao, Laks V. S. Lakshmanan, Jian Pei",SOCQET: Semantic OLAP with Compressed Cube and Summarization,SIGMOD Conference,2003,"Yanlei Diao, Mehmet Altinel, Michael J. Franklin, Hao Zhang, Peter Fischer",Path sharing and predicate evaluation for high-performance XML filtering,ACM Transactions on Database Systems (TODS),2003,0
80,conf/sigmod/LazaridisM01,672045,"Iosif Lazaridis, Sharad Mehrotra",Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure,SIGMOD Conference,2001,"Vijayshankar Raman, Joseph M. Hellerstein",Potter's Wheel: An Interactive Data Cleaning System,Very Large Data Bases,2001,0
