#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,rtable.title,ltable.authors,rtable.authors,ltable.venue,rtable.venue,ltable.year,rtable.year,gold
14,conf/sigmod/BohmBKK01,872828,Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,Using sets of feature vectors for similarity search on voxelized CAD objects,"Florian Krebs, Christian Bhm, Bernhard Braunmller, Hans-Peter Kriegel","Hans-Peter Kriegel, Stefan Brecheisen, Peer Krger, Martin Pfeifle, Matthias Schubert",SIGMOD Conference,International Conference on Management of Data,2001,2003,0
15,conf/sigmod/BohrerBBCFHKKMNRRSUUW97,615236,InfoSleuth: Semantic Integration of Information in Open and Dynamic Environments (Experience Paper),Sleepers and workaholics: caching strategies in mobile environments (extended version),"Gale Martin, Ray Shea, Tomasz Ksiezyk, Roberto J. Bayardo Jr., Marian H. Nodine, William Bohrer, Vipul Kashyap, C. Unnikrishnan, Richard S. Brice, Mosfeq Rashid, Amy Unruh, Abdelsalam Helal, Andrzej Cichocki, Marek Rusinkiewicz, Darrell Woelk, Jerry Fowler","Daniel Barbar, Tomasz Imieliski",SIGMOD Conference,The VLDB Journal  The International Journal on Very Large Data Bases,1997,1995,0
16,conf/sigmod/BratsbergT00,335477,Tutorial: Designing an Ultra Highly Available DBMS,Designing an ultra highly available DBMS (tutorial session),"ystein Torbjrnsen, Svein Erik Bratsberg","Svein Erik Breatsberg, ystein Torbjrnsen",SIGMOD Conference,International Conference on Management of Data,2000,2000,1
17,conf/sigmod/BreunigKKS01,671201,Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering,Incremental Clustering for Mining in a Data Warehousing Environment,"Jrg Sander, Hans-Peter Kriegel, Peer Krger, Markus M. Breunig","Martin Ester, Hans-Peter Kriegel, Jrg Sander, Michael Wimmer, Xiaowei Xu",SIGMOD Conference,Very Large Data Bases,2001,1998,0
18,conf/sigmod/BrinDG95,223855,Copy Detection Mechanisms for Digital Documents,Copy detection mechanisms for digital documents,"Hector Garcia-Molina, Sergey Brin, James Davis","Sergey Brin, James Davis, Hctor Garca-Molina",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
19,conf/sigmod/BrinMUT97,253325,Dynamic Itemset Counting and Implication Rules for Market Basket Data,Dynamic itemset counting and implication rules for market basket data,"Shalom Tsur, Rajeev Motwani, Sergey Brin, Jeffrey D. Ullman","Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman, Shalom Tsur",SIGMOD Conference,International Conference on Management of Data,1997,1997,1
20,conf/sigmod/BrodskyK95,223788,The LyriC Language: Querying Constraint Objects,The LyriC language: querying constraint objects,"Alexander Brodsky, Y Kornatzky","Alexander Brodsky, Yoram Kornatzky",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
21,conf/sigmod/BryanMCLG94,673299,The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,Managing Intra-operator Parallelism in Parallel Database Systems,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge","Manish Mehta, David J. DeWitt",SIGMOD Conference,Very Large Data Bases,,1995,0
22,conf/sigmod/BunemanDHS96,672010,A Query Language and Optimization Techniques for Unstructured Data,What Happens During a Join? Dissecting CPU and Memory Optimization Effects,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu","Stefan Manegold, Peter A. Boncz, Martin L. Kersten",SIGMOD Conference,Very Large Data Bases,1996,2000,0
23,conf/sigmod/BunemanKTT02,564693,Archiving scientific data,Archiving scientific data,"Sanjeev Peter Buneman, Wang Chiew Tan, Keishi Tajima","Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",SIGMOD Conference,International Conference on Management of Data,2002,2002,1
24,conf/sigmod/BunemanM95,673168,The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,OODB Bulk Loading Revisited: The Partitioned-List Approach,"David Maier, Peter Buneman","Janet L. Wiener, Jeffrey F. Naughton",SIGMOD Conference,Very Large Data Bases,1995,1995,0
25,conf/sigmod/ButtlerLPP01,375762,OminiSearch: A Method for Searching Dynamic Content on the Web,OminiSearch: a method for searching dynamic content on the Web,"Henrique Paques, Ling Liu, D Buttler, Calton Pu","David Buttler, Ling Liu, Calton Pu, Henrique Paques, Wei Han, Wei Tang",SIGMOD Conference,International Conference on Management of Data,2001,2001,1
26,conf/sigmod/CarinoKKB01,375733,"StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing","StorHouse metanoia - new applications for database, storage &; data warehousing","Felipe Cario, Pekka Kostamaa, Art Kaufmann, John Burgess","Felipe Cario, Jr., Pekka Kostamaa, Art Kaufmann, John Burgess",SIGMOD Conference,International Conference on Management of Data,2001,2001,0
27,conf/sigmod/Chan98,276320,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,Dimensionality reduction for similarity searching in dynamic databases,Arvola Chan,"K. V. Ravi Kanth, Divyakant Agrawal, Ambuj Singh",SIGMOD Conference,International Conference on Management of Data,1998,1998,0
28,conf/sigmod/ChangBCLLS00,335433,The Onion Technique: Indexing for Linear Optimization Queries,The onion technique: indexing for linear optimization queries,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo","Yuan-Chi Chang, Lawrence Bergman, Vittorio Castelli, Chung-Sheng Li, Ming-Ling Lo, John R. Smith",SIGMOD Conference,International Conference on Management of Data,2000,2000,1
29,conf/sigmod/ChenJDTW00,375786,NiagaraCQ: A Scalable Continuous Query System for Internet Databases,DNA-miner: a system prototype for mining DNA sequences,"Yuan Wang, Feng Tian, David J. DeWitt, Jianjun Chen",,SIGMOD Conference,International Conference on Management of Data,2000,2001,0
30,conf/sigmod/ChristophidesCM96,335395,Evaluating Queries with Generalized Path Expressions,On wrapping query languages and efficient XML integration,"Guido Moerkotte, Sophie Cluet, Vassilis Christophides","Vassilis Christophides, Sophie Cluet, Jrme Simon",SIGMOD Conference,International Conference on Management of Data,1996,2000,0
31,conf/sigmod/DarEGP98,276391,DTL's DataSpot: Database Exploration as Easy as Browsing the Web,DTL's DataSpot: database exploration as easy as browsing the Web...,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar","Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",SIGMOD Conference,International Conference on Management of Data,1998,1998,1
32,conf/sigmod/DattaDTVSR02,309870,Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",SIGMOD Conference,ACM SIGMOD Record,2002,1999,0
33,conf/sigmod/Deutsch95,223880,Objects and SQL: Strange Relations? Panel,Objects and SQL (panel session): strange relations?,Donald R. Deutsch,,SIGMOD Conference,International Conference on Management of Data,1995,1995,1
34,conf/sigmod/DoRD99,304250,The Need for Distributed Asynchronous Transactions,The need for distributed asynchronous transactions,"Lyman Do, Prabhu Ram, Pamela Drew","Lyman Do, Prabhu Ram, Pamela Drew",SIGMOD Conference,International Conference on Management of Data,1999,1999,1
35,conf/sigmod/DreyerDS95,223902,Using the CALANDA Time Series Management System,Using the CALANDA time series management system,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt","Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
36,conf/sigmod/Dullmann99,304229,Petabyte Databaases,Petabyte databases,Dirk Dllmann,Dirk Dllmann,SIGMOD Conference,International Conference on Management of Data,1999,1999,1
37,conf/sigmod/Eaton98,276357,Managing Large Systems with DB2 UDB,Managing large systems with DB2 UDB,Chris Eaton,Chris Eaton,SIGMOD Conference,International Conference on Management of Data,1998,1998,1
38,conf/sigmod/EmbleyJN99,304223,Record-Boundary Discovery in Web Documents,Record-boundary discovery in Web documents,"Yiu-Kai Ng, Y. S. Jiang, David W. Embley","D. W. Embley, Y. Jiang, Y.-K. Ng",SIGMOD Conference,International Conference on Management of Data,1999,1999,1
39,conf/sigmod/FaloutsosL95,223812,"FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets","FastMap: a fast algorithm for indexing, data-mining and visualization of traditional and multimedia datasets","King-Ip Lin, Christos Faloutsos","Christos Faloutswuos, King-Ip Lin",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
40,conf/sigmod/FaloutsosL95,671345,"FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets",Active Storage for Large-Scale Data Mining and Multimedia,"King-Ip Lin, Christos Faloutsos",,SIGMOD Conference,,1995,1998,0
41,conf/sigmod/FreedmanD95,223851,The SPIFFI Scalable Video-on-Demand System,The SPIFFI scalable video-on-demand system,"Craig S. Freedman, David J. DeWitt","Craig S. Freedman, David J. DeWitt",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
42,conf/sigmod/Freeston95,673501,A General Solution of the n-dimensional B-tree Problem,Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,Michael Freeston,"Michael Rys, Moira C. Norrie, Hans-Jrg Schek",SIGMOD Conference,Very Large Data Bases,1995,1996,0
43,conf/sigmod/Gal00,335479,"Data Management in eCommerce: The Good, the Bad, and the Ugly","Data management in eCommerce (tutorial session): the good, the bad, and the ugly",Avigdor Gal,Avigdor Gal,SIGMOD Conference,International Conference on Management of Data,2000,2000,1
44,conf/sigmod/GarofalakisGRSS00,375693,XTRACT: A System for Extracting Document Type Descriptors from XML Documents,SPARTAN: a model-based semantic compression system for massive data tables,"Rajeev Rastogi, S. Seshadri, Minos N. Garofalakis, Aristides Gionis, Kyuseok Shim","Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",SIGMOD Conference,International Conference on Management of Data,2000,2001,0
45,conf/sigmod/GingrasLSPS97,253397,Languages for Multi-database Interoperability,Languages for multi-database interoperability,"Laks V. S. Lakshmanan, Frdric Gingras, Nematollaah Shiri, Despina Papoulis, Iyer N. Subramanian","Frdric Gingras, Laks V. S. Lakshmanan, Iyer N. Subramanian, Despina Papoulis, Nematollaah Shiri",SIGMOD Conference,International Conference on Management of Data,1997,1997,1
46,conf/sigmod/GraySEBW94,191886,Quickly Generating Billion-Record Synthetic Databases,Quickly generating billion-record synthetic databases,"Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan","Jim Gray, Prakash Sundaresan, Susanne Englert, Ken Baclawski, Peter J. Weinberger",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
47,conf/sigmod/GrossmanHQ95,223901,PTool: A Light Weight Persistent Object Manager,PTool: a light weight persistent object manager,"David Hanley, Robert L. Grossman, Xiao Qin","R. L. Grossman, D. Hanley, X. Qin",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
48,conf/sigmod/HanFHCC94,672832,DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,On Spatially Partitioned Temporal Join,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han","Hongjun Lu, Beng Chin Ooi, Kian-Lee Tan",SIGMOD Conference,Very Large Data Bases,1994,1994,0
49,conf/sigmod/HanFHCC94,672964,DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han","Tak W. Yan, Jurgen Annevelink",SIGMOD Conference,Very Large Data Bases,1994,1994,0
50,conf/sigmod/HanKK97,253330,Scalable Parallel Data Mining for Association Rules,Scalable parallel data mining for association rules,"Eui-Hong Han, Vipin Kumar, George Karypis","Eui-Hong Han, George Karypis, Vipin Kumar",SIGMOD Conference,International Conference on Management of Data,1997,1997,1
51,conf/sigmod/HillyerS96,233332,Random I/O Scheduling in Online Tertiary Storage Systems,Random I/O scheduling in online tertiary storage systems,"Bruce Hillyer, Abraham Silberschatz","Bruce K. Hillyer, Avi Silberschatz",SIGMOD Conference,International Conference on Management of Data,1996,1996,1
52,conf/sigmod/HsiaoCY94,191879,On Parallel Execution of Multiple Pipelined Hash Joins,On parallel execution of multiple pipelined hash joins,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen","Hui-I Hsiao, Ming-Syan Chen, Philip S. Yu",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
53,conf/sigmod/HullZ96,233365,A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,A framework for supporting data integration usinvirtual approaches,"Gang Zhou, Richard Hull","Richard Hull, Gang Zhou",SIGMOD Conference,International Conference on Management of Data,1996,1996,1
54,conf/sigmod/HwangLYMMGCSS94,191986,The MYRIAD Federated Database Prototype,The MYRIAD federated database prototype,"K. Mediratta, Ee-Peng Lim, J. Stenoien, S. Musukula, Jaideep Srivastava, H.-R. Yang, D. Clements, M. Ganesh, San-Yih Hwang","S.-Y. Hwang, E.-P. Lim, H.-R. Yang, S. Musukula, K. Mediratta, M. Ganesh, D. Clements, J. Stenoien, J. Srivastava",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
55,conf/sigmod/JaedickeM98,765526,On Parallel Processing of Aggregate and Scalar Functions in Object-Relational DBMS,"Advanced data processing in KRISYS: modeling concepts, implementation techniques, and client/server issues","Michael Jaedicke, Bernhard Mitschang","Stefan Deloch, Theo Hrder, Nelson Mattos, Bernhard Mitschang, Joachim Thomas",SIGMOD Conference,The VLDB Journal  The International Journal on Very Large Data Bases,1998,1998,0
56,conf/sigmod/Jagadish94,191991,Databases for Networks,Databases for networks,H. V. Jagadish,H. V. Jagadish,SIGMOD Conference,International Conference on Management of Data,1994,1994,1
57,conf/sigmod/JagadishLMSV99,304194,Querying Network Directories,Querying network directories,"Dimitra Vista, H. V. Jagadish, Divesh Srivastava, Tova Milo, Laks V. S. Lakshmanan","H. V. Jagadish, Laks V. S. Lakshmanan, Tova Milo, Divesh Srivastava, Dimitra Vista",SIGMOD Conference,International Conference on Management of Data,1999,1999,1
58,conf/sigmod/Jamil99,304192,Belief Reasoning in MLS Deductive Databases,Belief reasoning in MLS deductive databases,Hasan M. Jamil,Hasan M. Jamil,SIGMOD Conference,International Conference on Management of Data,1999,1999,1
59,conf/sigmod/JonssonFS98,765236,Interaction of Query Evaluation and Buffer Management for Information Retrieval,Exploiting early sorting and early partitioning for decision support query processing,"Bjrn r Jnsson, Divesh Srivastava, Michael J. Franklin","J. Claussen, A. Kemper, D. Kossmann, C. Wiesner",SIGMOD Conference,The VLDB Journal  The International Journal on Very Large Data Bases,1998,2000,0
60,conf/sigmod/KalnisNOPT02,872814,An adaptive peer-to-peer network for distributed caching of OLAP results,An optimal and progressive algorithm for skyline queries,"Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan, Wee Siong Ng, Panos Kalnis","Dimitris Papadias, Yufei Tao, Greg Fu, Bernhard Seeger",SIGMOD Conference,International Conference on Management of Data,2002,2003,0
61,conf/sigmod/KatayamaS97,673646,The SR-tree: An Index Structure for High-Dimensional Nearest Neighbor Queries,An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,"Norio Katayama, Shin'ichi Satoh","Surajit Chaudhuri, Vivek R. Narasayya",SIGMOD Conference,Very Large Data Bases,1997,1997,0
62,conf/sigmod/Kennamer98,276373,Microsoft.com: A High-Scale Data Management and Transaction Processing Solution,Microsoft.com: a high-scale data management and transaction processing solution,Sherri Kennamer,Sherri Kennamer,SIGMOD Conference,International Conference on Management of Data,1998,1998,1
63,conf/sigmod/KiepuszewskiMO98,276330,FlowBack: Providing Backward Recovery for Workflow Systems,NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,"Maria E. Orlowska, Ralf Mhlberger, Bartek Kiepuszewski",Brad Adelberg,SIGMOD Conference,International Conference on Management of Data,1998,1998,0
64,conf/sigmod/KotidisR99,672990,DynaMat: A Dynamic View Management System for Data Warehouses,The GMAP: A Versatile Tool for Physical Data Independence,"Nick Roussopoulos, Yannis Kotidis",,SIGMOD Conference,Very Large Data Bases,1999,,0
65,conf/sigmod/KotidisR99,673466,DynaMat: A Dynamic View Management System for Data Warehouses,Filter Trees for Managing Spatial Data over a Range of Size Granularities,"Nick Roussopoulos, Yannis Kotidis","Kenneth C. Sevcik, Nick Koudas",SIGMOD Conference,Very Large Data Bases,1999,1996,0
66,conf/sigmod/KrollW94,191891,Distributing a Search Tree Among a Growing Number of Processors,Distributing a search tree among a growing number of processors,"Brigitte Krll, Peter Widmayer","Brigitte Krll, Peter Widmayer",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
67,conf/sigmod/KuhnTS94,191963,A Language Based Multidatabase System,A language based multidatabase system,"Konrad Schwarz, eva Khn, Thomas Tschernko","Eva Khn, Thomas Tschernko, Konrad Schwarz",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
68,conf/sigmod/LabioYG99,304216,Shrinking the Warehouse Update Window,Shrinking the warehouse update Window,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio","Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",SIGMOD Conference,International Conference on Management of Data,,1999,1
69,conf/sigmod/LabioZWGGW97,671857,The WHIPS Prototype for Data Warehouse Creation and Maintenance,"Biodiversity Informatics: The Challenge of Rapid Development, Large Databases, and Complex Data (Keynote)","Hector Garcia-Molina, Himanshu Gupta, Wilburt Labio, Yue Zhuge, Janet L. Wiener, Jennifer Widom","Meridith A. Lane, James L. Edwards, Ebbe Nielsen",SIGMOD Conference,Very Large Data Bases,1997,2000,0
70,conf/sigmod/Levine95,223878,Order-of-Magnitude Advantage of TPC-C Though Massive Parallelism,Order-of-magnitude advantage on TPC-C through massive parallelism,Charles Levine,Charles Levine,SIGMOD Conference,International Conference on Management of Data,1995,1995,1
71,conf/sigmod/LiS98,276374,Free Parallel Data Mining,Free parallel data mining,"Bin Li, Dennis Shasha","Bin Li, Dennis Shasha",SIGMOD Conference,International Conference on Management of Data,1998,1998,1
72,conf/sigmod/LiuPBHPT00,671876,AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,Practical Applications of Triggers and Constraints: Success and Lingering Issues (10-Year Award),"Henrique Paques, Wei Tang, Calton Pu, Wei Han, Ling Liu, David Buttler","Stefano Ceri, Roberta Cochrane, Jennifer Widom",SIGMOD Conference,Very Large Data Bases,2000,2000,0
73,conf/sigmod/LivnyRBCDLMW97a,176569,DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),Automated resolution of semantic heterogeneity in multidatabases,"Jussi Myllymaki, Shilpa Lawande, Donko Donjerkovic, Raghu Ramakrishnan, Guangshun Chen, Kevin S. Beyer, Miron Livny, R. Kent Wenger","M. W. Bright, A. R. Hurson, S. Pakzad",SIGMOD Conference,ACM Transactions on Database Systems (TODS),1997,1994,0
74,conf/sigmod/LometT03,671662,A Theory of Redo Recovery,DBMSs on a Modern Processor: Where Does Time Go?,"Mark R. Tuttle, David B. Lomet","Anastassia Ailamaki, David J. DeWitt, Mark D. Hill, David A. Wood",SIGMOD Conference,Very Large Data Bases,2003,1999,0
75,conf/sigmod/LometW98,276345,Efficient and Transparent Application Recovery in Client-Server Information Systems,Efficient transparent application recovery in client-server information systems,"David B. Lomet, Gerhard Weikum","David Lomet, Gerhard Weikum",SIGMOD Conference,International Conference on Management of Data,1998,1998,1
76,conf/sigmod/MaddenFHH03,564788,The Design of an Acquisitional Query Processor For Sensor Networks,Data streams: fresh current or stagnant backwater? (panel),"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin","Joseph M. Hellerstein, Jennifer Widom",SIGMOD Conference,International Conference on Management of Data,2003,2002,0
77,conf/sigmod/MaddenH02,564776,Distributing queries over low-power wireless sensor networks,Distributing queries over low-power wireless sensor networks,"Samuel Madden, Joseph M. Hellerstein","Samuel Madden, Joseph M. Hellerstein",SIGMOD Conference,International Conference on Management of Data,2002,2002,1
78,conf/sigmod/Miller98,276322,Using Schematically Heterogeneous Structures,Using schematically heterogeneous structures,Rene J. Miller,Ree J. Miller,SIGMOD Conference,International Conference on Management of Data,1998,1998,1
79,conf/sigmod/Mohan99,564765,A Database Perspective on Lotus Domino/Notes,DBCache: database caching for web application servers,C. Mohan,"Mehmet Altinel, Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Bruce G. Lindsay, Honguk Woo, Larry Brown",SIGMOD Conference,International Conference on Management of Data,1999,2002,0
80,conf/sigmod/MohanN94,191849,ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,ARIES/CSA: a method for database recovery in client-server architectures,"C. Mohan, Inderpal Narang","C. Mohan, Inderpal Narang",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
81,conf/sigmod/MoonWH02,564693,General match: a subsequence matching method in time-series databases based on generalized windows,Archiving scientific data,"Kyu-Young Whang, Yang-Sae Moon, Wook-Shin Han","Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",SIGMOD Conference,International Conference on Management of Data,2002,2002,0
82,conf/sigmod/NgLHP98,673134,Exploratory Mining and Pruning Optimizations of Constrained Association Rules,Discovery of Multiple-Level Association Rules from Large Databases,"Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan","Jiawei Han, Yongjian Fu",SIGMOD Conference,Very Large Data Bases,1998,1995,0
83,conf/sigmod/Ojjeh99,304245,Microsoft Site Server (Commerce Edition),Microsoft site server (commerce ed.): Talk-slides  at the conference,Bassel Ojjeh,Bassel Ojjeh,SIGMOD Conference,International Conference on Management of Data,1999,1999,1
84,conf/sigmod/Ojjeh99,304576,Microsoft Site Server (Commerce Edition),Nodose version 2.0,Bassel Ojjeh,"Brad Adelberg, Matthew Denny",SIGMOD Conference,International Conference on Management of Data,1999,1999,0
85,conf/sigmod/OlstonWL01,375710,Adaptive Precision Setting for Cached Approximate Values,Adaptive precision setting for cached approximate values,"Boon Thau Loo, Jennifer Widom, Chris Olston","Chris Olston, Boon Thau Loo, Jennifer Widom",SIGMOD Conference,International Conference on Management of Data,2001,2001,1
86,conf/sigmod/PapakonstantinouPV02,564697,QURSED: querying and reporting semistructured data,Rate-based query optimization for streaming information sources,"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos","Stratis D. Viglas, Jeffrey F. Naughton",SIGMOD Conference,International Conference on Management of Data,2002,2002,0
87,conf/sigmod/PeiMHZ00,336572,Towards Data Mining Benchmarking: A Testbed for Performance Study of Frequent Pattern Mining,Towards data mining benchmarking: a test bed for study of frequent pattern mining,"Hua Zhu, Kan Hu, Jian Pei, Runying Mao","Jian Pei, Runying Mao, Kan Hu, Hua Zhu",SIGMOD Conference,International Conference on Management of Data,2000,,1
88,conf/sigmod/PhanN02,564783,GEA: a toolkit for gene expression analysis,GEA: a toolkit for gene expression analysis,"Jessica M. Phan, Raymond T. Ng","Jessica M. Phan, Raymond Ng",SIGMOD Conference,International Conference on Management of Data,2002,2002,1
