#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,ltable.author,ltable.pubYear,ltable.publisher,rtable.title,rtable.author,rtable.pubYear,rtable.publisher,gold_label
17,6000607,9780061374050,Not Quite What I Was Planning: Six-Word Memoirs by Writers Famous and Obscure,"Fershleiser, Rachel",2008.0,Harpercollins,Not Quite What I Was Planning : Six-Word Memoirs by Writers Famous and Obscure,"Smith, Larry Fershleiser, Rachel",2008.0,HarperCollins Publishers,0
19,7809485,9780152062279,Love Among the Walnuts,"Ferris, Jean",2008.0,Houghton Mifflin Harcourt,Love among the Walnuts,"Ferris, Jean",2008.0,Houghton Mifflin Harcourt Publishing Company,0
20,4082544,9780071451574,Business Calculus Demystified,"Huettenmueller, Rhonda",2005.0,McGraw-Hill,Business Calculus Demystified,"Huettenmueller, Rhonda",2005.0,McGraw-Hill Professional Publishing,0
22,5087512,9780028348261,"Geometry: Concepts and Applications, Study Guide Workbook",McGraw-Hill,2000.0,McGraw-Hill/Glencoe,Geometry : Concepts and Applications,McGraw-Hill Staff,2000.0,McGraw-Hill Higher Education,0
23,515921,9780140447040,Sixteen Satires: Revised Edition,"Juvenal, Decimus Junius Juvenalis",1999.0,Penguin Group USA,Sixteen Satires,Juvenal,1999.0,Penguin Group (USA) Incorporated,0
24,17800413,9780061490057,Ascendant,"Peterfreund, Diana",2012.0,Harpercollins Childrens Books,Ascendant,"Peterfreund, Diana",2012.0,HarperCollins Publishers,0
25,19747771,9780217516556,The Bog of Stars; And Other Stories and Sketches of Elizabethan Ireland,"O'Grady, Standish",2012.0,General Books,Bog of Stars; and Other Stories and Sketches of Elizabethan Ireland,"O'Grady, Standish",2009.0,General Books,0
27,2351244,9780226492360,Foundations of Biogeography: Classic Papers with Commentaries,"Lomolino, Mark V.",2004.0,Univ of Chicago Pr,Foundations of Biogeography : Classic Papers with Commentaries,,2004.0,University of Chicago Press,0
29,3618742,9780060837563,Native Son,"Wright, Richard",2005.0,Harpercollins,Native Son,"Wright, Richard",2005.0,HarperCollins Publishers,0
31,10865895,9780153234514,Harcourt School Publishers Trophies: On-LVL: Seventh Gr Penny Drve G6 Seventh Gr Penny Drve,HSP,2002.0,Harcourt School Publishers,Seventh Grade Penny Drive On Level,Harcourt School Publishers Staff,2002.0,Harcourt School Publishers,0
32,1300652,9780198201892,Richard II: The Art of Kingship,"Goodman, Anthony",1999.0,Oxford Univ Pr,Richard II : The Art of Kingship,,1999.0,"Oxford University Press, Incorporated",0
33,13907045,9780195398113,Terrorism: Commentary on Security; Terrorist Financing and Money Laundering,,2010.0,Oxford Univ Pr,Terrorism: Commentary on Security DocumentsVolume 106: Terrorist Financing and Money Laundering,"Huq, Aziz Lovelace, Douglas C. Boon, Kristen E.",1979.0,Oceana Publications,0
34,1490720,9780029066850,"Measures for Clinical Practice: A Sourcebook : Couples, Families, and Children","Fischer, Joel",1994.0,Simon & Schuster,"Measures for Clinical Practice Vol. 1 : Couples, Families, and Children","Fischer, Joel",1994.0,Free Press,0
35,15311731,9780217105972,The Road Toward Peace; A Contribution to the Study of the Causes of the European War and of the Means of Preventing War in the Future,"Eliot, Charles William",2010.0,General Books,Road Toward Peace,"Eliot, Charles William",2009.0,General Books,0
36,15348586,9780217521376,On the Broads,"Dodd, Anna Bowman",2010.0,General Books,On the Broads,"Dodd, Anna Bowman",2009.0,General Books,0
38,16284366,9780160879098,"Congressional Record (Bound Volumes): Volume 153, Part 20",U S Congress,2011.0,Congress,"Congressional Record, V. 153, Pt. 20, October 17, 2007 to October 30 2007",,2011.0,United States Government Printing Office,0
39,10240412,9780199556717,Evolution and the Levels of Selection,"Okasha, Samir",2009.0,Oxford Univ Pr,Evolution and the Levels of Selection,"Okasha, Samir",2009.0,"Oxford University Press, Incorporated",0
40,14022273,9780217263016,"New Guide of Rome and the Enirons According to Vasi and Nibby; Containing a Description of the Monuments, Galleries, Churches [Etc.] Carefully Revised","Piale, Luigi",2012.0,General Books,New Guide of Rome and the Enirons According to Vasi and Nibby,"Piale, Luigi",2009.0,General Books,0
41,14022804,9780217519724,Novels and Novelists; From Elizabeth to Victoria,"Jeaffreson, John Cordy",2010.0,General Books,"Novels and Novelists, from Elizabeth to Victoria","Jeaffreson, John Cordy",2009.0,General Books,0
42,14026160,9780217021159,Memoirs and Campaigns of Charles John Prince Royal of Sweden; Embellished with a Beautifully Engraved Portrait,"Philippart, John",2010.0,General Books,Memoirs and Campaigns of Charles John Prince Royal of Sweden,"Philippart, John",2009.0,General Books,0
43,14028323,9780217618472,"The Wrack of the Storm Volume 1916, PT. 1","Maeterlinck, Maurice",2010.0,General Books,Wrack of the Storm,"Maeterlinck, Maurice",2009.0,General Books,0
45,15283778,9780217880725,Outlines of Logic and Metaphysics,"Erdmann, Johann Eduard",2010.0,General Books,Outlines of Logic and Metaphysics,"Erdmann, Johann Eduard",2009.0,General Books,0
46,15305465,9780217033985,Practical Chemistry; The Principles of Qualitative Analysis,"Tilden, William Augustus",2010.0,General Books,Practical Chemistry,"Tilden, William A.",2009.0,General Books,0
47,15307220,9780217970747,Peggy Ware,"Howard, Milford Wriarson",2010.0,General Books,Peggy Ware,"Howard, Milford Wriarson",2009.0,General Books,0
48,15328882,9780217020985,Memoirs of the Reign of King George the Third (Volume 3),"Walpole, Horace",2012.0,General Books,Memoirs of the Reign of King George The,"Walpole, Horace",2009.0,General Books,0
50,15772172,9780061965548,How Shakespeare Changed Everything,"Marche, Stephen",2012.0,Harpercollins,How Shakespeare Changed Everything,"Marche, Stephen",2012.0,HarperCollins Publishers,0
51,1581211,9780201738278,Broadband Internet Connections: A User's Guide to DSL and Cable,"Smith, Roderick W.",2001.0,Addison-Wesley Professional,Broadband Internet Connections : A User's Guide to DSL and Cable,"Smith, Roderick W.",2001.0,Addison Wesley Professional,0
52,15912308,9780077905972,Combo: Loose Leaf Version of Anatomy & Physiology: The Unity of Form and Function with Connect Plus 2 Semester Access Card (Includes Apr & Phils Onlin,"Saladin, Kenneth",2010.0,McGraw-Hill Science/Engineering/Math,Combo: Loose Leaf Version of Anatomy & Physiology: the Unity of Form and Function with Connect Plus/LearnSmart 2 Semester Access Card,"Saladin, Kenneth",,McGraw-Hill Higher Education,0
53,10083762,9780142412145,Let It Snow: Three Holiday Romances,"Green, John",2008.0,Penguin Group USA,Let It Snow : Three Holiday Romances,"Myracle, Lauren Green, John Johnson, Maureen",2008.0,Penguin Group (USA) Incorporated,0
54,10722263,9780195386370,Stockholm: A Cultural History,"Griffiths, Tony",2009.0,Oxford Univ Pr on Demand,Stockholm : A Cultural History,"Griffiths, Tony",2009.0,"Oxford University Press, Incorporated",0
55,10948704,9780131077744,Coll Acctg 1-26& Sg& Wp& Pchtr& Pch8.0& Tut& Ebiz,,2003.0,Addison Wesley Longman,Coll Acctg 1-26 and Sg and Wp and Pchtr and Pch8 0 and Tut and E,"Slater, Jeffrey",2003.0,Prentice Hall Higher Education,0
56,13433980,9780205753413,Janson's Basic History of Western Art [With Access Code],"Davies, Penelope J. E.",2009.0,Prentice Hall,"Janson's Basic History of Western Art, Books a la Carte Plus MyArtKit","Jacobs, Joseph F. Roberts, Ann M. Davies Davies, Penelope J. E. Hofrichter, Frima Fox",2009.0,Prentice Hall PTR,0
57,14022189,9780217341356,"A History of the County of Pictou, Nova Scotia","Patterson, George",2012.0,General Books,"History of the County of Pictou, Nova Scoti","Patterson, George",2009.0,General Books,0
58,15289952,9780217048255,Shores of the Mediterranean,"Schroeder, Francis",2009.0,General Books,Shores of the Mediterranean,"Schroeder, Francis",2009.0,General Books,0
63,15358361,9780217249775,Proceedings of 1st- Annual Convention,"Association, Idaho Bankers",2010.0,General Books,Proceedings of 1st- Annual Convention,"Association, Idaho Bankers",2009.0,General Books,0
64,15359574,9780217298445,The War Guilt and Peace Crime of the Entente Allies,"Bruce, Stewart E.",2010.0,General Books,War Guilt and Peace Crime of the Entente Allies,"Bruce, Stewart E.",2009.0,General Books,0
65,15373263,9780217300049,"The Theory and Practice of Cricket, from Its Origin to the Present Time","Box, Charles",2012.0,General Books,"Theory and Practice of Cricket, from Its Origin to the Present Time","Box, Charles",2009.0,General Books,0
66,15657084,9780195380002,Global Occupational Health,"Guidotti, Tee L.",2011.0,Oxford Univ Pr,Global Occupational Health,,2011.0,"Oxford University Press, Incorporated",0
67,16938827,9780230232372,Kazuo Ishiguro: New Critical Visions of the Novels,"Groes, Sebastian",2011.0,Palgrave MacMillan,Kazuo Ishiguro : New Critical Visions of the Novels,,2011.0,Palgrave Macmillan,0
