#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,ltable.author,ltable.pubYear,ltable.publisher,rtable.title,rtable.author,rtable.pubYear,rtable.publisher
27,9780195380002,15657084,Global Occupational Health,,2011.0,"Oxford University Press, Incorporated",Global Occupational Health,"Guidotti, Tee L.",2011.0,Oxford Univ Pr
28,9780195386370,10722263,Stockholm : A Cultural History,"Griffiths, Tony",2009.0,"Oxford University Press, Incorporated",Stockholm: A Cultural History,"Griffiths, Tony",2009.0,Oxford Univ Pr on Demand
29,9780195398113,13907045,Terrorism: Commentary on Security DocumentsVolume 106: Terrorist Financing and Money Laundering,"Huq, Aziz Lovelace, Douglas C. Boon, Kristen E.",1979.0,Oceana Publications,Terrorism: Commentary on Security; Terrorist Financing and Money Laundering,,2010.0,Oxford Univ Pr
30,9780198201892,1300652,Richard II : The Art of Kingship,,1999.0,"Oxford University Press, Incorporated",Richard II: The Art of Kingship,"Goodman, Anthony",1999.0,Oxford Univ Pr
31,9780198280354,2524032,"Elitism, Populism, and European Politics",,1996.0,"Oxford University Press, Incorporated","Elitism, Populism, and European Politics","Hayward, Jack",1996.0,Oxford Univ Pr
32,9780199556717,10240412,Evolution and the Levels of Selection,"Okasha, Samir",2009.0,"Oxford University Press, Incorporated",Evolution and the Levels of Selection,"Okasha, Samir",2009.0,Oxford Univ Pr
33,9780201738278,1581211,Broadband Internet Connections : A User's Guide to DSL and Cable,"Smith, Roderick W.",2001.0,Addison Wesley Professional,Broadband Internet Connections: A User's Guide to DSL and Cable,"Smith, Roderick W.",2001.0,Addison-Wesley Professional
34,9780205327270,4763339,Transition Assessment : Planning Transition and IEP Development for Youth with Mild to Moderate Disabilities,"Corbey, Stephanie A. Lombard, Richard C. Miller, Robert J.",2006.0,"Allyn & Bacon, Incorporated",Transition Assessment: Planning Transition and IEP Development for Youth with Mild to Moderate Disabilities,"Miller, Robert J.",2006.0,Prentice Hall
35,9780205700424,13945932,Introduction to the Theories of Learning- (Value Pack W/MySearchLab),"Olson, Matthew H. Hergenhahn, B. R.",2009.0,Prentice Hall PTR,An Introduction to Theories of Learning [With Access Code],"Olson, Matthew",2009.0,Prentice Hall
36,9780205753413,13433980,"Janson's Basic History of Western Art, Books a la Carte Plus MyArtKit","Jacobs, Joseph F. Roberts, Ann M. Davies Davies, Penelope J. E. Hofrichter, Frima Fox",2009.0,Prentice Hall PTR,Janson's Basic History of Western Art [With Access Code],"Davies, Penelope J. E.",2009.0,Prentice Hall
37,9780217020985,15328882,Memoirs of the Reign of King George The,"Walpole, Horace",2009.0,General Books,Memoirs of the Reign of King George the Third (Volume 3),"Walpole, Horace",2012.0,General Books
38,9780217021159,14026160,Memoirs and Campaigns of Charles John Prince Royal of Sweden,"Philippart, John",2009.0,General Books,Memoirs and Campaigns of Charles John Prince Royal of Sweden; Embellished with a Beautifully Engraved Portrait,"Philippart, John",2010.0,General Books
39,9780217033985,15305465,Practical Chemistry,"Tilden, William A.",2009.0,General Books,Practical Chemistry; The Principles of Qualitative Analysis,"Tilden, William Augustus",2010.0,General Books
40,9780217048255,15289952,Shores of the Mediterranean,"Schroeder, Francis",2009.0,General Books,Shores of the Mediterranean,"Schroeder, Francis",2009.0,General Books
41,9780217105972,15311731,Road Toward Peace,"Eliot, Charles William",2009.0,General Books,The Road Toward Peace; A Contribution to the Study of the Causes of the European War and of the Means of Preventing War in the Future,"Eliot, Charles William",2010.0,General Books
42,9780217106894,15326268,Spirit of the New Education,"Hopkins, Louisa Parsons Stone",2009.0,General Books,The Spirit of the New Education,"Hopkins, Louisa Parsons Stone",2010.0,General Books
43,9780217110952,15368811,True Story of Hamlet and Opheli,"Gilchrist, Fredericka Raymond Beardsley",2009.0,General Books,The True Story of Hamlet and Ophelia,"Gilchrist, Fredericka Raymond Beardsley",2012.0,General Books
44,9780217227834,15341050,Jacob VanDerlint on Money Answers All Things 1734,"VanDerlint, Jacob",2009.0,General Books,Jacob Vanderlint on Money Answers All Things. 1734,"Vanderlint, Jacob",2012.0,General Books
45,9780217249775,15358361,Proceedings of 1st- Annual Convention,"Association, Idaho Bankers",2009.0,General Books,Proceedings of 1st- Annual Convention,"Association, Idaho Bankers",2010.0,General Books
46,9780217255035,15291838,Laurie's Graduated Series of Reading Lesson Books,"Laurie, James Stuart",2009.0,General Books,Laurie's Graduated Series of Reading Lesson Books,"Laurie, James Stuart",2010.0,General Books
47,9780217263016,14022273,New Guide of Rome and the Enirons According to Vasi and Nibby,"Piale, Luigi",2009.0,General Books,"New Guide of Rome and the Enirons According to Vasi and Nibby; Containing a Description of the Monuments, Galleries, Churches [Etc.] Carefully Revised","Piale, Luigi",2012.0,General Books
48,9780217270052,15334872,"Personal Efficiency, Applied Salesmanship, and Sales Administration","Allen, Irving Ross",2009.0,General Books,"Personal Efficiency, Applied Salesmanship, and Sales Administration","Allen, Irving Ross",2010.0,General Books
49,9780217298445,15359574,War Guilt and Peace Crime of the Entente Allies,"Bruce, Stewart E.",2009.0,General Books,The War Guilt and Peace Crime of the Entente Allies,"Bruce, Stewart E.",2010.0,General Books
50,9780217300049,15373263,"Theory and Practice of Cricket, from Its Origin to the Present Time","Box, Charles",2009.0,General Books,"The Theory and Practice of Cricket, from Its Origin to the Present Time","Box, Charles",2012.0,General Books
51,9780217304399,15338150,Universal Merchant,"Alldridge, W. J.",2009.0,General Books,The Universal Merchant; In Theory and Practice Improved and Enl,"Alldridge, W. J.",2012.0,General Books
52,9780217341356,14022189,"History of the County of Pictou, Nova Scoti","Patterson, George",2009.0,General Books,"A History of the County of Pictou, Nova Scotia","Patterson, George",2012.0,General Books
53,9780217455008,15280600,"Catalogue of Earthquakes on the Pacific Coast, 1897 To 1906","Mcadie, Alexander",2009.0,General Books,"Catalogue of Earthquakes on the Pacific Coast, 1897 to 1906 (49, Nos. 1-5)","McAdie, Alexander",2010.0,General Books
54,9780217516556,19747771,Bog of Stars; and Other Stories and Sketches of Elizabethan Ireland,"O'Grady, Standish",2009.0,General Books,The Bog of Stars; And Other Stories and Sketches of Elizabethan Ireland,"O'Grady, Standish",2012.0,General Books
55,9780217519724,14022804,"Novels and Novelists, from Elizabeth to Victoria","Jeaffreson, John Cordy",2009.0,General Books,Novels and Novelists; From Elizabeth to Victoria,"Jeaffreson, John Cordy",2010.0,General Books
56,9780217521376,15348586,On the Broads,"Dodd, Anna Bowman",2009.0,General Books,On the Broads,"Dodd, Anna Bowman",2010.0,General Books
57,9780217618472,14028323,Wrack of the Storm,"Maeterlinck, Maurice",2009.0,General Books,"The Wrack of the Storm Volume 1916, PT. 1","Maeterlinck, Maurice",2010.0,General Books
58,9780217759441,15345679,Tripled Crown,,2009.0,General Books,"The Tripled Crown; A Book of English, Scotch and Irish Verse","Author, Unknown",2010.0,General Books
59,9780217761901,15282052,Growth of Christianity,"Gardner, Percy",2009.0,General Books,The Growth of Christianity; London Lectures,"Gardner, Percy",2010.0,General Books
60,9780217825382,15286798,"Cured by an Incurable, by Crowquill and Pencilpoint","Pseud, Crowquill",2009.0,General Books,"Cured by an Incurable, by Crowquill and Pencilpoint","Pseud, Crowquill",2012.0,General Books
61,9780217872232,15350595,Skin Diseases of Parasitic Origin,"Fox, Tilbury",2009.0,General Books,"Skin Diseases of Parasitic Origin; Their Nature and Treatment, Including the Description and Relations of the Fungi Found in Man","Fox, Tilbury",2010.0,General Books
62,9780217880725,15283778,Outlines of Logic and Metaphysics,"Erdmann, Johann Eduard",2009.0,General Books,Outlines of Logic and Metaphysics,"Erdmann, Johann Eduard",2010.0,General Books
63,9780217940207,15295588,Daring Adventures of Kit Carson and Fremont,"Fr�mont, John Charles",2009.0,General Books,"The Daring Adventures of Kit Carson and Fremont; Among Buffaloes, Grizzlies and Indians Being a Spirited Diary of the Most Difficult and Wonderful Exp","Frmont, John Charles",2012.0,Rarebooksclub.com
64,9780217970747,15307220,Peggy Ware,"Howard, Milford Wriarson",2009.0,General Books,Peggy Ware,"Howard, Milford Wriarson",2010.0,General Books
65,9780226156439,4086892,Bedtrick : Tales of Sex and Masquerade,"Doniger, Wendy",2005.0,University of Chicago Press,The Bedtrick: Tales of Sex and Masquerade,"Doniger, Wendy",2005.0,Univ of Chicago Pr
66,9780226492360,2351244,Foundations of Biogeography : Classic Papers with Commentaries,,2004.0,University of Chicago Press,Foundations of Biogeography: Classic Papers with Commentaries,"Lomolino, Mark V.",2004.0,Univ of Chicago Pr
67,9780230232372,16938827,Kazuo Ishiguro : New Critical Visions of the Novels,,2011.0,Palgrave Macmillan,Kazuo Ishiguro: New Critical Visions of the Novels,"Groes, Sebastian",2011.0,Palgrave MacMillan
