ID, Title, Author1, Author2, Author3, Publisher, ISBN13, Publication Date, Pages, Product dimensions, Sales rank, Ratings count, Rating value, Paperback price, Hardcover price, Nookbook price, Audiobook price
19,Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur, , ,"Grove/Atlantic, Inc.",9780802141446,06/09/2004,400,5.00(w) x 7.70(h) x 1.30(d),"96,713",109,4.4,$13.12, ,$10.49, 
20,"America The Black Point of View - An Investigation and Study of the White People of America and Western Europe and The Autobiography of an American Ghetto Boy, The 1950s and 1960s",Tony Rose, , ,"Amber Communications Group, Inc.",9781937269500,04/28/2015,552,6.00(w) x 9.00(h) x 1.30(d),"96,912", , ,$18.76, ,$7.00, 
21,Black Beauty: The Autobiography of a Horse,Anna Sewell,Sewell, ,Dover Publications,9780486407883,06/23/1999,208,8.26(w) x 5.46(h) x 0.49(d),"98,040",514,4.2,$4.50,$9.95,$2.99,$7.11
22,Blues All around Me: The Autobiography of B. B. King,B. B. King,David Ritz, ,HarperCollins Publishers,9780062061034,03/08/2011,368,6.08(w) x 8.98(h) x 0.98(d),"101,724", , ,$12.39, , , 
23,El Sicario: The Autobiography of a Mexican Assassin,Molly Molloy, , ,Nation Books,9781568586588,05/10/2011,224,5.50(w) x 8.25(h) x 0.56(d),"103,301",12,3.8,$10.99, ,$10.99, 
24,Mover of Men and Mountains: The Autobiography,LeTourneau, , ,Moody Publishers,9780802438188,06/28/1967,296,4.29(w) x 6.97(h) x 0.82(d),"104,786",7,4.4,$7.99, ,$5.49, 
25,Autobiography of an Ex-Colored Man and Other Writings (Barnes & Noble Classics Series),James Weldon Johnson, , ,Barnes &amp; Noble,9781593082895,04/01/2007,208,5.19(w) x 8.00(h) x 0.52(d),"106,079",7,3.7,$5.35, ,$4.49, 
26,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition",Mark Twain, , ,University of California Press,9780520272781,10/05/2013,776,7.62(w) x 10.24(h) x 2.42(d),"107,573",8,4.8, ,$33.91,$29.25,$25.22
27,"Play On: Now, Then, and Fleetwood Mac: The Autobiography",Mick Fleetwood,Anthony Bozza, ,"Little, Brown and Company",9780316403429,10/28/2014,352,6.10(w) x 9.30(h) x 1.40(d),"109,124", , ,$15.78,$21.76,$14.99,$25.63
28,Neil Patrick Harris: Choose Your Own Autobiography,Neil Patrick Harris, , ,Crown Publishing Group,9780385346993,10/14/2014,304,5.90(w) x 9.20(h) x 1.10(d),"110,511",25,3.6,$11.57,$18.75,$11.99,$21.93
29,"Speak, Memory: An Autobiography Revisited",Vladimir Nabokov, , ,Knopf Doubleday Publishing Group,9780679723394,08/15/1989,336,5.14(w) x 7.95(h) x 0.67(d),"113,712",7,4.8,$13.34,$15.56,$11.99, 
30,The Big Sea: An Autobiography,Langston Hughes, , ,"Farrar, Straus and Giroux",9780809015498,08/28/1993,368,5.40(w) x 7.90(h) x 1.10(d),"115,221",6,4.5,$12.75, ,$9.99, 
31,An Autobiography: The Story of My Experiments with Truth,Mohandas K. Gandhi, , ,Beacon Press,9780807059098,11/28/1993,560,5.39(w) x 8.00(h) x 1.65(d),"115,320",20,4.4,$10.76, ,$6.49, 
32,Angela Davis: An Autobiography,Angela Y. Davis, , ,"International Publishers Company, Incorporated",9780717806676,03/01/1989,400,5.49(w) x 8.26(h) x 0.87(d),"115,691",2,5.0,$11.98, , , 
33,The Story of a Soul: The Autobiography of St. Therese of Lisieux,St Therese of Lisieux, , ,CreateSpace Publishing,9781484846780,04/30/2013,280,5.25(w) x 8.00(h) x 0.59(d),"117,672",2,5.0,$12.99, ,$0.99, 
34,The Autobiography Of General Ulysses S Grant,Ulysses S Grant, , ,Red and Black Publishers,9781934941140,03/03/2008,436,5.90(w) x 8.90(h) x 1.00(d),"119,468", , , , , , 
35,Theodore Roosevelt: An Autobiography,Theodore Roosevelt, , ,CreateSpace Publishing,9781451580129,04/01/2010,298,7.00(w) x 10.00(h) x 0.62(d),"119,548",17,4.1,$14.95,$25.73,$0.99, 
36,The Autobiography of an Ex-Colored Man,James Weldon Johnson, , ,Dover Publications,9780486285122,05/10/1995,112,5.21(w) x 8.28(h) x 0.32(d),"123,450",8,4.8,$2.70,$16.99,$0.99,$29.99
37,Good-Bye to All That: An Autobiography,Robert Graves, , ,Knopf Doubleday Publishing Group,9780385093309,02/28/1958,368,5.17(w) x 7.98(h) x 0.92(d),"125,406",7,4.0,$12.73, , , 
38,Teen Angst? Naaah...: A Quasi-Autobiography,Ned Vizzini, , ,Random House Children's Books,9780385739450,09/14/2010,272,5.34(w) x 7.99(h) x 0.66(d),"127,596",34,4.5,$8.99, ,$7.99, 
39,"The Autobiography of Martin Luther King, Jr.",Martin Luther King Jr., , ,Grand Central Publishing,9780446676502,01/01/2001,416,8.96(w) x 5.92(h) x 1.11(d),"134,407",53,4.3,$12.00,$22.89,$9.99,$26.05
40,An Ordinary Man: An Autobiography,Paul Rusesabagina,Tom Zoellner, ,Penguin Publishing Group,9780143038603,02/27/2007,224,5.03(w) x 7.72(h) x 0.63(d),"134,640",15,4.4,$13.73, ,$12.99, 
41,An American Life: The Autobiography,Ronald Reagan, , ,Threshold Editions,9781451628395,01/11/2011,752,6.20(w) x 9.30(h) x 1.90(d),"139,795",53,4.1,$15.77,$27.05,$15.99,$11.95
42,Autobiography,Morrissey, , ,Penguin Publishing Group,9780143107507,11/04/2014,480,5.00(w) x 7.60(h) x 1.00(d),"142,352",29,4.5,$13.14,$23.12,$9.99, 
43,Open: An Autobiography,Andre Agassi, , ,Knopf Doubleday Publishing Group,9780307388407,08/10/2010,400,5.10(w) x 7.90(h) x 0.90(d),"148,226",611,4.2,$11.99,$28.05,$11.99,$23.66
44,Stories I Only Tell My Friends: An Autobiography,Rob Lowe, , ,St. Martin's Press,9781250008855,01/03/2012,320,5.56(w) x 8.52(h) x 0.89(d),"154,914",522,4.0,$10.62, ,$9.99,$19.19
45,Miles: The Autobiography,Miles Davis, , ,Simon &amp; Schuster,9781451643183,09/20/2011,448,9.18(w) x 6.22(h) x 1.14(d),"155,156",12,4.0,$13.95, , , 
46,"Mud, Sweat, and Tears: The Autobiography",Bear Grylls, , ,HarperCollins Publishers,9780062124135,01/29/2013,408,5.76(w) x 8.52(h) x 1.14(d),"158,535",44,4.5,$12.33, ,$9.99, 
47,Treasure in Clay: The Autobiography of Fulton J. Sheen,Fulton J. Sheen,F Sheen, ,Crown Religion/Business/Forum,9780385177092,08/19/2008,416,5.20(w) x 8.00(h) x 1.08(d),"159,450",6,4.1,$11.28, ,$12.99, 
48,Yeager: An Autobiography,Chuck Yeager, , ,Random House Publishing Group,9780553256741,08/28/1986,448,4.17(w) x 6.87(h) x 1.05(d),"166,873",17,4.8,$7.99, , , 
49,Autobiography of Red,Anne Carson, , ,Knopf Doubleday Publishing Group,9780375701290,07/28/1999,160,5.17(w) x 8.01(h) x 0.46(d),"170,897",4,4.5,$12.78, ,$11.99, 
50,The Autobiography of Mrs. Tom Thumb,Melanie Benjamin, , ,Random House Publishing Group,9780385344166,04/03/2012,480,5.04(w) x 8.48(h) x 1.02(d),"175,840",52,4.1,$13.18,$35.95,$11.99,$33.36
51,E.A.R.L.: The Autobiography of DMX,DMX,Smokey D. Fontaine,D,HarperCollins Publishers,9780060934033,10/21/2003,352,6.00(w) x 9.00(h) x 0.91(d),"176,252",38,4.8,$13.62, , , 
52,The Collected Autobiographies of Maya Angelou,Maya Angelou, , ,Random House Publishing Group,9780679643258,09/21/2004,1184,5.75(w) x 8.25(h) x 2.00(d),"176,276",10,5.0, ,$26.86,$17.99, 
53,Alex Ferguson: My Autobiography,Alex Ferguson, , ,"Hodder &amp; Stoughton, Ltd.",9780340919408,11/15/2014,416,5.00(w) x 7.70(h) x 1.20(d),"179,762", , ,$11.04,$21.77,$6.99, 
54,Rod: The Autobiography,Rod Stewart, , ,Crown/Archetype,9780307987327,05/07/2013,400,5.10(w) x 7.90(h) x 1.00(d),"180,304",49,4.0,$12.16, ,$11.99, 
55,Lemony Snicket: The Unauthorized Autobiography,Lemony Snicket,Brett Helquist,Brett Helquist,HarperCollins Publishers,9780060562250,05/06/2003,240,5.00(w) x 7.00(h) x 0.75(d),"180,853",126,4.5,$6.99, ,$6.99, 
56,"My Wicked, Wicked Ways: The Autobiography of Errol Flynn",Errol Flynn, , ,"Rowman &amp; Littlefield Publishers, Inc.",9780815412502,12/28/2002,456,8.30(w) x 5.40(h) x 1.30(d),"180,974",10,4.8,$13.48, , , 
57,"God, Country, Notre Dame: The Autobiography of Theodore M. Hesburgh",Theodore M. Hesburgh,Jerry Reedy, ,University of Notre Dame Press,9780268010386,01/28/2000,311,5.50(w) x 8.50(h) x 1.10(d),"181,040", , , , , , 
58,The Autobiography of Miss Jane Pittman,Ernest J. Gaines, , ,Random House Publishing Group,9780553263572,07/28/1982,272,4.19(w) x 6.87(h) x 0.71(d),"185,125",26,4.2,$6.99,$17.00,$6.99, 
59,Dust Tracks on a Road: An Autobiography,Zora Neale Hurston, , ,HarperCollins Publishers,9780060854089,01/03/2006,336,5.31(w) x 8.00(h) x 0.75(d),"185,506",12,3.3,$10.54, ,$10.99, 
60,My Infamous Life: The Autobiography of Mobb Deep's Prodigy,Albert "Prodigy" Johnson, , ,Touchstone,9781439103197,02/07/2012,320,6.00(w) x 9.10(h) x 0.90(d),"185,538",30,4.2,$12.15, ,$13.99,$26.95
61,Autobiography of a Yogi: The Original 1946 Edition Plus Bonus Material,Paramhansa Yogananda, , ,Crystal Clarity Publishers,9781565892125,12/15/2005,518,6.00(w) x 9.00(h) x 1.08(d),"185,886",151,4.1,$15.64, ,$1.99, 
62,An Autobiography,Agatha Christie, , ,HarperCollins Publishers,9780062204578,09/11/2012,576,8.80(w) x 6.00(h) x 1.00(d),"191,318",31,3.8,$14.10, ,$7.99, 
63,Autobiography of St. Teresa of Avila,St. Teresa of Avila, , ,Dover Publications,9780486475981,07/21/2010,352,5.30(w) x 8.40(h) x 0.80(d),"192,077", , ,$7.52, ,$9.99, 
64,The Autobiography of an Execution,David R. Dow, , ,Grand Central Publishing,9780446562072,02/16/2011,271,5.20(w) x 7.90(h) x 0.90(d),"192,140",57,3.9,$12.89, ,$9.99, 
65,Autobiografia de un Yogui (Autobiography of a Yogi),Paramahansa Yogananda, , ,Self-Realization Fellowship,9780876120989,06/28/2008,742,4.60(w) x 7.40(h) x 1.40(d),"197,657",1,5.0,$8.50,$25.81, , 
66,American Sniper (Enhanced Edition): The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Scott McEwen,Jim DeFelice,HarperCollins Publishers,9780062190970,01/03/2012,448, ,"12,219",281,3.7, , , , 
67,Autobiography of a Fat Bride: True Tales of a Pretend Adulthood,Laurie Notaro, , ,Random House Publishing Group,9781588362445,07/08/2003,272, ,"13,211",55,4.4,$13.22, ,$11.99,$23.24
68,God: The Autobiography,Franco Ferrucci, , ,University of Chicago Press,9780226094748,06/18/2013,44, ,"16,314", , , , , , 
69,I Never Had It Made,Jackie Robinson,Alfred Duckett, ,HarperCollins Publishers,9780060555979,05/06/2003,320,5.31(w) x 8.00(h) x 0.72(d),"134,297",40,4.6,$11.95, ,$6.99,$11.94
70,Autobiography of a Werewolf Hunter,Brian P. Easton, , ,Permuted Press,2940148218456,07/09/2013, , ,"42,578",16,4.7,$5.99, ,$5.99, 
71,"I, Claudius: From the Autobiography of Tiberius Claudius",Robert Graves, , ,RosettaBooks,2940149425273,03/06/2014, , ,"43,309",1,5.0, , ,$9.99, 
72,The Autobiography of Henry VIII: With Notes,His Fool,Will Somers, ,St. Martin's Press,9781429924702,04/01/2010,960, ,"53,777",122,4.4,$17.16, ,$9.99, 
73,"I, Jesus: An Autobiography",Chuck Missler,William Welty, ,Koinonia House,2940150997851,07/08/2014,208, ,"64,197", , , , , , 
74,Autobiography of Thomas Jefferson,Thomas Jefferson, , ,MobileReference,9781607783091,01/01/2010, , ,"72,218",48,3.1,$6.95,$18.97,$0.95, 
75,Shooter: The Autobiography of the Top-Ranked Marine Sniper,Jack Coughlin,Donald A. Davis,Casey Kuhlman,St. Martin's Press,9781429903226,04/01/2007,320, ,"77,514",122,4.1,$8.99, ,$8.99, 
76,Waylon: An Autobiography,Waylon Jennings,Lenny Kaye, ,Grand Central Publishing,9780446562379,06/27/2009, , ,"79,920",14,5.0,$14.59,$30.00,$9.99, 
77,Guy Martin: My Autobiography,Guy Martin, , ,Ebury Publishing,9780753549957,05/08/2014,320, ,"83,472", , ,$17.95,$30.13,$8.99, 
78,I Could Never Be So Lucky Again: An Autobiography,James Doolittle,Carroll V. Glines, ,Random House Publishing Group,9780307428325,12/16/2009,560, ,"90,493",20,4.0,$7.99, ,$7.99, 
79,My Autobiography,Charlie Chaplin, , ,Melville House Publishing,9781612191935,12/26/2012, , ,"105,305",13,4.0,$13.51, ,$11.99, 
80,Heart of Scars (Autobiography of a Werewolf Hunter Book 2),Brian Easton, , ,Permuted Press,2940148310877,07/11/2013, , ,"111,633",7,4.7,$5.99, ,$5.99, 
81,Man of Honor,Joseph Bonanno, , ,St. Martin's Press,9780312979232,01/20/2003,416,4.03(w) x 6.78(h) x 0.92(d),"91,281",5,5.0,$8.99,$13.23,$8.99, 
82,Autobiography,a Former Underage Sex Slave, , ,Niiles Punkari,2940045667937,01/18/2014, , ,"114,686",1,2.0, , , , 
83,Willie: An Autobiography,Willie Nelson,Bud Shrake, ,"Rowman &amp; Littlefield Publishers, Inc.",9781461661313,08/29/2000,368, ,"118,044",3,4.0,$15.20, ,$8.49, 
84,The Lineage (Autobiography of a Werewolf Hunter Book 3),Brian P. Easton, , ,Permuted Press,2940151640046,04/21/2015,200, ,"118,622", , , , , , 
85,Autobiography,Thomas Jefferson, , ,B&amp;R Samizdat Express,2940000767344,02/01/2009, , ,"120,131",3,4.0, ,$0.99,$0.99, 
86,Autobiography of a Yogi (Rediscovered Books): With linked Table of Contents,Paramahansa Yogananda, , ,"Wilder Publications, Inc.",9781633846098,12/19/2014,372, ,"122,345", , , , , , 
87,Story of a Soul: The Autobiography of St. Therese of Lisieux,St. Therese of Lisieux, , ,Charles River Editors,2940016594132,06/10/2013, , ,"126,805",1,5.0, , , , 
88,The Autobiography of Andrew Carnegie and The Gospel of Wealth,Andrew Carnegie,Gordon Hutner, ,Penguin Publishing Group,9781101098370,11/07/2006,352, ,"130,331",4,3.7,$7.95, ,$1.99, 
89,Recipe for Life: The Autobiography,Mary Berry, , ,Penguin UK,9781405912860,09/12/2013, , ,"130,428", , ,$9.84, ,$12.78, 
90,Autobiography of Andrew Carnegie,Andrew Carnegie, , ,Open Road Media,9781504022620,09/22/2015,342, ,"130,608",1,4.0,$19.90,$22.99,$0.99,$83.99
91,Autobiography of Herbert W. Armstrong - Volume 1,Herbert W. Armstrong,Philadelphia Church of God, ,Lulu.com,9781304501332,12/05/2013, , ,"132,801", , , , , , 
92,Memories Before and After the Sound of Music: An Autobiography,Agathe von Trapp, , ,HarperCollins Publishers,9780062010551,09/14/2010,256, ,"133,221",27,4.1,$12.09, ,$6.99, 
93,The Unauthorized Autobiography of Ethan Jacobs,Dan Dillard, , ,Dan Dillard,2940033162109,01/14/2012, , ,"135,184", , ,$9.99, ,$0.00, 
94,Just As I Am: The Autobiography of Billy Graham,Billy Graham, , ,HarperCollins Publishers,9780062119544,10/11/2011,832, ,"135,854",14,4.3,$17.99, ,$10.99, 
95,From A Name to A Number: A Holocaust Survivor's Autobiography,Alter Wiener, , ,AuthorHouse,9781452091181,04/05/2007,1, ,"136,201",35,4.4,$15.74,$25.41,$8.49, 
96,Moving Pictures: An Autobiography,Ali MacGraw, , ,Renaissance Literary &amp; Talent,2940151374255,03/15/2015, , ,"136,333", , ,$4.99, ,$4.99, 
97,"Complete Works of Henry James: Novels, Short Stories, Plays, Essays, Autobiography and Letters: The Portrait of a Lady, The Wings of the Dove, The American, The Bostonians, The Ambassadors, What Maisie Knew, Washington Square, Daisy Miller...",Henry James, , ,e-artnow ebooks,9788026836063,03/31/2015,2900, ,"137,911", , , , , , 
98,The Book of Adam: Autobiography of the First Human Clone,Robert M. Hopper, , ,Doublethumb Press,2940011139840,11/21/2010, , ,"138,171",160,3.7,$14.15, ,$0.00, 
99,Autobiography of Thomas Jefferson - Enhanced,Thomas Jefferson, , ,"Seedbox Press, LLC",2940151544511,03/18/2015, , ,"138,329",2,5.0, , , , 
100,Call Me Anna: The Autobiography of Patty Duke,Patty Duke, , ,Random House Publishing Group,9780307788665,04/13/2011,320, ,"141,070",12,4.2,$7.99, ,$7.99, 
101,My Way: An Autobiography,Paul Anka,David Dalton, ,St. Martin's Press,9781250035202,04/09/2013,384, ,"143,897",16,2.4,$14.49,$21.42,$9.99, 
102,Margaret Thatcher: The Autobiography,Margaret Thatcher, , ,HarperCollins Publishers,9780062049452,04/16/2013,832, ,"146,802",1,5.0,$16.01, ,$13.99, 
103,Up from Slavery: An Autobiography,Booker T. Washington, , ,"Wilder Publications, Inc.",9781627557863,06/10/2015,148, ,"147,236",83,3.7,$6.99,$26.95,$0.99, 
104,THE GREATEST AMERICAN PRESIDENT: THE AUTOBIOGRAPHY OF THEODORE ROOSEVELT (Worldwide Bestseller),Theodore TEDDY ROOSEVELT [Winner of the Nobel Prize] Nook Edition (Part I of the Best Presidents Series incl. George Washington,Abraham Lincoln) NOOKBook, ,Great American Presidents Biographies,2940013017061,12/19/2012, , ,"147,455",5,3.8, , , , 
105,Autobiography of Herbert W. Armstrong - Volume 2,Herbert W. Armstrong,Philadelphia Church of God, ,Lulu.com,9781304501417,12/05/2013, , ,"149,549", , , , , , 
106,Act One: An Autobiography,Moss Hart, , ,St. Martin's Press,9781466864603,02/11/2014,464, ,"150,026",4,4.0,$12.85, ,$9.99,$44.95
107,"The Complete Works of Mark Twain: The Novels, short stories, essays and satires, travel writing, non-fiction, the complete letters, the complete speeches, and the autobiography of Mark Twain Mark Twain",Mark Twain, , ,e-artnow Editions,9788026804529,02/27/2014,5000, ,"150,471", , , , , , 
108,The Climb: The Autobiography,Chris Froome, , ,Penguin UK,9780241969434,06/05/2014, , ,"157,187",1,5.0,$12.44, ,$9.99, 
109,Dr. J: The Autobiography,Julius Erving,Karl Taro Greenfeld, ,HarperCollins Publishers,9780062188038,11/05/2013,448, ,"157,683",9,4.4,$21.27,$19.45,$13.99, 
110,"Works of Josephus Flavius: Wars of the Jews, Antiquities of the Jews, Against Apion, Autobiography and more",Flavius Josephus, , ,MobileReference,9781605011950,01/01/2010, , ,"161,710",22,4.0, , ,$5.49, 
111,The Autobiography of Alice B. Toklas,Gertrude Stein, , ,David Rehak,9781987817058,10/14/2014,256, ,"167,829",13,3.3,$11.21,$29.99,$2.99, 
112,My Inventions: The Autobiography of Nikola Tesla,Nikola Tesla, , ,"Wilder Publications, Inc.",9781633842304,07/23/2014,80, ,"169,949",14,3.6,$3.97,$19.78,$0.99, 
113,The Story of a Soul (L'Histoire d'une Âme): The Autobiography of St. Thérèse of Lisieux With Additional Writings and Sayings of St. Thérèse,St. Therese Of Lisieux, , ,Therese Books,2940012760791,07/25/2011, , ,"172,790",15,4.4, , , , 
114,THE AUTOBIOGRAPHY OF BENJAMIN FRANKLIN,Benjamin Franklin, , ,Robin Michell,2940012259776,02/27/2011, , ,"173,534",1,5.0, , , , 
115,Autobiography of Us: A Novel,Aria Beth Sloss, , ,"Holt, Henry &amp; Company, Inc.",9780805095357,02/05/2013,304, ,"173,573",15,4.0,$15.00,$5.38,$9.99,$29.95
116,The Autobiography of Andrew Carnegie,Andrew Carnegie, , ,Halcyon Press Ltd.,2940012693211,10/18/2010, , ,"174,337",25,3.0,$72.89,$72.89,$0.99, 
117,INEZ: An autobiography,Jamie Brown, , ,Jamie Brown,2940000790014,11/07/2009, , ,"174,419",37,3.5, , , , 
118,"Biography: Best Seller! John F Kennedy ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",Resounding Wind Publishing,John F Kennedy,JFK,Resounding Wind Publishing,2940150020719,12/16/2014, , ,"174,618",4,5.0, , , , 
119,"The Complete Autobiographies of Frederick Douglass: Narrative of the Life of Frederick Douglass, an American Slave; My Bondage and My Freedom; Life and Times of Frederick Douglass",Frederick Douglass, , ,"Wilder Publications, Inc.",9781633846876,06/10/2015,600, ,"181,835", , , , , , 
120,Autobiography of My Dead Brother,Walter Dean Myers,Christopher Myers, ,HarperCollins Publishers,9780062046895,10/26/2010,224, ,"186,009",20,4.0,$8.58,$20.00,$5.99, 
121,Going to Sea in a Sieve: The Autobiography,Danny Baker, , ,"Orion Publishing Group, Limited",9780297863427,11/02/2012, , ,"187,901", , ,$35.00,$35.00,$6.99, 
122,Autobiography: The Story of My Experiments with Truth,Mohandas Gandhi, , ,Dover Publications,9780486117515,03/21/2012,480, ,"187,975",5,4.6,$8.23, ,$9.99, 
123,Proud: My Autobiography,Gareth Thomas, , ,Ebury Publishing,9781473502208,09/11/2014,320, ,"188,879", , ,$16.95,$36.95,$8.99, 
124,Open Secret: The Autobiography of the Former Director-General of MI5,Stella Rimington, , ,Random House Adult Trade Publishing Group,9781448107483,10/31/2011,320, ,"192,444",2,5.0,$15.38, ,$10.99, 
125,No Limits: My Autobiography,Ian Poulter,Isabelle Grey, ,Quercus Publishing,9781782066903,10/23/2014, , ,"192,476",1,5.0,$12.32,$32.95,$8.99, 
126,Story of a Soul: The Autobiography of St. Therese of Lisieux - The Original Classic Edition,Therese of Lisieux, , ,Emereo Pty Ltd,9781486150120,06/15/2012,128,7.44(w) x 9.69(h) x 0.27(d),"203,152",15,3.6,$9.94, ,$6.99, 
127,Peig: The Autobiography of Peig Sayers of the Great Blasket Island,Peig Sayers, , ,Syracuse University Press,9780815602583,01/28/1974,216,5.55(w) x 7.99(h) x 0.59(d),"204,087", , ,$19.95, , , 
128,Everybody's Autobiography,Gertrude Stein, , ,Knopf Doubleday Publishing Group,9780307829771,03/13/2013,320, ,"204,543", , ,$12.65, ,$12.99, 
129,Living for Change: An Autobiography,Grace Lee Boggs, , ,University of Minnesota Press,9781452903309,11/30/2013,328, ,"204,667", , ,$17.12, ,$10.99, 
130,Yellow Kid Weil: The Autobiography of America's Master Swindler,J.R. Weil, , ,AK Press,9781849350211,02/22/2011,352,5.90(w) x 8.90(h) x 0.90(d),"204,766", , ,$15.77, ,$9.99, 
131,Pele: The Autobiography,Pelé, , ,Simon &amp; Schuster UK,9781847394880,09/04/2008,368, ,"206,287",3,4.6, , , , 
132,Alibi: an unauthorized autobiography,Dale Barnes, , ,Dale Barnes,9781609840235,12/10/2007, , ,"207,184",11,2.0, , , , 
133,"Biography: Best Seller! George Washington ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",Resounding Wind Publishing,George Washington,Biography Books,Resounding Wind Publishing,2940150021129,12/16/2014, , ,"207,290",3,5.0, , , , 
134,"Biography: Best Seller! Benjamin Franklin ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",Resounding Wind Publishing,Biography Books,Benjamin Franklin,Resounding Wind Publishing,2940150021570,12/16/2014, , ,"207,672",4,5.0, , , , 
135,White Line Fever: The Autobiography,Lemmy Kilmister,Janiss Garza, ,Kensington,9780806525907,12/15/2003,320,6.06(w) x 9.01(h) x 0.87(d),"209,172",6,5.0,$10.67, , , 
