pairId,id2,id1,label
121,19540,551,1
122,6527,81,1
123,16794,2018,1
124,21484,320,1
125,13477,2354,1
126,15648,1125,1
127,9224,115,1
128,6975,1238,1
129,12442,109,1
130,19521,2005,1
131,19801,1791,1
132,11831,2379,1
133,14854,482,1
134,3068,35,1
135,8567,1483,1
136,21030,1523,1
137,11441,464,1
138,966,585,1
139,12117,1023,1
140,13283,2528,1
141,18153,562,1
142,14278,1143,1
143,6761,646,1
144,13173,1608,1
145,6886,2482,1
146,12312,2408,1
147,20112,1909,1
148,11027,1695,1
149,4283,16,1
150,9390,377,1
151,4427,927,1
152,20310,2517,1
153,10673,1109,1
154,1892,455,1
155,5173,1371,1
156,13541,1578,1
157,5519,2409,1
158,2669,2520,1
159,12735,1263,1
160,4638,1500,1
161,20053,2370,1
162,6644,2441,1
163,19027,1928,1
164,17508,1749,1
165,1904,1360,1
166,10518,206,1
167,7348,858,1
168,5561,1861,1
169,11436,503,1
170,14925,1803,1
171,2718,477,1
172,6691,2543,1
173,8944,150,1
174,18403,1775,1
175,5011,1039,1
176,6058,1110,1
177,10556,1031,1
178,17865,2156,1
179,9457,2015,1
180,19036,1039,1
181,19977,2532,1
182,10873,40,1
183,4901,1844,1
184,2888,2148,1
185,3247,921,1
186,8236,743,1
187,2749,1618,1
188,14868,586,1
189,14224,1300,1
190,10855,1883,1
191,9227,2014,1
192,7157,66,1
193,377,481,1
194,327,2240,1
195,13414,1012,1
196,8430,612,1
197,20812,1178,1
198,1244,192,1
199,13665,545,1
200,18390,462,1
201,6760,738,1
202,13160,543,1
203,5250,1218,1
204,12475,1856,1
205,14882,515,1
206,14642,70,1
207,7611,87,1
208,15305,1892,1
209,21504,2512,1
210,5193,262,1
211,13423,976,1
212,3068,2057,1
213,18139,2200,1
214,7250,2361,1
215,2311,2191,1
216,13298,1682,1
217,19881,194,1
218,5268,1219,1
219,1304,8,1
220,16838,21,1
221,3146,1064,1
222,4521,100,1
223,1617,2267,1
224,9482,1150,1
225,4818,1505,1
226,11943,862,1
227,17262,1718,1
228,9549,2316,1
229,7146,636,1
230,4379,4,1
231,1442,1530,1
232,17495,2217,1
233,8991,2134,1
234,13175,448,1
235,12348,79,1
236,18621,1071,1
237,5883,1770,1
238,8790,1135,1
239,6829,202,1
240,21113,1316,1
241,14944,1401,1
242,1481,811,1
243,11583,2509,1
244,8392,65,1
245,17244,416,1
246,17893,54,1
247,8298,1067,1
248,19010,556,1
249,8898,830,1
250,12091,108,1
251,16561,2211,1
252,16757,1149,1
253,18365,984,1
254,595,2245,1
255,18331,1152,1
256,6032,30,1
257,9052,95,1
258,11538,742,1
259,7616,1237,1
260,5042,376,1
261,18464,1727,1
262,21326,1864,1
263,19581,1395,1
264,11618,87,1
265,3778,261,1
266,4425,2516,1
267,16206,158,1
268,2280,2539,1
269,11715,2410,1
270,5463,1094,1
271,10274,661,1
272,14496,2117,1
273,10888,829,1
274,7504,842,1
275,14170,1657,1
276,10852,1631,1
277,10883,1902,1
278,20676,2217,1
279,11565,2125,1
280,20133,1739,1
281,829,1945,1
282,8671,2227,1
283,6817,42,1
284,3378,2112,1
285,14824,1199,1
286,19284,2472,1
287,2223,1773,1
288,8815,2072,1
289,1428,650,1
290,10601,1066,1
291,4497,497,1
292,21449,2070,1
293,11289,1184,1
294,21435,2296,1
295,10706,2540,1
296,4227,876,1
297,17375,2022,1
298,2699,2026,1
299,9246,1549,1
300,4279,1981,1
301,11121,1894,1
302,2579,1828,1
303,16059,1622,1
304,15269,873,1
305,20071,1633,1
306,17318,918,1
307,16954,590,1
308,4924,1000,1
309,11439,1954,1
310,13174,449,1
311,14110,1210,1
312,2510,1610,1
313,14016,2256,1
314,3204,2027,1
315,3781,1462,1
316,4520,1512,1
317,885,1321,1
318,14178,945,1
319,16351,149,1
320,3145,2193,1
321,2523,1074,1
322,2789,1414,1
323,18444,626,1
324,4284,700,1
325,2814,933,1
326,1153,173,1
327,6877,195,1
328,19754,975,1
329,15416,766,1
330,10207,504,1
331,2486,1415,1
332,9343,1834,1
333,21588,1082,1
334,980,819,1
335,21458,2098,1
336,3472,1120,1
337,17916,2365,1
338,12192,1350,1
339,1121,1985,1
340,13584,2187,1
341,20289,872,1
342,6971,2345,1
343,13399,721,1
344,16127,1072,1
345,1637,1440,1
346,21918,91,1
347,19258,470,1
348,3567,2246,1
349,21810,70,1
350,16537,706,1
351,11130,66,1
352,3857,700,1
353,4160,2073,1
354,557,600,1
355,21348,529,1
356,7234,2413,1
357,19808,1603,1
358,10881,1037,1
359,21813,1734,1
360,4598,833,1
361,16312,2094,1
362,9497,86,1
363,8359,2108,1
364,1325,1211,1
365,14796,121,1
366,6602,216,1
367,9096,1933,1
368,17389,1363,1
369,6299,821,1
370,21544,2038,1
371,3627,599,1
372,6956,2477,1
373,18373,1366,1
374,18680,2034,1
375,10814,2469,1
376,4381,1269,1
377,17264,2089,1
378,6573,55,1
379,13391,1596,1
380,11285,1910,1
381,12025,2497,1
382,2960,185,1
383,19476,417,1
384,8664,2423,1
385,7971,145,1
386,6287,2053,1
387,17489,1851,1
388,1697,2238,1
389,285,414,1
390,3251,1474,1
391,20178,1940,1
392,16299,1249,1
393,11049,2142,1
394,10525,1969,1
395,16808,303,1
396,1795,2124,1
397,12784,888,1
398,15943,951,1
399,16792,1030,1
400,10544,390,1
401,10508,1326,1
402,2203,228,1
403,9636,1253,1
404,10366,2524,1
405,20507,1318,1
406,12734,785,1
407,12432,1348,1
408,4122,804,1
409,14835,2260,1
410,18532,531,1
411,20645,1084,1
412,14801,936,1
413,4363,2502,1
414,5665,160,1
415,6363,770,1
416,14687,2225,1
417,102,2140,1
418,6116,338,1
419,19368,578,1
420,19468,2218,1
421,454,812,1
422,5256,2274,1
423,2477,1989,1
424,8963,679,1
425,15559,1485,1
426,2721,470,1
427,16333,1658,1
428,8351,94,1
429,10128,1543,1
430,14318,962,1
431,5735,2060,1
432,17430,20,1
433,7444,2040,1
434,9254,1142,1
435,15435,1863,1
436,17192,1247,1
437,4495,1869,1
438,8382,760,1
439,16278,726,1
440,17535,223,1
441,19120,2550,1
442,6195,1667,1
443,6662,903,1
444,18949,1550,1
445,1690,724,1
446,4785,2150,1
447,16990,904,1
448,7825,282,1
449,12583,383,1
450,2294,1469,1
451,12628,226,1
452,4720,1452,1
453,20494,1910,1
454,9991,323,1
455,18154,1179,1
456,8520,325,1
457,7680,2419,1
458,3206,1592,1
459,9296,548,1
460,1250,174,1
461,6962,1964,1
462,16936,1209,1
463,19151,361,1
464,8176,2463,1
465,19007,2137,1
466,21197,785,1
467,1608,1814,1
468,3254,1814,1
469,17365,16,1
470,9061,513,1
471,15010,1642,1
472,21691,379,1
473,17544,1339,1
474,21737,578,1
475,1393,512,1
476,10974,2184,1
477,13168,2031,1
478,5047,219,1
479,3594,1973,1
480,20393,476,1
481,8651,1476,1
482,560,1356,1
483,7384,899,1
484,8520,2038,1
485,17484,782,1
486,12147,1368,1
487,10609,1603,1
488,692,152,1
489,11429,811,1
490,4227,1691,1
491,16784,2253,1
492,20845,1513,1
493,4721,311,1
494,20039,1687,1
495,12515,667,1
496,11344,899,1
497,17397,1717,1
498,4430,1138,1
499,7325,1436,1
500,11999,817,1
501,11830,708,1
502,17666,1687,1
503,16863,2479,1
504,14881,2168,1
505,12313,992,1
506,18298,2077,1
507,13349,1852,1
508,1663,2237,1
509,19539,1792,1
510,7446,653,1
511,9387,1876,1
512,21948,1036,1
513,4577,1762,1
514,7339,2152,1
515,17195,82,1
516,160,1201,1
517,2534,2544,1
518,16296,2081,1
519,11228,2019,1
520,7625,546,1
521,12853,1559,1
522,3904,1167,1
523,10437,232,1
524,20420,2436,1
525,19139,1939,1
526,2528,2268,1
527,16515,399,1
528,12655,1476,1
529,1398,1105,1
530,11819,863,1
531,8092,1110,1
532,8347,1458,1
533,11690,2185,1
534,15576,1467,1
535,21193,148,1
536,812,1529,1
537,11642,1467,1
538,3154,849,1
539,13678,1838,1
540,18102,2397,1
541,3627,524,1
542,21240,59,1
543,3751,1778,1
544,13846,1759,1
545,14407,1220,1
546,16646,453,1
547,5518,772,1
548,1881,1278,1
549,9017,1933,1
550,6931,971,1
551,18938,165,1
552,14279,781,1
553,15844,2102,1
554,8387,346,1
555,8470,2164,1
556,13523,121,1
557,5528,2357,1
558,11198,192,1
559,781,1010,1
560,714,400,1
561,8043,708,1
562,1770,1953,1
563,14558,2118,1
564,20396,2200,1
565,17520,616,1
566,8456,1299,1
567,3483,2382,1
568,17949,1685,1
569,6509,798,1
570,2011,1886,1
571,2559,1306,1
572,2928,1878,1
573,12974,1616,1
574,2975,2097,1
575,11327,1551,1
576,14736,624,1
577,12545,501,1
578,20741,1075,1
579,2327,1842,1
580,7049,2090,1
581,12094,1977,1
582,6985,26,1
583,5480,1188,1
584,11954,508,1
585,433,1833,1
586,9859,2161,1
587,2646,1590,1
588,3695,2165,1
589,13303,58,1
590,995,1361,1
591,11040,1186,1
592,15376,1931,1
593,6309,2064,1
594,2577,137,1
595,10761,1455,1
596,9554,980,1
597,11792,105,1
598,18937,149,1
599,2977,1392,1
600,14546,2157,1
601,21913,2051,1
602,11567,361,1
603,21710,109,1
604,15808,2551,1
605,12013,182,1
606,18385,2195,1
607,2612,694,1
608,17175,539,1
609,14931,871,1
610,6406,1296,1
611,10049,352,1
612,17900,2160,1
613,21316,1404,1
614,16353,2329,1
615,20252,682,1
616,8495,1793,1
617,19670,1561,1
618,3104,946,1
619,13620,1627,1
620,12747,476,1
621,14540,2084,1
622,1241,1283,1
623,716,839,1
624,11144,2088,1
625,14895,1406,1
626,3669,67,1
627,15894,2393,1
628,7305,466,1
629,10423,6,1
630,2945,673,1
631,15830,605,1
632,3239,262,1
633,12174,568,1
634,3696,1166,1
635,15654,298,1
636,20118,1752,1
637,19292,310,1
638,15253,939,1
639,22052,1264,1
640,6973,720,1
641,5102,2195,1
642,21943,659,1
643,15684,2521,1
644,9027,2159,1
645,6231,1433,1
646,14902,789,1
647,20592,1716,1
648,12274,736,1
649,12761,2277,1
650,6709,653,1
651,6414,1987,1
652,4855,177,1
653,7029,1015,1
654,5992,735,1
655,5683,2194,1
656,20107,718,1
657,889,1517,1
658,265,2380,1
659,14036,2030,1
660,10670,2480,1
661,14499,1461,1
662,346,2255,1
663,9790,1759,1
664,15892,146,1
665,13259,230,1
666,14005,937,1
667,19354,1830,1
668,14195,1875,1
669,10875,471,1
670,16833,2469,1
671,4319,2156,1
672,8181,1976,1
673,1678,414,1
674,15480,2074,1
675,7602,2055,1
676,20007,695,1
677,5416,1574,1
678,15781,1944,1
679,100,396,1
680,4059,387,1
681,15528,1743,1
682,3895,2079,1
683,9157,1553,1
684,10129,640,1
685,10801,1113,1
686,10268,2380,1
687,15826,2318,1
688,10435,2134,1
689,17259,663,1
690,4630,322,1
691,13150,633,1
692,16221,1754,1
693,20315,2120,1
694,6915,1565,1
695,1245,324,1
696,2760,1190,1
697,10641,129,1
698,21758,926,1
699,11779,1790,1
700,18232,1457,1
701,12893,2297,1
702,3274,430,1
703,3470,907,1
704,20184,1403,1
705,13439,1032,1
706,2457,10,1
707,17880,530,1
708,13995,908,1
709,19043,1511,1
710,11089,31,1
711,1026,1523,1
712,6722,557,1
713,17906,2361,1
714,6730,1889,1
715,4660,1350,1
716,9710,160,1
717,10967,96,1
718,105,694,1
719,9016,7,1
720,21344,2151,1
721,12675,1025,1
722,3741,135,1
723,5365,1196,1
724,12162,1378,1
725,16870,1094,1
726,3156,1974,1
727,5843,1230,1
728,10482,1908,1
729,8305,347,1
730,10531,751,1
731,16479,715,1
732,17830,1292,1
733,13790,1929,1
734,4784,689,1
735,1129,576,1
736,6914,1984,1
737,17574,685,1
738,12452,1998,1
739,4760,649,1
740,2078,1490,1
741,2862,2439,1
742,17734,2168,1
743,11885,1078,1
744,11173,1661,1
745,12882,601,1
746,19246,1176,1
747,20806,1398,1
748,10735,260,1
749,12443,1369,1
750,14919,1728,1
751,12544,1526,1
752,3759,2341,1
753,10900,454,1
754,21965,57,1
755,18649,2027,1
756,21097,893,1
757,12334,2537,1
758,19912,295,1
759,18603,1293,1
760,14258,1346,1
761,20412,1257,1
762,15427,277,1
763,19150,179,1
764,9098,1141,1
765,6593,1624,1
766,256,1801,1
767,2594,102,1
768,20427,2514,1
769,21592,357,1
770,9728,1424,1
771,6005,1798,1
772,20444,1952,1
773,12126,1729,1
774,15685,1905,1
775,5275,218,1
776,4040,625,1
777,14370,329,1
778,5459,1900,1
779,2780,1644,1
780,7903,1449,1
781,1600,331,1
782,14917,1195,1
783,16667,1507,1
784,9676,724,1
785,11543,540,1
786,20213,688,1
787,9565,1641,1
788,18429,1234,1
789,8911,917,1
790,16544,2020,1
791,4587,1399,1
792,18688,1607,1
793,14015,523,1
794,16641,265,1
795,401,212,1
796,1503,1981,1
797,11940,1415,1
798,3574,1488,1
799,8096,2486,1
800,1157,2428,1
801,12170,1563,1
802,353,2062,1
803,8501,1938,1
804,13922,2007,1
805,3966,273,1
806,13723,2261,1
807,21799,2214,1
808,3962,1475,1
809,8071,1225,1
810,5235,1499,1
811,22044,598,1
812,4692,601,1
813,6616,531,1
814,19300,304,1
815,20891,1381,1
816,19269,2327,1
817,2285,1961,1
818,19124,1884,1
819,21595,1247,1
820,18207,705,1
821,2672,2189,1
822,15490,1777,1
823,6820,1354,1
824,17452,2022,1
825,19958,492,1
826,21662,2191,1
827,8268,1126,1
828,17372,920,1
829,19593,993,1
830,18705,693,1
831,19526,2498,1
832,11401,2094,1
833,15496,590,1
834,19637,906,1
835,11469,139,1
836,20287,169,1
837,21977,2332,1
838,5208,2019,1
839,9086,1139,1
840,2751,997,1
841,17448,1592,1
842,10675,1904,1
843,8546,180,1
844,20622,2119,1
845,19557,833,1
846,9533,365,1
847,14074,2330,1
848,17950,1281,1
849,21374,2442,1
850,10210,308,1
851,9333,1510,1
852,578,1811,1
853,8932,802,1
854,1929,187,1
855,544,1920,1
856,11341,2222,1
857,4645,300,1
858,5987,881,1
859,8525,2048,1
860,9825,164,1
861,11270,1357,1
862,6899,1208,1
863,9165,57,1
864,10647,259,1
865,6549,2294,1
866,1748,2005,1
867,13244,2462,1
868,5884,559,1
869,13058,20,1
870,7080,668,1
871,3052,2375,1
872,19776,938,1
873,2466,1243,1
874,17384,1137,1
875,2950,267,1
876,2139,519,1
877,14554,1560,1
878,21311,560,1
879,6374,799,1
880,9190,542,1
881,5596,132,1
882,2703,1096,1
883,18711,2025,1
884,14945,2345,1
885,2237,2340,1
886,12169,1038,1
887,12942,2100,1
888,20190,2000,1
889,10870,2298,1
890,14490,655,1
891,19000,1536,1
892,18198,739,1
893,15463,1300,1
894,12892,2029,1
895,16033,2503,1
896,18627,287,1
897,7661,1896,1
898,16536,1287,1
899,77,529,1
900,639,2343,1
901,1355,223,1
902,11212,2155,1
903,20462,2008,1
904,3324,1579,1
905,11461,1580,1
906,1275,1993,1
907,20822,2388,1
908,3447,156,1
909,5921,2143,1
910,14761,1312,1
911,20109,589,1
912,16438,1777,1
913,10031,1855,1
914,2074,1252,1
915,15004,1011,1
916,13397,1833,1
917,4885,2478,1
918,1451,389,1
919,16174,2192,1
920,11296,1937,1
921,10788,2401,1
922,16642,303,1
923,1316,1947,1
924,20732,2101,1
925,10906,1988,1
926,4703,956,1
927,10772,1664,1
928,987,482,1
929,11811,746,1
930,13149,935,1
931,4893,454,1
932,5512,200,1
933,17811,16,1
934,9152,637,1
935,10712,1822,1
936,5176,2541,1
937,4757,1540,1
938,1593,1514,1
939,10662,335,1
940,8619,2366,1
941,10109,2335,1
942,4163,1482,1
943,17367,2197,1
944,14865,1370,1
945,10618,240,1
946,15279,466,1
947,2433,1478,1
948,10559,657,1
949,18916,564,1
950,12491,670,1
951,12570,696,1
952,12896,706,1
953,15016,580,1
954,14295,806,1
955,7347,950,1
956,18167,2350,1
957,5645,875,1
958,6495,1302,1
959,8697,220,1
960,11760,103,1
961,15285,1442,1
962,19515,1509,1
963,13252,2395,1
964,8988,2085,1
965,913,1325,1
966,19355,1201,1
967,8267,1262,1
968,16056,1459,1
969,18358,1862,1
970,5721,1733,1
971,12007,2017,1
972,8545,2328,1
973,18759,134,1
974,7672,712,1
975,13319,2267,1
976,15072,371,1
977,15062,2346,1
978,7706,316,1
979,4706,2137,1
980,11215,1932,1
981,3010,1045,1
982,3616,940,1
983,17849,397,1
984,15432,505,1
985,19541,618,1
986,486,528,1
987,19663,2276,1
988,19348,456,1
989,236,1772,1
990,2556,551,1
991,11084,1477,1
992,14455,1081,1
993,9475,1989,1
994,5076,576,1
995,14874,1156,1
996,13030,802,1
997,538,27,1
998,2806,942,1
999,3170,388,1
1000,17027,1707,1
1001,20052,2504,1
1002,10462,539,1
1003,2946,711,1
1004,357,2275,1
1005,16635,1091,1
1006,1650,1654,1
1007,4647,2212,1
1008,5595,592,1
1009,10118,2398,1
1010,15921,638,1
1011,6670,987,1
1012,16819,1413,1
1013,14869,427,1
1014,14203,2001,1
1015,10924,2372,1
1016,17571,1958,1
1017,9534,2032,1
1018,1376,1486,1
1019,21121,138,1
1020,7894,2342,1
1021,3236,363,1
1022,7136,664,1
1023,186,1846,1
1024,14716,1419,1
1025,13300,313,1
1026,3325,2523,1
1027,14118,2463,1
1028,20386,416,1
1029,16093,1187,1
1030,4985,2345,1
1031,16332,1835,1
1032,10516,2306,1
1033,16073,2126,1
1034,5014,1625,1
1035,15352,2369,1
1036,10707,1191,1
1037,21077,2166,1
1038,11132,193,1
1039,21375,1546,1
1040,14360,1867,1
1041,4668,1231,1
1042,8444,851,1
1043,15905,98,1
1044,19118,2549,1
1045,8357,2258,1
1046,9718,1210,1
1047,8280,2336,1
1048,5593,1194,1
1049,2676,285,1
1050,11626,2511,1
1051,18251,903,1
1052,13110,1160,1
1053,20146,1346,1
1054,16060,1468,1
1055,4380,998,1
1056,5889,1767,1
1057,20244,1636,1
1058,16399,149,1
1059,19008,2265,1
1060,9028,1673,1
1061,5636,2489,1
1062,8097,50,1
1063,21569,974,1
1064,11476,1585,1
1065,124,164,1
1066,15431,750,1
1067,17804,2075,1
1068,16308,363,1
1069,2868,1146,1
1070,4538,1181,1
1071,18388,2180,1
1072,7400,183,1
1073,844,681,1
1074,9891,131,1
1075,11658,1006,1
1076,7623,546,1
1077,13935,2143,1
1078,657,1967,1
1079,603,849,1
1080,13180,1777,1
1081,8669,2406,1
1082,7315,330,1
1083,15368,473,1
1084,8193,1425,1
1085,7487,2460,1
1086,2448,203,1
1087,7076,753,1
1088,4815,1198,1
1089,1271,1638,1
1090,12818,631,1
1091,11705,1438,1
1092,6999,1572,1
1093,12897,691,1
1094,12648,1762,1
1095,13024,909,1
1096,6873,1804,1
1097,3415,549,1
1098,18301,2218,1
1099,13660,1701,1
1100,173,43,1
1101,16227,1709,1
1102,8369,2249,1
1103,11266,2254,1
1104,11842,2484,1
1105,18624,1842,1
1106,6365,1619,1
1107,18900,834,1
1108,431,1564,1
1109,9731,2194,1
1110,2702,129,1
1111,7854,1103,1
1112,9238,1154,1
1113,18699,2266,1
1114,11621,894,1
1115,5775,447,1
1116,18478,2166,1
1117,15438,168,1
1118,11351,1615,1
1119,18728,1401,1
1120,17219,1614,1
1121,782,476,1
1122,7851,716,1
1123,14110,1122,1
1124,7145,397,1
1125,15548,1847,1
1126,14385,1653,1
1127,6991,429,1
1128,12464,896,1
1129,16659,1593,1
1130,1556,127,1
1131,11224,771,1
1132,21094,1714,1
1133,3794,1695,1
1134,20933,6,1
1135,3249,1474,1
1136,10289,1245,1
1137,20795,1672,1
1138,21512,1969,1
1139,14646,1706,1
1140,18550,1702,1
1141,18143,1008,1
1142,18513,1715,1
1143,14438,2475,1
1144,16253,1988,1
1145,22046,615,1
1146,6471,2147,1
1147,17104,1700,1
1148,15336,899,1
1149,7359,2133,1
1150,21668,1698,1
1151,1682,2327,1
1152,12950,2231,1
1153,10362,1656,1
1154,8019,458,1
